	Term	p-value	z-score	CS	Related Genes
1	ARRB2	9.38e-10	-1.44	21.8	HSPA8, RPL3, RPS8, PABPC4, H2AFX, HIST2H2AB, AP1B1, RPA1, RPS3A, RANGAP1, THOC4, ARHGAP21, RPL7A, TUBB2C, CSDA, UBB, NDUFS7, RPLP2, PABPC1, LBR, UBA52, S100A9, HIST1H1C
2	SLC2A4	1.71e-09	-1.2	18.07	DLST, ATP5C1, ETFA, ATP5H, RPL7A, PRDX2, TUBA1B, TUBB5, RPS16, LMNA, PSMD1, RPS2, NDUFV1, CTSB, RAB8B, HSPA8, ATP6AP1, RPS8, ACSL1, RPL23, RPS3A, DYNLL1, HNRNPAB, TUBB2C, CSDA, EEF1D, TXNIP, RPL24, PABPC1, UBA52, ARF5, RPS24
3	MCC	1.10e-07	-1.51	17.92	CLIC4, TFRC, MCM7, RPS3A, MRPL14, ETFA, COMT, APEH, EEF1B2, PSMD8, EEF1D, EIF3I, PSME3, RPL24, MCM4, MCM5, MCM6, GCLM, BCAS2
4	GABARAPL2	1.05e-08	-1.25	17.14	RPL3, MCM7, WBP2, DLST, EEF1B2, RPL7A, PRDX2, RPS16, PSMD1, RPLP2, RPS2, HIST1H1C, HSPA8, RPS8, RPL23, PABPC4, PLRG1, RANGAP1, THOC4, HNRNPAB, EEF1G, TUBB2C, CSDA, UBE2O, RPL24, PABPC1, S100A9, RPS24
5	TRAF6	2.15e-07	-1.39	15.96	RNF11, TFRC, MCM7, ETFA, PSMD8, PSMD4, UBB, PSMD1, HSPA8, USP7, RSAD2, SPHK1, RPS3A, RANGAP1, RPS26, CARHSP1, NGFRAP1, EIF3K, EEF1D, EIF3I, CYB5, RPA3, TAX1BP1, RPL24, MCM6, PABPC1
6	GABARAP	6.26e-08	-1.29	15.7	RPL3, TFRC, WBP2, EEF1B2, RPL7A, PRDX2, RPS16, RPLP2, RPS2, BCAS2, HIST1H1C, HSPA8, RPS8, RPL23, PABPC4, PLRG1, HNRNPAB, EEF1G, TUBB2C, CSDA, PSME3, HAT1, RPL24, PABPC1, RPS24
7	EIF1B	1.13e-06	-1.51	15.44	RPL3, RPS3A, ETFA, UBAC1, RPS26, EEF1B2, RPS16, EIF3K, EEF1D, RPS29, EIF3I, PSME3, RPA3
8	MCM2	3.05e-05	-1.98	15.12	CDT1, MCM7, RPA3, HAT1, RPA1, ORC6L, MCM4, MCM5, MCM6, MCM2
9	GABARAPL1	1.32e-07	-1.22	14.44	RPL3, WBP2, ATP5C1, EEF1B2, RPL7A, DNAJB1, PRDX2, RPS16, LMNA, RPLP2, RPS2, SNCA, HIST1H1C, HSPA8, RPS8, PABPC4, HNRNPAB, THOC4, EEF1G, TUBB2C, RPL24, MCM5, PABPC1, S100A9, RPS24
10	ACTB	9.50e-07	-1.32	13.52	HSPA8, CLIC4, RPS8, RPA1, RPS3A, DYNLL1, CENPA, HNRNPAB, EEF1B2, RPL7A, EIF3K, UBB, EIF3I, MORF4L2, RPA3, LMNA, RPS24, SNCA, RAB8B
11	ARRB1	2.61e-06	-1.34	12.76	MAP2K3, HSPA8, RPL3, RPS8, H2AFX, HIST2H2AB, RPS3A, THOC4, RPL7A, UBB, EIF3I, HIST1H2AG, RPS2, UBA52, S100A9, HIST1H1C
12	CDK1	5.43e-06	-1.37	12.2	RB1, FEN1, MKI67, CCNB1, FZR1, LMNA, E2F1, LBR, SPECC1, CDT1, GADD45A, APLP2, ORC6L, KIF22, RANGAP1, SFRS2, ANK1, PRKAB1, CARHSP1, PRC1, TAL1, EEF1D, RANBP10, BIRC5, MCM4, CDKN3
13	ESR1	7.98e-07	-1.18	12.16	RPL3, LDB1, TFRC, RPL36A, MKI67, RPL7A, TUBA1B, RPS16, UBB, BAG1, PSMD1, RPS2, BCAS2, HSPA8, GADD45A, RPS8, H2AFX, RPS3A, DEK, HNRNPAB, RPS26, CSDA, EIF3I, RPL24, PABPC1, RPS24
14	EIF2C1	1.49e-05	-1.45	11.78	RPS26, PRNP, RPL7A, PHF5A, RPS8, RPL23, ATP5C1, RPS27L, RPL24, RPS3A, RPS2, PABPC1
15	GC20	4.52e-05	-1.53	11.21	RPS26, EEF1B2, RPL3, RPS16, EIF3K, EEF1D, RPS29, PSME3, RPA3, ETFA, RPS3A
16	CDK2	8.18e-06	-1.29	11.02	RB1, FEN1, MCM7, RPS27L, MKI67, CCNB1, FZR1, RPS16, LMNA, E2F1, PSMD1, TLK1, LBR, CDT1, KIF22, RANGAP1, SFRS2, ANK1, CSDA, PRC1, UBE2O, BIRC5, MCM4, PABPC1, MCM2, CDKN3
17	NFKB2	2.50e-05	-1.41	10.96	RB1, HSPA8, RPL7A, RPS16, UBB, RPS8, E2F1, RPLP2, PSMD1, RPS3A, PABPC1, RPS24
18	UBB	4.38e-05	-1.39	10.19	HSPA8, CDT1, RABGEF1, RNF11, USP7, UBB, PSMD4, H2AFX, UBE2L6, SNCA
19	231403	3.08e-05	-1.32	10.09	RPL3, TFRC, MCM7, RANGAP1, APEH, EEF1B2, PSMD4, EEF1D, PSME3, RPA3, PSMD1, RPL24, PABPC1, MCM6, AARS
20	HSPA8	1.09e-04	-1.35	8.86	RB1, HSPA8, DNAJB1, FTL1, UBB, GCH1, BAG1, DYNLL1, CENPA, SOD1, HCFC1
21	GRB2	9.44e-06	-0.92	7.82	OTUD5, RNF10, ALAS2, RPL3, DLST, TUBA1B, RPS16, UBB, LMNA, RPLP2, HMGN2, RAB8B, SPECC1, HSPA8, PRNP, RPS8, RPL23, AP1B1, RPS3A, DYNLL1, PRKAB1, RPS26, EEF1G, TUBB2C, ST5, RPL24, PABPC1, UBA52
22	SUMO2	1.82e-04	-1.27	7.78	EEF1G, HSPA8, TUBB2C, TUBA1B, RPL3, PHF5A, COX17, CDCA8, RANGAP1, MKI67
23	SRRM2	2.19e-04	-1.3	7.74	EEF1B2, PRNP, RPL7A, EEF1D, EIF3I, LMNA, RPS3A, RPS2, MCM6, BCAS2
24	EIF2C2	1.36e-04	-1.21	7.73	RPS26, RPL7A, RPL3, RPL23, ATP5C1, RPS27L, RPL24, RPS3A, PABPC1, RPS2
25	SNCA	4.09e-04	-1.14	6.17	RNF10, MGST3, AP1B1, HIST2H2AB, ATP5C1, ATP5H, DYNLL1, COX6C, TUBB5, UBB, NDUFS7, CD47, NDUFV1, SNCA
26	SP1	7.32e-04	-1.16	5.75	RB1, HSPA8, ARHGAP21, LDB1, TAL1, RNF19A, LMO2, E2F1, E2F2, HCFC1
27	RPS27A	1.22e-03	-1.21	5.55	DNAJB2, RABGEF1, RNF11, PSMD4, ACSL1, FTH1, TAX1BP1, PRKAB1, KLF1
28	DLG4	4.06e-04	-0.96	5.22	HSPA8, SEMA4B, ATP5C1, DYNLL1, SOD1, EEF1G, TUBB2C, PRDX2, TUBA1B, TUBB5, SLC6A9, UBB, PRKAR2B, NPTN, UBA52, SNCA
29	HGS	5.51e-04	-0.99	5.14	HSPA8, GFI1B, UBB, ARL6IP1, APLP2, TMCC2, RPS3A, UBA52
30	KAT5	6.73e-04	-1.02	5.11	CCNB1, H3F3B, UHRF1, MORF4L2, H2AFX, LMNA, E2F1, HDGF
31	NFKBIA	9.84e-04	-1.05	4.92	HSPA8, TUBA1B, MCM7, RPL23, RPS27L, MCM5, DYNLL1, ATF4
