	Term	p-value	z-score	CS	Related Genes
1	Ribosome	2.34e-09	-1.75	25.27	RPS9, RPL32, RPL31, RPL34, RPS6, RPL10A, RPL9, MRPL33, RPS14, RPS19, RPL36AL, RPL27A, RPS3, RPL27, RPL29, RPL18, RPS11, RPL39, RPS13, RPS12
2	Salmonella infection	2.02e-07	-1.7	18.16	ARPC1B, WAS, FOS, ARPC5, CXCL2, ACTB, ARPC3, IL1B, CCL4, CASP1, CCL3, CD14, PFN1, MYD88
3	B cell receptor signaling pathway	2.26e-04	-1.86	8.58	CD79B, IFITM1, CD72, BTK, RAC2, PTPN6, FOS, VAV1, PIK3CG
4	Chemokine signaling pathway	1.93e-04	-1.85	8.52	WAS, CXCR4, ARRB2, CXCL2, VAV1, PIK3CG, GNAI2, GNG10, GNB2, CCL5, ADRBK1, CCL4, CCL3, RAC2, PRKACB
5	Legionellosis	1.83e-04	-1.84	8.46	EEF1A1, VCP, IL1B, CASP1, CD14, CXCL2, MYD88, TLR2
6	Regulation of actin cytoskeleton	7.38e-04	-1.75	6.8	ACTN1, ARPC1B, WAS, IQGAP1, ARPC5, ACTB, VAV1, PIK3CG, PPP1CA, ARPC3, TMSB4X, RAC2, NCKAP1L, CD14, PFN1
7	Toll-like receptor signaling pathway	7.32e-04	-1.74	6.77	IL1B, CCL5, CCL4, SPP1, CCL3, CD14, FOS, MYD88, PIK3CG, TLR2
8	Leukocyte transendothelial migration	4.38e-04	-1.6	6.59	ACTN1, RASSF5, NCF4, RAC2, CXCR4, CYBA, MMP9, ACTB, VAV1, PIK3CG, GNAI2
9	Alzheimer's disease	2.15e-03	-1.62	4.95	PSENEN, APP, COX7A2L, NDUFA7, NDUFA13, IL1B, NDUFA3, NDUFA1, ATP2A3, CALM3, GAPDH, COX5A
10	Lysosome	2.08e-03	-1.57	4.81	CD63, NAPSA, GM2A, PSAP, LAPTM5, CTSH, MAN2B1, CTSG, LITAF, CLN5
11	Chagas disease (American trypanosomiasis)	2.34e-03	-1.56	4.78	IL1B, CCL5, CCL3, FOS, CD3D, MYD88, PIK3CG, TLR2, GNAI2
12	Osteoclast differentiation	3.37e-03	-1.58	4.47	TYROBP, IL1B, NCF4, BTK, SIRPA, FOSB, CYBA, FOS, JUNB, PIK3CG
13	Fc gamma R-mediated phagocytosis	4.19e-03	-1.49	4.16	MARCKS, ARPC3, ARPC1B, WAS, RAC2, ARPC5, VAV1, PIK3CG
14	Rheumatoid arthritis	3.48e-03	-1.43	4.05	IL1B, CCL5, CCL3, FOS, LTB, ATP6V1E1, ATP6V1D, TLR2
15	Leishmaniasis	4.21e-03	-1.41	3.94	IL1B, NCF4, PTPN6, CYBA, FOS, MYD88, TLR2
16	Pathogenic Escherichia coli infection	4.46e-03	-1.23	3.44	ARPC3, ARPC1B, WAS, ARPC5, CD14, ACTB
17	Pertussis	4.83e-03	-1.22	3.38	IL1B, CASP1, CALM3, FOS, CD14, MYD88, GNAI2
18	Bacterial invasion of epithelial cells	5.88e-03	-1.26	3.31	SEPT11, ARPC3, ARPC1B, WAS, ARPC5, ACTB, PIK3CG
19	TNF signaling pathway	1.05e-02	-1.35	3.03	CEBPB, IL1B, CCL5, FOS, JUNB, MMP9, CXCL2, PIK3CG
20	Oxidative phosphorylation	1.04e-02	-1.31	2.94	COX7A2L, NDUFA7, NDUFA13, NDUFA3, NDUFA1, ATP6V1E1, ATP6V1D, COX5A, ATP5L
21	Fc epsilon RI signaling pathway	1.13e-02	-1.28	2.83	FCER1G, BTK, RAC2, FCER1A, VAV1, PIK3CG
22	Parkinson's disease	1.51e-02	-1.19	2.41	COX7A2L, NDUFA7, NDUFA13, NDUFA3, NDUFA1, SLC25A5, PRKACB, COX5A, GNAI2
23	Shigellosis	9.33e-03	-1.06	2.4	ARPC3, ARPC1B, WAS, ARPC5, PFN1, ACTB
24	cAMP signaling pathway	1.86e-02	-1.22	2.38	RAC2, CALM3, FFAR2, FOS, ATP1A1, ATP1B1, PRKACB, VAV1, PIK3CG, GNAI2, PPP1CA
25	NF-kappa B signaling pathway	1.39e-02	-1.11	2.29	IL1B, CCL4, BTK, LTB, CD14, CXCL2, MYD88
26	Gastric acid secretion	1.62e-02	-1.13	2.28	CALM3, ATP1A1, ATP1B1, PRKACB, ACTB, GNAI2
27	Adherens junction	1.62e-02	-1.03	2.08	ACTN1, WAS, RAC2, PTPN6, IQGAP1, ACTB
28	Amoebiasis	1.95e-02	-1.06	2.06	ACTN1, IL1B, CTSG, CD14, PRKACB, PIK3CG, TLR2
29	Tuberculosis	2.21e-02	-1.05	1.98	CD74, CEBPB, FCER1G, IL1B, CALM3, CD14, CORO1A, MYD88, CAMP, TLR2
