	Term	p-value	z-score	CS	Related Genes
1	Cytoplasmic Ribosomal Proteins (Mus Musculus)	2.59e-06	-1.91	14.08	RPS15, RPL3, RPL18A, RPL32, RPS29, RPL12, RPL24, RPL27, RPL39, RPS13, RPS24, RPL19
2	B Cell Receptor Signaling Pathway (Homo Sapiens)	9.72e-05	-2.0	10.56	MAP4K1, NFKBIA, MEF2C, BCL6, CD81, IRF4, PLCG2, REL, ETS1, FOXO1, RELA
3	Cytoplasmic Ribosomal Proteins (Homo Sapiens)	8.82e-05	-1.91	10.07	RPL3, RPL32, RPL12, RPS15, RPL18A, RPS29, RPL24, RPL27, RPL39, UBA52, RPS13, RPS24, RPL19
4	Adipogenesis Genes (Mus Musculus)	1.02e-04	-1.88	9.93	CEBPB, EGR2, MBNL1, MEF2C, GADD45A, STAT3, IRS2, MIF, FOXO1, KLF7, SOCS3, KLF6, LMNA
5	Diurnally Regulated Genes With Circadian Orthologs (Mus Musculus)	1.09e-04	-1.85	9.78	DAZAP2, HSPA8, PER1, PPP2CB, CEBPB, BTG1, KLF9, HERPUD1
6	Diurnally Regulated Genes With Circadian Orthologs (Homo Sapiens)	1.40e-04	-1.83	9.68	DAZAP2, HSPA8, PER1, PPP2CB, CEBPB, BTG1, KLF9, HERPUD1
7	Adipogenesis (Homo Sapiens)	1.45e-04	-1.83	9.67	CEBPB, EGR2, MBNL1, MEF2C, GADD45A, STAT3, IRS2, MIF, FOXO1, KLF7, SOCS3, KLF6, LMNA
8	Exercise-Induced Circadian Regulation (Mus Musculus)	1.79e-04	-1.76	9.18	DAZAP2, HSPA8, PER1, PPP2CB, CEBPB, BTG1, KLF9, HERPUD1
9	Interferon Type I Signaling Pathways (Homo Sapiens)	4.76e-04	-1.71	7.42	EIF4A1, SOCS3, MAP3K1, LCK, STAT3, PDCD4, REL, IRS2
10	Tcr Signaling Pathway (Homo Sapiens)	1.19e-03	-1.73	6.09	MAP4K1, NFKBIA, CD83, IRF4, REL, CD3G, CD3E, CD3D, RELA
11	Oncostatin M Signaling Pathway (Homo Sapiens)	3.03e-03	-1.72	4.68	NFKBIA, EGR1, SOCS3, CEBPB, STAT3, JUNB, RELA
12	Tnf-Alpha Nf-Kb Signaling Pathway (Mus Musculus)	5.12e-03	-1.67	4.24	NFKBIA, MAP3K1, TBK1, EIF4A3, NFKBIZ, POLR1D, REL, TNFAIP3, YWHAZ, MARK2, RELA, RPS13
13	Il-4 Signaling Pathway (Homo Sapiens)	4.78e-03	-1.64	4.18	NFKBIA, SOCS3, CEBPB, STAT3, IRS2, RELA
14	Apoptosis-Related Network Due To Altered Notch3 In Ovarian Cancer (Homo Sapiens)	4.39e-03	-1.45	3.71	SOCS3, NGFRAP1, F2R, ETS1, SQSTM1, YBX3
15	Mapk Signaling Pathway (Mus Musculus)	1.31e-02	-1.72	2.96	MAP4K1, RAP1B, HSPA8, MEF2C, MAP3K1, GADD45A, RASA1, CASP1, ATF4, TGFBR2
16	Chemokine Signaling Pathway (Mus Musculus)	1.91e-02	-1.52	2.4	NFKBIA, RAP1B, CCL5, STAT3, CXCR5, CXCR4, XCL1, CCR7, CCR6, RELA
17	Bdnf Signaling Pathway (Homo Sapiens)	2.01e-02	-1.42	2.25	NFKBIA, EGR1, EGR2, MEF2C, MAP3K1, STAT3, IRS2, SQSTM1, RELA
18	Mapk Signaling Pathway (Homo Sapiens)	2.51e-02	-1.55	2.25	MAP4K1, RAP1B, HSPA8, MEF2C, MAP3K1, GADD45A, RASA1, CASP1, ATF4, TGFBR2
19	Signaling Of Hepatocyte Growth Factor Receptor (Homo Sapiens)	1.67e-02	-1.16	1.83	MAP4K1, RAP1B, RASA1, STAT3
20	Signaling Of Hepatocyte Growth Factor Receptor (Mus Musculus)	1.83e-02	-1.14	1.8	MAP4K1, RAP1B, RASA1, STAT3
21	Myometrial Relaxation And Contraction Pathways (Mus Musculus)	2.79e-02	-1.25	1.8	PRKAR1A, ATP2A3, PDE4B, PLCG2, YWHAZ, ACTB, ATF3, ETS2, ATF4
22	Apoptosis (Mus Musculus)	2.63e-02	-1.19	1.74	NFKBIA, MAP3K1, IRF4, IRF1, CASP1, RELA
23	Il-1 Signaling Pathway (Homo Sapiens)	2.65e-02	-1.17	1.71	NFKBIA, MAP3K1, REL, SQSTM1, RELA
24	Pdgf Pathway (Homo Sapiens)	1.99e-02	-1.08	1.71	NFKBIA, MAP3K1, RASA1, STAT3
25	Myometrial Relaxation And Contraction Pathways (Homo Sapiens)	3.21e-02	-1.23	1.7	PRKAR1A, ATP2A3, PDE4B, PLCG2, YWHAZ, ACTB, ATF3, ETS2, ATF4
26	T-Cell Receptor And Co-Stimulatory Signaling (Homo Sapiens)	1.52e-02	-1.02	1.66	NFKBIA, LCK, RASA1, CTLA4
27	Egf/Egfr Signaling Pathway (Homo Sapiens)	3.90e-02	-1.1	1.52	MAP4K1, MEF2C, MAP3K1, RASA1, SH2D2A, STAT3, FOSB, FOXO1, ARF6
28	Leptin Signaling Pathway (Homo Sapiens)	3.17e-02	-1.09	1.51	SOCS3, STAT3, REL, FOXO1, RELA
29	Insulin Signaling (Homo Sapiens)	4.16e-02	-1.09	1.5	MAP4K1, EGR1, SOCS3, MAP3K1, STXBP2, SLC2A1, IRS2, FOXO1, ARF6
30	Il-1 Signaling Pathway (Mus Musculus)	2.17e-02	-0.87	1.35	NFKBIA, CASP1, SQSTM1, RELA
31	Apoptosis (Homo Sapiens)	3.68e-02	-0.98	1.35	NFKBIA, MAP3K1, IRF4, IRF1, CASP1, RELA
32	Mrna Processing (Mus Musculus)	5.28e-02	-0.95	1.19	DDX6, MBNL1, RPL32, RPL12, EIF4A3, CIRBP, ZCRB1, LSM4, PUF60, RPS29, DHX38, MATR3, HNRNPC, RPL39, RPS13, RPS24, RPL19
33	Corticotropin-Releasing Hormone (Homo Sapiens)	4.39e-02	-0.79	1.08	NFKBIA, RAP1B, PLCG2, FOSB, JUNB, RELA
34	Il-7 Signaling Pathway (Mus Musculus)	3.67e-02	-0.69	0.95	IRF1, STAT3, IRS2, FOXO1
35	Il-6 Signaling Pathway (Homo Sapiens)	3.67e-02	-0.66	0.91	SOCS3, IRF1, STAT3, JUNB
36	Il-3 Signaling Pathway (Mus Musculus)	5.83e-02	-0.64	0.79	SOCS3, LCK, STAT3, SLC2A1, YWHAZ, FOXO1
37	Insulin Signaling (Mus Musculus)	6.78e-02	-0.68	0.76	MAP4K1, EGR1, SOCS3, MAP3K1, STXBP2, SLC2A1, FOXO1, ARF6
38	Tslp Signaling Pathway (Homo Sapiens)	4.74e-02	-0.4	0.54	NFKBIA, LCK, STAT3, RELA
39	Type Ii Interferon Signaling  (Ifng) (Mus Musculus)	3.92e-02	-0.33	0.45	SOCS3, IFNGR1, IRF4, IRF1
40	Leptin Insulin Overlap (Mus Musculus)	1.16e-02	-0.24	0.43	SOCS3, STAT3, IRS2
41	Egfr1 Signaling Pathway (Mus Musculus)	1.11e-01	-0.51	0.42	SOCS3, CEBPB, MAP3K1, PRKAR1A, RASA1, STAT3, PLCG2, FOXO1
42	Delta-Notch Signaling Pathway (Mus Musculus)	8.10e-02	-0.34	0.34	NFKBIA, MEF2C, LCK, STAT3, RELA
43	Membrane Trafficking (Homo Sapiens)	7.79e-02	-0.33	0.33	HSPA8, UBB, FTH1, VPS37B, UBA52
44	Tnf Alpha Signaling Pathway (Homo Sapiens)	9.75e-02	-0.39	0.33	NFKBIA, MAP3K1, TBK1, REL, TNFAIP3
45	Translation Factors (Mus Musculus)	4.46e-02	-0.14	0.19	EIF4A1, EIF5, EIF3F, EIF3D
46	Type Ii Interferon Signaling  (Ifng) (Homo Sapiens)	5.64e-02	-0.11	0.13	SOCS3, IFNGR1, IRF4, IRF1
47	Il-9 Signaling Pathway (Mus Musculus)	3.48e-02	-0.03	0.04	SOCS3, STAT3, IRS2
48	Translation Factors (Homo Sapiens)	9.26e-02	-0.03	0.03	EIF4A1, EIF5, EIF3F, EIF3D
49	Il-6 Signaling Pathway (Mus Musculus)	1.39e-01	-0.0	0.0	PPP2CB, SOCS3, CEBPB, STAT3, FOXO1
50	Metapathway Biotransformation (Homo Sapiens)	9.94e-01	4.57	-0.03	HS3ST1
51	Age/Rage Pathway (Homo Sapiens)	1.19e-01	0.05	-0.04	NFKBIA, STAT3, FOXO1, RELA
52	Metapathway Biotransformation (Mus Musculus)	9.72e-01	4.8	-0.12	HS3ST1
53	Focal Adhesion (Homo Sapiens)	9.65e-01	4.58	-0.12	RAP1B, ACTB
54	Focal Adhesion (Mus Musculus)	9.63e-01	4.59	-0.12	RAP1B, ACTB
55	Micrornas In Cardiomyocyte Hypertrophy (Homo Sapiens)	9.51e-01	4.74	-0.12	STAT3
56	Wnt Signaling Pathway Netpath (Mus Musculus)	9.47e-01	4.76	-0.12	MARK2
57	Odorant Gpcrs (Mus Musculus)	9.66e-01	4.83	-0.13	GPR171
58	Esc Pluripotency Pathways (Mus Musculus)	9.60e-01	4.84	-0.13	STAT3
59	Tsh Signaling Pathway (Homo Sapiens)	1.23e-01	0.16	-0.13	GNA13, RAP1B, EGR1, STAT3
60	Integrin-Mediated Cell Adhesion (Mus Musculus)	9.32e-01	4.72	-0.14	RAP1B
61	Integrin-Mediated Cell Adhesion (Homo Sapiens)	9.38e-01	4.72	-0.14	RAP1B
62	Neural Crest Differentiation (Homo Sapiens)	9.39e-01	4.77	-0.14	ETS1
63	Wnt Signaling Pathway And Pluripotency (Homo Sapiens)	9.38e-01	4.82	-0.14	PPP2CB
64	Wnt Signaling Pathway And Pluripotency (Mus Musculus)	9.24e-01	4.85	-0.14	PPP2CB
65	Selenium Micronutrient Network (Homo Sapiens)	9.13e-01	4.94	-0.18	RELA
66	Rb In Cancer (Homo Sapiens)	9.11e-01	4.99	-0.18	CDT1
