	Term	p-value	z-score	CS	Related Genes
1	STAT3_ChIP-Seq_CD4+T_Mouse	1.60e-20	-5.26	227.79	BTG1, CD83, TFRC, D16ERTD472E, TNFAIP3, SMG7, ETS1, PRR8, ACTB, BACH2, ZC3H12D, MYD116, FTH1, GPR171, CTLA4, CCR7, KLF13, IFNGR1, D19WSU162E, LMO2, EMP1, ATP1B3, JUND1, VPS37B, YWHAZ, TPST2, IMPACT, FCHSD2, RASA1, IRF1, SPATA13, TXNIP, XCL1, PRKD2, ATF3, BC031781, IBRDC3, DDX6, CUL3, CXCR4, THY1, ADRB2, ZFP36L1, RAP1B, SFRS5, CNR2, CCL5, LMNA, SLC38A2, SKIL, EGR1, EGR2, MAP3K1, EGR3, LOC666403, STAT3, 2310016C08RIK, KLF4, GADD45G, BCL6, ARPC3, STK17B, PDCD4, REL, CD69, STT3B
2	CLOCK_ChIP-Seq_293T_Human	5.38e-30	-2.29	146.38	DAZAP2, CEBPB, TFRC, CD82, BRI3, BHLHB2, NEDD9, LITAF, ACTB, AQP1, HERPUD1, ZFP36L1, SFRS5, LMNA, MKNK2, PIM3, NDEL1, HIST1H1C, OSBPL9, EGR1, CHKA, H3F3B, RSAD2, GADD45A, TSC22D3, STAT3, CIRBP, ATP1B3, YWHAZ, GNL3, NFKBIA, PER1, EIF5, BCL6, MORF4L2, PDCD4, MYH9, SERINC1, STT3B, ATF4
3	FOXO1_ChIP-Seq_T-LYMPHOCYTE_Mouse	5.02e-49	-1.36	144.22	EIF4A1, CD83, DGKD, CD82, IRS2, ETS1, ETS2, BACH2, ZC3H12D, TBC1D10C, KPNA1, CD97, CSNK1G3, MBNL1, ST6GAL1, RNF44, ARRDC3, F2R, HMHA1, ATP1B3, TPST2, MORF4L1, TXNIP, SQSTM1, UBA52, DDX6, CUL3, STK4, FOXO1, ZFP36L1, RAP1B, SOCS3, UBB, PLCG2, SKIL, EGR1, UVRAG, CDT1, MLL5, HOPX, NFKBIA, BCL6, HBP1, STT3B, DAZAP2, BTG1, LDB1, ZFAND2A, CETN3, TNFAIP3, SMG7, CD3E, CD3D, FAM102A, NFKBIZ, CCR7, CYTIP, KLF13, ELOVL5, IFNGR1, D19WSU162E, TSC22D3, PLAUR, EMP1, VPS37B, TGFBR2, FCHSD2, DAD1, IRF4, RASA1, IRF1, TAX1BP1, ARHGEF3, POLR1D, XCL1, MYH9, BC031781, CXCR5, CXCR4, DENND3, PPP2CB, CNR2, TMEM66, CCL5, MKNK2, LMNA, GCH1, LAPTM5, KLF2, CD2, PER1, RNF145, KLF7, KLF6, CD6, STK17B, PDCD4, FOSB, CD69
4	TAL1_ChIP-Seq_PRIMARY FETAL LIVER ERYTHROID _Mouse	5.48e-39	-1.48	124.12	PANK4, ALAS2, AHCTF1, CLIC4, BTG1, RPL3, TFRC, LDB1, RPL32, TCF25, ZFAND2A, EIF4A3, ATP2A3, SLC2A1, SLC4A1, IRS2, USE1, ACTB, AQP1, ALAD, RABGEF1, UROD, FTH1, SESN1, RNF19A, 5730469M10RIK, HIST2H3C1, SCD1, KPNA1, NDEL1, HIST1H1C, CD97, MBNL1, MEF2C, RNF44, KLF13, 1190002H23RIK, TSC22D3, ARRDC3, F2R, CIRBP, HMHA1, VPS37B, GTPBP4, TGFBR2, NISCH, TXNIP, GYPA, OAT, WBP2, RPL12, ODC1, CXCR5, ATP1A1, ADRB2, SAMSN1, ZFP36L1, RAP1B, UGCG, PPP2CB, UBB, MKNK2, LMNA, PLCG2, HIST1H3H, TBC1D15, MARK2, UBE1L, EGR1, CDT1, 1300018I05RIK, H3F3B, GADD45A, IRGM1, HOPX, GADD45G, LASS2, RNF145, KLF7, KLF6, EIF5, KLF9, PDCD4, FOSB, HBP1
5	MYC_ChIP-ChIP_MESC_Mouse	1.33e-27	-2.0	117.36	EIF4A1, RPL3, LDB1, RPL32, PPP1R10, ZFAND2A, D16ERTD472E, ACTB, ETS2, ALAD, RPS15, TBK1, UBL3, RPL18A, PIM3, CCR6, RPL39, RPS13, KPNA1, NDEL1, JMJD3, CDV3, TSC22D3, MIF, GNL3, PTP4A1, MORF4L1, BXDC2, MORF4L2, ARHGEF3, TXNIP, RPL24, RPL27, MATR3, UBA52, BC031781, RPL12, ODC1, THY1, ADRB2, ZFP36L1, STIP1, TMEM23, LMNA, SLC38A2, 2600005C20RIK, RPL19, HSPA9, UVRAG, HSPA8, 1300018I05RIK, 2510006D16RIK, CHKA, STAT3, CCT6A, PER1, TUBA6, KLF7, EIF5, RPS29, KLF9, STT3B, RPS24
6	MYB_ChIP-Seq_ERMYB_Mouse	1.14e-29	-1.84	116.3	CLIC4, BTG1, D16ERTD472E, CHD7, UBL3, NFKBIZ, JUNB, NDEL1, CD97, SRGN, NUDC, KLF13, WSB1, MREG, RSAD2, ELOVL5, IFNGR1, PLAUR, EMP1, GTPBP4, GNL3, RILPL2, IRF1, SPATA13, MYH9, SQSTM1, CD274, CEBPB, ATP10D, NEDD9, CXCR4, UNC84B, SAMSN1, ZFP36L1, RAP1B, CCL5, MKNK2, LMNA, PLCG2, SLC38A2, OSBPL9, PRNP, HSPA8, PLEKHA2, SLC25A37, KLF7, KLF6, BCL6, STK17B, KLF9, PDCD4, HBP1, CD69, NFKBID
7	CREB1_ChIP-Seq_GC1-SPG_Mouse	1.22e-47	-1.11	114.64	PANK4, EIF4A1, ISCA1, RPL3, RPL32, POP4, EIF4A3, ACTB, BACH2, FAM134B, FTH1, RNF19A, JUNB, RPS13, HMGN1, RNF44, WSB1, TAGAP1, TPM4, CIRBP, ZCRB1, WBP11, GTPBP4, TPST2, MORF4L1, MORF4L2, CCDC86, RPL24, RPL27, CSNK1G2, 2310044H10RIK, ATF4, H2-M3, STK4, FOXO1, RNASET2B, RAP1B, SOCS3, STIP1, SFRS5, NUAK2, UBB, HIST1H3H, SLC38A2, SKIL, TBC1D15, OSBPL9, MLL1, EGR1, PLK3, UVRAG, PRNP, CD164, HSPA8, 1300018I05RIK, H2-EB1, EGR3, CHKB, CHKA, H3F3B, RPS29, REL, UBE2O, NFKBID, H2-T23, DYRK3, PRR7, BTG1, PPP1R10, TCF25, ZFAND2A, ATP2A3, SLC2A1, ALAD, UBL3, NFKBIZ, HIST2H3C1, NDEL1, ELOVL5, D19WSU162E, JOSD2, PLRG1, VPS37B, YWHAZ, PTP4A1, FCHSD2, BXDC2, IRF1, TAX1BP1, MYH9, STRAP, TMBIM6, BC031781, ARF6, CEBPB, OAT, SATB1, WBP2, H2-DMA, AW549877, LENG9, DENND3, RELA, PUF60, TMEM66, TRA2A, RABAC1, RPL19, STAT3, HS3ST1, KLF2, PER1, KLF7, KLF6, KLF9, FOSB, EIF3D
8	CREB1_ChIP-Seq_HIPPOCAMPUS_Rat	2.54e-43	-1.21	113.24	EIF4A1, ISCA1, POP4, EIF4A3, ACTB, FTH1, PIM3, JUNB, RPS13, RNF44, WSB1, CIRBP, ZCRB1, MIF, MORF4L1, MORF4L2, TXNIP, CCDC86, RPL24, PRKD2, MATR3, UBA52, ATF3, CSNK1G2, ATF4, GGNBP2, SOCS3, STIP1, NUAK2, UBB, SKIL, TBC1D15, MARK2, MLL1, EGR1, UVRAG, HSPA8, H2-EB1, CHKB, CHKA, H3F3B, MLL5, RANBP10, REL, UBE2O, HBP1, HNRNPC, STT3B, NFKBID, RPS24, DAZAP2, PRR7, BTG1, PPP1R10, TCF25, ZFAND2A, AKAP8L, SMG7, USE1, HERPUD1, UBL3, ARIH2, PDE4B, EMD, NDEL1, CDV3, KLF13, ELOVL5, D19WSU162E, TSC22D3, JOSD2, PLRG1, VPS37B, YWHAZ, PTP4A1, DAD1, MYH9, BC031781, CEBPB, OAT, WBP2, H2-DMA, AW549877, LENG9, ATP1A1, PUF60, TMEM66, TRA2A, LMNA, CD74, GCH1, STAT3, KLF4, SORL1, KLF2, SLC25A37, PER1, KLF6, KLF9, FOSB
9	NUCKS1_ChIP-Seq_HEPATOCYTES_Mouse	2.40e-26	-1.89	106.1	EIF4A1, CEBPB, TFRC, CD82, DGKA, ODC1, SLC2A1, TNFAIP3, IRS2, ADRB2, ETS1, FOXO1, RELA, ZFP36L1, SOCS3, SESN1, FTH1, JUNB, SKIL, KPNA1, MAP4K1, PLK3, EGR1, HSPA8, EGR2, MAP3K1, GADD45A, STAT3, YWHAZ, TGFBR2, NFKBIA, ELF1, BCL6, LCK, IRF1, RASA1, REL, PDCD4, FOSB, STRAP, ATF3, ATF4
10	STAT4_ChIP-ChIP_TH1  _Mouse	1.20e-20	-2.39	103.8	CD83, CD82, POP4, DGKA, D16ERTD472E, HBB-B2, NRM, SLC2A1, HBB-B1, LRMP, FTH1, CASP1, ARIH2, CTLA4, CCR7, CTSE, TNFRSF4, JUNB, NDEL1, HIST1H1C, JMJD3, MEF2C, EMP1, JUND1, VPS37B, WBP11, TGFBR2, TPST2, HIST2H3B, IRF4, IRF1, ARHGEF3, MATR3, RPL27, ATF3, BC031781, ARF6, CD274, SATB1, BHLHB2, THY1, ZFP36L1, SOCS3, UBB, TMEM23, 2610028H07RIK, TBC1D15, 2600005C20RIK, OSBPL9, EGR2, CHKB, GADD45A, STAT3, SCOTIN, LSM4, GADD45G, PER1, KLF7, BCL6, PDCD4, CD69, 3110001A13RIK
