	Term	p-value	z-score	CS	Related Genes
1	UBC	4.04e-14	-1.24	31.2	DAZAP2, CD81, AKAP8L, CXCR4, NEDD9, TNFAIP3, IRS2, ADRB2, ETS1, CD3D, FOXO1, RELA, RABGEF1, SRR, NUAK2, TBK1, ARIH2, SKIL, MAP4K1, HSPA8, CDT1, PLK3, MAP3K1, LAPTM5, KLF4, YWHAZ, KLF2, TGFBR2, NFKBIA, KLF6, LCK, IRF1, PDCD4, TAX1BP1, SQSTM1, ATF4
2	MAP3K1	5.13e-10	-1.46	24.62	HSPA9, MAP4K1, HSPA8, MAP3K1, RPL3, CD82, ACTN2, STAT3, YWHAZ, ETS2, ACTB, ARHGAP4, CCT6A, NFKBIA, UBB, RPL24, UBA52, RPS13
3	SP1	7.86e-09	-1.61	24.07	HSPA8, EGR1, MEF2C, CEBPB, LDB1, STAT3, LMO2, KLF4, ETS1, RELA, CD2, ELF1, KLF6, BCL6, RNF19A, REL, PFDN5
4	GABARAPL2	9.78e-11	-1.27	22.82	EIF4A1, RPL3, WBP2, CUL3, RPL12, STK4, ACTB, STIP1, PUF60, POLD1, TRA2A, TBC1D15, RPS13, RPL19, HIST1H1C, HSPA9, HSPA8, PLRG1, MIF, YWHAZ, GTPBP4, CCT6A, PRKAR1A, STRAP, UBE2O, RPL24, RPL27, MATR3, HNRNPC, SQSTM1, RPS24
5	RELA	1.95e-09	-1.41	22.47	HSPA9, HSPA8, EGR1, CEBPB, TSC22D3, STAT3, AKAP8L, RELA, NFKBIA, PPP2CB, TBK1, UBB, IRF1, NFKBIZ, REL, MATR3, RPL27, RPS13, ATF3, HIST1H1C, ATF4
6	GABARAP	6.05e-10	-1.29	21.71	EIF4A1, RPL3, TFRC, WBP2, CUL3, RPL12, STK4, ACTB, RPL18A, PUF60, TRA2A, TBC1D15, RPS13, RPL19, HIST1H1C, HSPA9, HSPA8, PLRG1, MIF, YWHAZ, GNL3, PRKAR1A, RPL24, MATR3, RPL27, HNRNPC, SQSTM1, RPS24
7	NFKB1	1.60e-07	-1.69	21.22	HSPA9, HSPA8, CEBPB, IFNGR1, TSC22D3, STAT3, ETS1, RELA, NFKBIA, ELF1, TBK1, TMEM66, IRF1, NFKBIZ, REL, MYH9, MATR3, ATF3, KPNA1
8	NFKB2	1.38e-07	-1.52	19.04	HSPA9, HSPA8, TSC22D3, STAT3, RELA, NFKBIA, TBK1, UBB, NFKBIZ, REL, MYH9, MATR3, HNRNPC, RPS24, RPS13
9	ESR1	3.32e-09	-1.21	18.84	EIF4A1, CEBPB, RPL3, LDB1, TFRC, RPL12, IRS2, RELA, ACTB, FOXO1, RPL18A, UBB, MKNK2, EMD, JUNB, RPS13, RPL19, HSPA9, UNC45A, HSPA8, MAP3K1, GADD45A, STAT3, GTPBP4, GADD45G, GNL3, LCK, MYH9, RPL24, RPS24
10	LCK	5.15e-08	-1.29	17.26	SH2D2A, DGKA, STAT3, NEDD9, SLC4A1, THY1, CD3E, ACTB, CD2, NFKBIA, SOCS3, LCK, RASA1, PLCG2, CTLA4, SQSTM1
