	Term	p-value	z-score	CS	Related Genes
1	SLC2A4	3.60e-27	-1.21	67.0	HIBADH, YWHAB, RPL31, ATP5C1, RPL10A, RPS4X, RPS14, TUBB5, LGALS1, LAMP1, ALDH2, ACADM, RPS11, PRKACB, CTSB, RPS12, RPS9, TPI1, SSR4, ANXA2, RPS8, RPS5, RPL13A, PGD, DYNLL1, APRT, EEF1A1, ERP29, VDAC1, UQCRC2, SLC25A5, GAPDH, COPB2, VCP, GSTP1, LYZ2, COX5A, PSMA7, ATP5B, PRDX5, PRDX4, PSMB1, RPS3, RPS2, NDUFV2, NDUFA9, MRPL23, HNRNPAB, PPP1CA, RPS25, GNB2, SFXN1, DYNLRB1
2	GABARAPL1	3.53e-18	-1.28	45.11	YWHAB, RPL31, RPLP1, GSTP1, ATP5C1, RPL10A, PIK3CG, GABARAP, HSP90B1, ATP5L, RPS4X, EEF1B2, ATP5B, RPS14, PRDX4, ALDH2, RASSF5, PSMB1, RPS3, ACADM, RPS2, S100A11, RPS9, SSR4, NUP210, ANXA2, RPS8, RPS5, RPL13A, HNRNPAB, NME1, EEF1A1, EEF1G, SLC25A5, S100A9, GAPDH, PPIA, S100A8
3	HNRNPK	2.01e-12	-1.62	36.99	TPI1, ANXA2, RPS8, RPL31, RPS5, ARRB2, GABARAP, RPS4X, EEF1A1, ATP5B, RPS25, RPS14, ALDH2, SUMO2, RPS3, S100A6, UQCRC2, RPS2, PRKACB, S100A11
4	GABARAPL2	4.62e-14	-1.25	32.71	RPL31, RPLP1, GSTP1, PYGL, RPL10A, GABARAP, GSPT1, PSMA7, HSP90B1, RPS4X, EEF1B2, ATP5B, PRDX4, RASSF5, RPS3, VPS35, RPS2, RPS11, RPS9, SSR4, NUP210, ANXA2, RPS8, RPS5, RPL13A, HNRNPAB, EEF1A1, EEF1G, RPS25, VDAC1, SLC25A5, S100A9, GAPDH, PPIA
5	EIF1B	9.09e-11	-1.55	30.25	RPS9, ANXA2, SSR4, RPL31, TALDO1, PSMA7, UBE2L3, RPS26, EEF1B2, RPS14, EIF3I, EIF4H, ERH, MAPRE1, RPS11, RPL29, GAPDH
6	GABARAP	2.00e-12	-1.29	29.42	RPL31, RPLP1, GSTP1, RPL10A, GABARAP, HSP90B1, RPS4X, EEF1B2, ATP5B, RPS14, PRDX4, RASSF5, PSMB1, RPS3, RPS2, RPS9, TPI1, SSR4, NUP210, RPS8, RPS5, H2AFV, NUDT16L1, HNRNPAB, EEF1A1, EEF1G, RPS25, SLC25A5, GAPDH, PPIA
7	ACTB	3.65e-11	-1.35	27.35	RPS9, ANXA2, RPS8, YWHAB, RPLP1, ARRB2, ARPC5, DYNLL1, CENPA, HNRNPAB, CORO1A, GABARAP, RPS4X, EEF1A1, EEF1B2, MARCKS, EIF3I, TMSB4X, ZYX, VDAC1, GAPDH, S100A11, RPS12, MCL1
8	231403	2.35e-09	-1.49	24.58	MCTS1, RPS9, VCP, ANXA2, PYGL, PGD, GSPT1, PSMA7, ATP5L, EEF1B2, RPS14, HINT1, PSMB1, SFXN1, VDAC1, VPS35, UQCRC2, MAPRE1, RPL29, S100A11
9	EIF2C2	4.59e-09	-1.52	24.18	RPS9, SSR4, RPL31, RPS5, ATP5C1, RPL13A, RPL10A, RPS4X, RPS26, EEF1A1, RPL27A, RPS3, RPS2, SLC25A5, RPL29
10	MAP1LC3A	3.82e-10	-1.32	24.0	RPS9, SSR4, RPS8, RPL31, RPLP1, GSTP1, HNRNPAB, GABARAP, NME1, UBE2L3, EEF1A1, RPS4X, EEF1G, ATP5B, RPS14, DNAJC7, RASSF5, RPS3, ERH, RPS2, SLC25A5, S100A9, GAPDH, PPIA
