	Term	p-value	z-score	CS	Related Genes
1	Mp0003656 Abnormal Erythrocyte Physiolo 	2.53e-12	-2.06	44.59	BNIP3L, CD59A, FECH, EIF2AK1, UROS, MAFG, SPNB1, SLC4A1, EPB4.9, ANK1, KLF1
2	Mp0003111 Abnormal Nucleus Morphology 	7.67e-10	-1.82	30.62	RB1, GADD45A, CDCA8, SLC4A1, KIF22, CENPA, FZR1, LMNA, E2F1, BIRC5, MCM4, LBR, MCM2
3	Mp0002080 Prenatal Lethality 	5.45e-13	-1.21	27.07	FEN1, ALAS2, AHCTF1, MCM7, TFRC, LDB1, HS6ST1, AQP1, PSMD4, UROD, FTH1, FNTB, NUSAP1, LBR, HIST1H1C, TMOD1, ATP6AP1, APLP2, SPHK1, LMO2, KIF22, PLRG1, RANGAP1, TAL1, SPNB1, TAX1BP1, RPL24, MCM4, BIRC5, XIST, MCM6, MCM2, FECH, UHRF1, COX17, ODC1, CDCA8, CENPA, UGCG, CCNB1, FZR1, BAG1, E2F1, TXNRD2, UROS, RPA1, HRAS1, LSM4, KLF1, GFI1B, CSDA, SLC6A9, COL5A1, MAFG, SSBP3
4	Mp0002429 Abnormal Blood Cell 	8.36e-12	-1.3	27.0	RB1, ALAS2, DYRK3, FEN1, TFRC, MCM7, SLC4A1, ICAM4, HBA-A1, MPO, AQP1, RABGEF1, CTSE, LBR, TMOD1, BNIP3L, KLF13, RSAD2, SPHK1, LMO2, H2AFX, ANK1, TAL1, PSME3, SPNB1, TXNIP, MCM4, BIRC5, CD47, MCM6, S100A9, ATF4, MCM2, GYPA, FECH, TSPAN33, SAMSN1, PRDX2, FZR1, CD59A, E2F1, E2F2, PRNP, TXNRD2, GADD45A, EIF2AK1, UROS, RPA1, EPB4.9, KLF1, GFI1B, MAFG
5	Mp0002398 Abnormal Bone Marrow 	3.99e-10	-1.34	23.09	RB1, DYRK3, TFRC, FECH, SLC4A1, HBA-A1, TSPAN33, SAMSN1, PRDX2, FZR1, CD59A, E2F1, E2F2, CTSE, LBR, BNIP3L, PRNP, KLF13, RSAD2, GADD45A, UROS, SPHK1, LMO2, H2AFX, EPB4.9, ANK1, KLF1, GFI1B, TAL1, MAFG, PSME3, SPNB1, MCM4, BIRC5, TXNIP, MCM2, ATF4
6	Mp0005636 Abnormal Mineral Homeostasis 	1.09e-06	-1.88	19.11	PRNP, ALAS2, TFRC, EIF2AK1, UROS, SLC4A1, MT1, ANK1, KLF1, PRDX2, FTH1, SPNB1, TXNIP
7	Mp0003077 Abnormal Cell Cycle 	4.89e-07	-1.75	18.89	GPX1, GADD45A, CDCA8, PLRG1, CENPA, FZR1, FNTB, E2F1, NUSAP1, RPL24, BIRC5, MCM4, MCM2
8	Mp0000350 Abnormal Cell Proliferation 	3.00e-07	-1.68	18.83	FEN1, GPX1, TXNRD2, GADD45A, H2AFX, RPA1, PLRG1, HS6ST1, SOD1, FZR1, PSME3, FNTB, E2F1, MCM4, SSBP3, ATF4, MCM2
9	Mp0000313 Abnormal Cell Death 	1.58e-07	-1.47	17.2	RB1, FEN1, GPX1, TFRC, LMO2, CDCA8, CENPA, SOD1, PRDX2, PACS2, TAL1, FTH1, FNTB, E2F1, E2F2, BIRC5, RPL24, GCLM, LBR, SSBP3, ANK, CTSB, HIST1H1C
10	Mp0003186 Abnormal Redox Activity 	1.42e-05	-1.75	14.04	GPX1, PON2, FTH1, MT1, GCLM, ADIPOR1, SOD1
11	Mp0006036 Abnormal Mitochondrial Physio 	9.10e-06	-1.68	13.93	GPX1, FTH1, COX17, BIRC5, TXNIP, HBA-A1, ACSS1, LBR, SNCA
12	Mp0002722 Abnormal Immune System 	3.90e-06	-1.48	13.31	FEN1, FECH, SLC4A1, TSPAN33, PRDX2, LMNA, FNTB, E2F1, E2F2, LBR, HIST1H1C, PRNP, BNIP3L, KLF13, GADD45A, SPHK1, UROS, LMO2, ANK1, TAL1, MAFG, SPNB1, BIRC5, TXNIP, MCM2
13	Mp0010094 Abnormal Chromosome Stability 	4.95e-05	-1.64	11.52	RB1, MCM7, H2AFX, RPA1, MCM4, MCM6, MCM2
14	Mp0001731 Abnormal Postnatal Growth 	2.66e-05	-1.48	11.03	RB1, CAR2, BNIP3L, GPX1, RYK, H2AFX, HRAS1, SLC4A1, CLCN3, HS6ST1, PRKAB1, AQP1, PSMD4, UBB, PSME3, LMNA, TAX1BP1, E2F1, ACSS1, LBR, ATF4, CTSB, SNCA
15	Mp0009763 Increased Sensitivity To 	4.85e-05	-1.53	10.71	RB1, MAP2K3, PRNP, NFE2, H2AFX, SLC4A1, MT1, CLCN3, MPO, SOD1, FTH1, TXNIP, GCLM
16	Mp0002019 Abnormal Tumor Incidence 	2.09e-04	-1.79	10.42	RB1, NFE2, FEN1, GADD45A, ABCB4, H2AFX, LMO2, RPA1, HRAS1, DEK, TSPAN33, FZR1, FNTB, BAG1, E2F1, MCM4, TXNIP, MCM2, CTSB
17	Mp0002083 Premature Death 	1.36e-05	-1.26	10.06	RB1, LDB1, CLCN3, FZR1, LMNA, FNTB, E2F1, E2F2, ACSS1, LBR, HIST1H1C, SNCA, PRNP, BNIP3L, GPX1, GADD45A, LMO2, H2AFX, RPA1, HRAS1, KIF22, PLRG1, ANK1, TAL1, SPNB1, TAX1BP1, MCM4, MCM2
18	Mp0000689 Abnormal Spleen Morphology 	6.37e-05	-1.4	9.57	PRNP, BNIP3L, NFE2, FEN1, KLF13, TFRC, FECH, UROS, LMO2, SLC4A1, TSPAN33, PRDX2, TAL1, FTH1, MAFG, SPNB1, LMNA, FNTB, E2F2, LBR, MCM2
19	Mp0002086 Abnormal Extraembryonic Tissu 	4.32e-05	-1.33	9.37	TMOD1, RB1, FEN1, ALAS2, LDB1, TFRC, UHRF1, LMO2, RANGAP1, CENPA, HS6ST1, UGCG, FZR1, GFI1B, COL5A1, TAL1, BIRC5, XIST, HIST1H1C
20	Mp0008469 Abnormal Protein Level 	1.84e-04	-1.5	8.74	FECH, PON2, UROS, ABCB4, SPHK1, HRAS1, IRGM1, MT1, PRKAB1, SAMSN1, DARC, CD59A, FTH1, IGTP, GCLM, CTSE, S100A9
21	Mp0009931 Abnormal Skin Appearance 	2.88e-04	-1.46	8.15	RB1, ALAS2, TFRC, APLP2, LMO2, SLC4A1, HBA-A1, KLF1, GFI1B, TAL1, LMNA, E2F2, CTSE, LBR
22	Mp0005380 Embryogenesis Phenotype 	2.06e-04	-1.38	8.04	RB1, TMOD1, FEN1, TFRC, LDB1, UHRF1, APLP2, KIF22, RANGAP1, CENPA, FZR1, PSMD4, TAL1, MCM4, XIST, SSBP3
23	Mp0001672 Abnormal Embryogenesis/ Devel 	2.06e-04	-1.37	7.96	RB1, TMOD1, FEN1, TFRC, LDB1, UHRF1, APLP2, KIF22, RANGAP1, CENPA, FZR1, PSMD4, TAL1, MCM4, XIST, SSBP3
24	Mp0001697 Abnormal Embryo Size 	2.21e-04	-1.31	7.59	RB1, TMOD1, FEN1, LMO2, RANGAP1, CENPA, HS6ST1, UGCG, CSDA, FZR1, TAL1, NUSAP1, RPL24, XIST, SSBP3, HIST1H1C
25	Mp0004811 Abnormal Neuron Physiology 	4.53e-04	-1.39	7.18	RB1, SRR, GPX1, SLC6A9, TAL1, FTH1, PLRG1, MT1, GCLM, LBR, CTSB, SNCA
26	Mp0002088 Abnormal Embryonic Growth/Wei 	9.33e-04	-1.33	6.03	TMOD1, RB1, FEN1, TFRC, LDB1, UHRF1, APLP2, CENPA, FZR1, PSMD4, TAL1, MCM4, SSBP3
27	Mp0010771 Integument Phenotype 	1.54e-03	-1.46	6.02	FECH, COL5A1, GADD45A, UROS, FNTB, LMNA, E2F1, E2F2, HRAS1
28	Mp0000609 Abnormal Liver Physiology 	1.06e-03	-1.3	5.78	FECH, TFRC, ABCB4, UROS, CLCN3, ADIPOR1, PRKAB1, KLF1, PSMD4, PRKAR2B, FTH1, SPNB1, TXNIP, E2F2
29	Mp0001191 Abnormal Skin Condition 	2.82e-03	-1.53	5.64	RB1, COL5A1, FECH, GADD45A, TAL1, UROS, E2F1, HRAS1, LBR
30	Mp0005384 Cellular Phenotype 	9.21e-04	-1.2	5.42	RB1, FN3K, BNIP3L, FEN1, GPX1, GADD45A, ADIPOR1, FZR1, FTH1, FNTB, TAX1BP1, RPL24, E2F2, TXNIP, XIST
31	Mp0002229 Neurodegeneration 	1.89e-03	-1.37	5.41	RB1, PRNP, SRR, GPX1, UBB, CLCN3, ANK1, CTSB, AARS, SOD1, SNCA
32	Mp0003632 Abnormal Nervous System 	2.64e-03	-1.41	5.28	PRNP, UHRF1, DLST, CLCN3, LBR, SNCA
33	Mp0008932 Abnormal Embryonic Tissue 	2.02e-03	-1.31	5.13	AHCTF1, PSMD4, ODC1, FNTB, NUSAP1, MCM4
34	Mp0003631 Nervous System Phenotype 	2.97e-03	-1.37	5.03	PRNP, SRR, SLC6A9, UHRF1, SPHK1, DLST, CLCN3, LBR, SNCA
35	Mp0003984 Embryonic Growth Retardation 	2.33e-03	-1.25	4.75	TMOD1, RB1, FEN1, FZR1, TFRC, LDB1, PSMD4, TAL1, UHRF1, APLP2, MCM4, CENPA
36	Mp0001243 Abnormal Dermal Layer 	4.85e-03	-1.23	4.15	RABGEF1, COL5A1, UROS, LMNA, CTSE
37	Mp0005501 Abnormal Skin Physiology 	4.63e-03	-1.2	4.06	FECH, GADD45A, UROS, FNTB, E2F1
38	Mp0002085 Abnormal Embryonic Tissue 	2.38e-03	-0.98	3.75	TMOD1, AHCTF1, FEN1, LDB1, TFRC, UHRF1, SPHK1, COX17, LMO2, RANGAP1, CENPA, UGCG, TAL1, FNTB, NUSAP1, BIRC5, SSBP3, MCM2, HIST1H1C
39	Mp0000598 Abnormal Liver Morphology 	5.24e-03	-1.08	3.57	RB1, FEN1, FECH, TXNRD2, ABCB4, UROS, LMO2, MT1, ANK1, KLF1, FTH1, SPNB1, BAG1, TXNIP, ATF4
40	Mp0002972 Abnormal Cardiac Muscle 	5.98e-03	-1.11	3.57	TMOD1, BNIP3L, LMNA, TXNIP, SLC4A1, PLRG1, SOD1
41	Mp0002136 Abnormal Kidney Physiology 	9.48e-03	-1.25	3.53	CAR2, CD59A, LDB1, GADD45A, SPNB1, TXNIP, E2F2, HRAS1, SLC4A1, MT1, CLCN3
42	Mp0000266 Abnormal Heart Morphology 	3.40e-03	-0.92	3.31	TMOD1, BNIP3L, LDB1, TFRC, TXNRD2, SPHK1, EIF2AK1, LMO2, HRAS1, SLC4A1, PLRG1, CENPA, ANK1, SOD1, TAL1, LMNA, SPNB1, TAX1BP1, TXNIP, HIST1H1C
43	Mp0009643 Abnormal Urine Homeostasis 	1.09e-02	-1.16	3.19	FN3K, CD59A, LDB1, GADD45A, UROS, TXNIP, SLC4A1, MT1, AQP1
44	Mp0008770 Decreased Survivor Rate 	1.06e-02	-1.14	3.13	NFE2, CLIC4, TAL1, LMNA, E2F1, SLC4A1, HS6ST1
45	Mp0004957 Abnormal Blastocyst Morpholog 	8.42e-03	-1.04	3.0	FEN1, AHCTF1, NUSAP1, BIRC5, CENPA
46	Mp0000703 Abnormal Thymus Morphology 	8.84e-03	-1.04	2.99	PRNP, FEN1, KLF13, GADD45A, SPHK1, LMNA, E2F1, BIRC5, E2F2, ANK1, HIST1H1C
