	Term	p-value	z-score	CS	Related Genes
1	SPI1_GM12878_hg19	7.01e-24	-1.77	82.33	EIF4A1, NDUFA13, BTG1, ZFAND3, MAST3, NCF4, ATP2A3, LRMP, ENO1, ARRB2, RCSD1, FAIM3, SLC2A6, PIK3CG, ARHGAP4, GLIPR1, RPS19, GM2A, RPL36AL, RAC2, SH3BGRL3, OSTF1, RPS11, TMSB10, B2M, CAMP, RAB8A, RPS13, RPS12, CAP1, PDIA3, CD52, ANXA2, RPS6, STX7, TALDO1, CYBA, EMP3, VAV1, MYL6, DOK3, TYROBP, ADPRH, BOLA2, IRF2, ERP29, BTK, RPL27, PRKD2, LCP1, HCST, PFDN5, SELPLG, CBFB, POMP, NEDD9, ATP1A1, IQGAP1, CORO1A, ZFP36L1, GNAI2, CD79B, CCL4, PSAP, RPS3, CCL3, NCKAP1L, CD14, SLC15A3, ATP6V1D, NADK, S100A11, MCL1, PTPN18, CD74, NDFIP1, CD72, LAPTM5, ARPC5, SORL1, PSMB8, HIGD2A, ARHGAP30, ARPC3, KLHL6, RPL27A, ALOX5AP, PTPN6, MAN2B1, LRP10, MYD88
2	ETS1_MEL cell line_mm9	4.84e-22	-1.75	75.5	SAMD9L, IFITM2, ZFAND3, LST1, ATP2A3, HBB-B1, SLC2A3, LRMP, RCSD1, LITAF, CD3D, ACTB, UBL5, ZFP36, LGALS1, RGS1, ARHGDIB, RAC2, FCER1A, OSTF1, ATP6V1E1, B2M, CLIC1, JUNB, NDEL1, CPA3, ANXA2, DUSP1, TSC22D3, TALDO1, HMHA1, FOS, RHOB, DOK2, PSMA4, IL1B, IRF2, CDC42EP3, BTK, ADSSL1, TAGLN2, PRKD2, H2-D1, ATF3, ARL8A, PRR13, ATP6V0E, SELPLG, CEBPE, GLO1, WAS, TWF2, ZFP36L1, CST3, ADRBK1, LRRC8D, CSK, MARK2, SERF2, CMTM7, EGR1, CD74, NDFIP1, PLEKHA2, CMTM6, NDUFA1, LAPTM5, SYVN1, OSM, DSTN, AI467606, PSMB8, PSMB9, DHRS7, KLF6, KLHL6, FOSB, DEGS1, MAN2B1, PTPN6, PI16, LRP10, CRLF3, ITM2B
3	CHD1_CH12.LX_mm9	3.88e-20	-1.72	67.14	EIF4A1, HIST2H2AA2, NDUFA13, ORM1, BTG1, ZFAND3, RPL34, GIMAP1, ATP2A3, RCSD1, RPL10A, SLC2A6, LITAF, PIK3CG, LBH, ALDH2, RPL36AL, TMSB4X, ARHGDIB, CASP1, RAC2, ACADM, RPS11, JUNB, CLIC1, B2M, RPL39, RPS13, RPS9, DUSP1, FOS, VAV1, RHOB, DOK3, ERP29, BTK, TAGLN2, LTB, PFN1, GAPDH, PPIA, ATF3, GRN, SELPLG, RPN2, CBFB, GLO1, GSTP1, POMP, CDCA7, MGST2, PRCP, IQGAP1, ATP1A1, CORO1A, CLN5, ZFP36L1, GNAI2, CD79B, LDHA, LRRC8D, S100A11, MARK2, SEPT11, NDFIP1, PLEKHA2, LAPTM5, SYVN1, ARID3A, PSMB8, PSMB9, MARCKS, KLF6, BCL6, GNB2, POU2AF1, RPL27A, 2310009A05RIK, CD9, CALM3, LRP10, ITM2B, H2-AB1
4	SPI1_HL-60_hg19	7.73e-20	-1.73	66.91	EIF4A1, NDUFA13, BTG1, ARPC1B, NCF4, F13A1, LRMP, PYGL, RPL9, PIK3CG, ACTB, RPS19, GM2A, ARHGDIB, CTSG, SH3BGRL3, OSTF1, PGLYRP1, RPS11, ATP6V1E1, B2M, CAMP, RPS13, RAB8A, FCER1G, SEPX1, TSC22D3, RPS6, MIF, EMP3, VAV1, TYROBP, IL1B, BTK, RPL27, PRKD2, PRTN3, LCP1, HCST, PFDN5, S100A8, SELPLG, RPN2, POMP, WAS, NEDD9, PRCP, CCL4, PSAP, SPP1, RPS3, ATP6V1D, MCL1, MCTS1, CD72, LAPTM5, RAB27A, ARPC5, HIGD2A, ARHGAP30, LRG1, RPL27A, LRP10, MYD88
5	EP300_CH12.LX_mm9	1.79e-18	-1.77	63.59	SAMD9L, ZFAND3, NCF4, LST1, ATP2A3, LRMP, ARRB2, RCSD1, SLC2A6, LITAF, PIK3CG, ARHGAP4, VPREB3, FCRLA, GLIPR1, LBH, LGALS1, TMSB4X, RAC2, CASP1, CTSH, OSTF1, CLIC1, H2AFY, DUSP1, ANXA3, TALDO1, CYBA, EMP3, VAV1, RHOB, SCAMP2, DOK3, TYROBP, FCGR4, IRF2, SPATA13, CDC42EP3, BTK, ADSSL1, ERP29, RIN3, LTB, LCP1, HCST, SMPDL3A, ATF3, H2-D1, TLR2, ATP6V0E, SELPLG, GLO1, WAS, CXCR4, CLN5, CD79B, CST3, LDHA, CCL3, NADK, CMTM7, CD74, NAPSA, CD72, TMEM184B, NDFIP1, LAPTM5, AI467606, PRSS34, SORL1, PSMB8, PSMB9, PPP1CA, ARHGAP30, POU2AF1, CD69, PLP2, LRP10, MYO1F, H2-AB1
6	KAT2A_GM12878_hg19	1.02e-18	-1.63	59.28	EIF4A1, MIDN, BTG1, RPL32, RPL31, RPL34, SLC2A3, LRMP, RPL10A, RCSD1, RPL9, ACTB, UBL5, RPS14, GLIPR1, ZFP36, LASP1, LGALS1, RPS19, RGS1, RPL36AL, TMSB4X, ARHGDIB, RPL39, TMSB10, JUNB, B2M, RPS12, CAP1, RPS9, H2AFY, LMO4, RPS6, H2AFV, EEF1A1, MYL6, IRF2, RPL27, LCP1, PFN1, SLC25A5, RPL29, PFDN5, GAPDH, TLR2, VCP, GLO1, POMP, NEDD9, CXCR4, ATP5L, ZFP36L1, CD79B, LDHA, RPS3, RPL18, RABAC1, ATP6V1D, MARK2, MCL1, MCTS1, EGR1, CD74, NDUFA7, SYVN1, NDUFA1, ARPC5, PSMB8, HIGD2A, MARCKS, KLF6, RPL27A, CALM3, PTPN6, CD69, CRLF3, MYD88
7	KAT2A_HeLa-S3_hg19	1.23e-17	-1.71	58.6	EIF4A1, MIDN, RPL32, WDR1, RPL31, RPL34, ENO1, RPL10A, RPL9, ACTB, RPS14, ZFP36, TMSB4X, OSTF1, TMSB10, RPL39, JUNB, RPS13, RPS12, NDEL1, CAP1, ANXA2, DUSP1, ACTN1, RPS6, H2AFV, FOS, APRT, RHOB, EEF1A1, MYL6, RPL27, TAGLN2, RPL29, GAPDH, PPIA, GLO1, PNKP, IQGAP1, COX5A, ATP5L, ZFP36L1, PRDX5, LDHA, TCTEX1D2, RPS3, RPL18, ATP6V1D, S100A11, MCL1, EGR1, PKM2, KLF6, RPL27A, FOSB, PTPN6, PLP2
8	RELA_GM18505_hg19	7.85e-16	-1.71	51.44	NDUFA13, BTG1, RPL31, ZFAND3, MAST3, RPL34, DBI, ENO1, RPL10A, RCSD1, RPL9, FAIM3, ACTB, ARHGAP4, RPS14, UBL5, ZFP36, LASP1, LGALS1, RPS19, RGS1, TMSB4X, CYTIP, JUNB, B2M, RPS12, PSENEN, CAP1, RPS9, RPS6, STX7, CYBA, EMP3, MMP9, EEF1A1, MYL6, TYROBP, IRF2, ADPRH, RPL27, LCP1, RPL29, PFN1, HCST, SELPLG, NEDD9, CXCR4, CORO1A, CLN5, ZFP36L1, CCL5, ADRBK1, CCL3, CSK, RPL18, ATP6V1D, MCL1, CD74, NDUFA7, SEPT11, PKM2, NDUFA3, LAPTM5, SORL1, PSMB8, MARCKS, KLF6, LRG1, ARHGAP30, STK17B, CALM3, DEGS1, CD69, CLEC2D, MYD88
9	RELA_GM12892_hg19	9.12e-15	-1.71	47.63	NDUFA13, BTG1, RPL31, MAST3, DBI, ENO1, RPL10A, RCSD1, RPL9, ACTB, PIGX, ARHGAP4, RPS14, LGALS1, RPS19, RPL36AL, TMSB4X, COTL1, JUNB, B2M, RPS12, CAP1, RPS6, CYBA, MIF, MMP9, APRT, EEF1A1, DNAJC7, IRF2, RPL27, TAGLN2, LCP1, PFN1, GAPDH, HCST, CXCR4, CORO1A, ZFP36L1, RPS3, CCL3, RPL18, NADK, MCL1, CD74, NDUFA7, PKM2, ARPC5, SORL1, PSMB8, HIGD2A, KLF6, MARCKS, LRG1, STK17B, POU2AF1, CD69
10	IKZF1_GM12878_hg19	8.00e-15	-1.69	47.19	IFITM1, ZFAND3, MAST3, NCF4, LRMP, ARRB2, RCSD1, LITAF, PIK3CG, PIGX, FCRLA, LASP1, RGS1, RPL36AL, TMSB4X, OSTF1, EMB, RPL39, TMSB10, CAMP, TPD52, CD52, STX7, EMP3, MMP9, VAV1, EEF1A1, DOK2, TYROBP, ADPRH, ERP29, PRKD2, LCP1, PFN1, HCST, GAPDH, ATF3, CD63, SELPLG, GSTP1, CDCA7, TACSTD2, NEDD9, CXCR4, ZFP36L1, PLAC8, ADRBK1, CCL4, CCL3, LRRC8D, CSK, SLC15A3, NADK, SERF2, MCL1, CD74, SEMA4A, NAPSA, SEPT11, CD72, PKM2, PLEKHA2, CMTM6, LAPTM5, PSMB8, MARCKS, SELL, KLHL6, POU2AF1, PTPN6, DEGS1, CD69, LRP10
11	ZMIZ1_MEL cell line_mm9	3.93e-14	-1.66	44.31	HIST2H2AA2, EIF4A1, NDUFA13, BTG1, RPL32, ZFAND3, RAB3D, PYGL, RPL10A, LITAF, ACTB, GPI1, UBL5, ZFP36, LASP1, LGALS1, ALDH2, RPL36AL, SH3BGRL3, OSTF1, JUNB, CLIC1, CAP1, PDIA3, HIST1H2AO, LMO4, DUSP1, VAV1, EEF1A1, ACLY, MYL6, BTK, TAGLN2, SLC25A5, PFN1, PPIA, H2-D1, CEBPB, GSTP1, POMP, WAS, CLN5, GNAI2, ZFP36L1, PRDX5, BC037034, MCL1, CMTM7, EGR1, NDUFA7, NDFIP1, SYVN1, PPP1CA, KLF6, OSTM1, STK17B, MAN2B1, P4HB
12	POLR2AphosphoS5_MEL cell line_mm9	1.66e-14	-1.59	43.73	BTG1, IFITM2, RPL31, RPL34, HBB-B1, LRMP, DBI, PYGL, ENO1, RPL9, RPS14, ZFP36, KRTCAP2, LGALS1, RPS19, RGS1, RPL36AL, RAC2, COTL1, TSPO, SH3BGRL3, RPS11, ATP6V1E1, TMSB10, B2M, RPS13, NDEL1, RPS12, RPS9, SSR4, RPS6, 2700094K13RIK, SSU72, TALDO1, HMHA1, MIF, FOS, VAV1, MYL6, DOK2, ERP29, BTK, RPL27, SLC25A5, GAPDH, PPIA, HCST, H2-D1, ATF3, ATP6V0E, VCP, SELPLG, GLO1, GSTP1, TWF2, WAS, CXCR4, PRCP, ATP1A1, COX5A, ZFP36L1, ATP5L, PRDX5, LDHA, PSAP, RPL18, NADK, MCL1, OSBPL9, EGR1, PTPN18, NDUFA7, SEPT11, NDFIP1, SYVN1, LAPTM5, RAB27A, SLC6A6, KLF6, ARHGAP30, STK17B, ALOX5AP, DEGS1, P4HB, LRP10, ITM2B
13	RELA_GM12891_hg19	7.63e-14	-1.64	42.78	IFITM1, BTG1, WDR1, RPL31, ZFAND3, RPL34, NCF4, DBI, ENO1, RCSD1, RPL10A, RPL9, FAIM3, SLC2A6, PIGX, UBL5, RPS14, ZFP36, RPS19, RGS1, TMSB4X, ACADM, CYTIP, B2M, RAB8A, RPS13, RPS12, RPS9, RPS6, TALDO1, HMHA1, CYBA, EMP3, MMP9, APRT, EEF1A1, PSMA4, DNAJC7, CDC42EP3, IRF2, RPL27, RPL29, PFN1, PPIA, VPS28, GSTP1, NEDD9, LDHA, PRDX5, CCL5, RPS3, RPL18, SLC15A3, SERF2, MCL1, NDUFA7, SEPT11, SYVN1, ARID3A, PSMB8, PPP1CA, HIGD2A, MARCKS, LRG1, POU2AF1, RPL27A, STK17B, DEGS1, CALM3, CD69, P4HB
14	RELA_GM18526_hg19	7.10e-13	-1.76	42.49	IFITM1, GRN, BTG1, WDR1, RPL31, ZFAND3, NEDD9, DBI, RPL10A, ACTB, ZFP36L1, PIGX, ARHGAP4, PRDX5, LASP1, RPS19, CCL3, JUNB, B2M, MCL1, CD74, RPS9, NDUFA7, PKM2, RPS6, EMP3, SORL1, MMP9, PSMB8, HIGD2A, EEF1A1, KLF6, MARCKS, RPL27A, IRF2, PTPN6, LCP1, CD69, P4HB, PFN1, CLEC2D, HCST
15	ETS1_CH12.LX_mm9	6.81e-13	-1.74	41.99	EIF4A1, APP, SAMD9L, BTG1, NCF4, RCSD1, SLC2A6, PIK3CG, VPREB3, GPI1, ZFP36, BCL7A, ALDH2, RGS1, RAC2, SIRPA, SH3BGRL3, ATP6V1E1, RPL39, CLIC1, RAB8A, CD52, H2AFY, DUSP1, HMHA1, H2AFV, EMP3, FOS, APRT, EEF1A1, DOK3, IRF2, RPL27, PRKD2, GAPDH, SELPLG, POMP, WAS, NEDD9, IQGAP1, CD79B, PSAP, CCL4, CCL3, SLC15A3, RPL18, CMTM7, NDUFA7, NDUFA1, SYVN1, ARPC5, AI467606, PRSS34, SC4MOL, PSMB8, HIGD2A, PSMB9, DHRS7, ARHGAP30, BCL6, KLHL6, ARPC3, POU2AF1, ZYX, 2310009A05RIK, PTPN6, DYNLRB1, LRP10, ITM2B
16	POLR2A_bone marrow macrophage_mm9	7.63e-14	-1.57	41.01	APP, MIDN, BTG1, HIBADH, RPL32, RPL34, ENO1, ACTB, GPI1, UBL5, ZFP36, LBH, LGALS1, RASSF5, RAC2, SH3BGRL3, ATP6V1E1, CLIC1, B2M, JUNB, RPS12, LYPLA2, RPS9, DUSP1, CYBA, FOS, PGD, VAV1, RHOB, APRT, RAB32, 2010107E04RIK, DOK3, ADSSL1, LCP1, RPL29, PFN1, GAPDH, H2-D1, TLR2, GSTP1, CXCR4, ATP1A1, ZFP36L1, GNAI2, SPP1, RPS3, CD14, S100A11, NADK, BC037034, SEPT11, NDFIP1, CD72, CMTM6, LAPTM5, DSTN, SC4MOL, KLF2, PPP1CA, TSPAN14, ARPC3, STK17B, ALOX5AP, FOSB, CD9, DEGS1, EIF3F, CRLF3, ITM2B, H2-AB1
17	EP300_GM12878_hg19	9.49e-14	-1.55	40.17	EIF4A1, NDUFA13, RPL32, RPL31, ZFAND3, RPL34, GMFG, ENO1, RPL10A, RPL9, ACTB, RPS14, ZFP36, LGALS1, RPS19, RGS1, RASSF5, MYEOV2, RPS11, JUNB, TMSB10, TPD52, PDIA3, RPS9, RPS6, SSU72, HMHA1, CYBA, PGD, EEF1A1, MYL4, ACLY, DOK3, BOLA2, ERP29, RPL27, TAGLN2, RPL29, PPIA, ATF3, VCP, RPN2, GLO1, CDCA7, PLAC8, LDHA, PSAP, TCTEX1D2, INPP5K, NCKAP1L, ATP6V1D, NADK, S100A11, MCL1, EGR1, RAB27A, DSTN, ARPC5, TBCA, HIGD2A, ARHGAP30, BCL6, ARPC3, GNB2, CALM3, TNFAIP8, ALAS1, HIBADH, DBI, SLC2A3, ARRB2, ARHGAP4, MRPL33, FCRLA, UBL5, LBH, GM2A, SH3BGRL3, CYTIP, CAMP, RAB8A, ANXA2, FOS, RHOB, APRT, PSMA4, DNAJC7, IRF2, LCP1, SLC25A5, GAPDH, SELPLG, PNKP, POMP, CXCR4, NEDD9, PRCP, ATP1A1, COX5A, CLN5, RPS3, CCL3, CKB, RABAC1, CD74, NDUFA7, SEPT11, CD72, PLEKHA2, CMTM6, NDUFA1, SYVN1, G0S2, DHRS7, MARCKS, KLF6, OSTM1, STK17B, CDK2AP2, FOSB, CD69, CLEC2D
18	EP300_MEL cell line_mm9	5.68e-12	-1.75	38.64	ZFAND3, LST1, ATP2A3, HBB-B1, SLC2A3, ARRB2, RCSD1, CD3D, ARHGAP4, LGALS3, LGALS1, GM2A, ARHGDIB, RAC2, FCER1A, SH3BGRL3, CLIC1, NDEL1, CPA3, LYPLA2, ANXA2, DUSP1, HMHA1, EMP3, VAV1, DOK2, DOK3, CLEC4D, IL1B, LTB4R1, CDC42EP3, IRF2, TAGLN2, LTB, ATF3, ATP6V0E, SELPLG, CEBPE, GLO1, HDC, TWF2, MGST2, GNAI2, CCL9, ADRBK1, LRRC8D, CSK, MARK2, PLEKHA2, CMTM6, NDUFA1, OSM, LAPTM5, DSTN, AI467606, PSMB8, PSMB9, DHRS7, ARHGAP30, SELL, KLHL6, ZYX, DEGS1, MAN2B1, PI16, CRLF3, ITM2B
19	CEBPD_K562_hg19	2.02e-10	-1.73	32.47	EIF4A1, MIDN, BTG1, MS4A3, HIBADH, WDR1, CDCA7, DBI, SLC2A3, RCSD1, RPL9, CXCL2, ACTB, ZFP36, TMSB4X, COTL1, CTSH, RPL18, JUNB, MCL1, DUSP1, ACTN1, RPS6, FOS, EEF1A1, KLF6, MYL6, RPL27A, IRF2, CD69, PFN1, CRLF3, VPS28, PRR13
20	BCL11A_GM12878_hg19	7.10e-10	-1.83	32.27	EIF4A1, BTG1, SELPLG, MAST3, NCF4, POMP, TACSTD2, CXCR4, RCSD1, ACTB, PIGX, ZFP36L1, CD79B, RGS1, TMSB4X, CCL4, CCL3, FFAR2, B2M, JUNB, NADK, SERF2, RPS12, CD74, NAPSA, PKM2, LAPTM5, G0S2, EEF1A1, MARCKS, ARHGAP30, TYROBP, KLHL6, GNB2, CDC42EP3, BOLA2, ERP29, PTPN6, DEGS1, TAGLN2, PFN1, CLEC2D, HCST, PPIA, ATF3
