	Term	p-value	z-score	CS	Related Genes
1	ETS1_MEL cell line_mm9	3.78e-27	-1.76	95.13	H2-T23, CLIC4, ISCA1, CD82, PPP1R10, D16ERTD472E, AKAP8L, SLC2A1, NRM, ATP2A3, HBB-B2, 1810064F22RIK, HBB-B1, CD3G, IRS2, SLC4A1, LRMP, LITAF, CD3D, ACTB, RABGEF1, ZNRD1, FTH1, CTSE, JUNB, NDEL1, CD97, SRGN, MBNL1, KLF13, RSAD2, TPM4, ELOVL5, TSC22D3, F2R, HMHA1, VPS37B, YWHAZ, PTP4A1, E130102H24RIK, IMPACT, MORF4L2, TXNIP, PRKD2, UBA52, ATF3, CD274, GYPA, WBP2, AW549877, H2-DMA, H2-M3, SAMSN1, RELA, ZFP36L1, GNA13, UGCG, H2-DMB2, SRR, CNR2, UBB, SKIL, TBC1D15, MARK2, MLL1, PLK3, EGR1, CD74, EGR2, MAP3K1, EGR3, GCH1, PLEKHA2, GADD45A, STAT3, LAPTM5, IRGM1, MLL5, GADD45G, NFKBIA, PER1, KLF6, REL, PDCD4, FOSB, UBE2O, LRP10
2	CHD1_CH12.LX_mm9	3.81e-23	-1.72	78.54	EIF4A1, ISCA1, DYRK3, BTG1, TFRC, LDB1, CD81, PPP1R10, D16ERTD472E, SLC2A1, ATP2A3, BZW2, SMG7, GIMAP6, LITAF, ETS2, HERPUD1, LBH, RNF19A, GPR171, CASP1, CTLA4, SCD1, CTSE, JUNB, EMD, RPL39, RPS13, HIST1H1C, MAP4K1, RNF44, WSB1, TPM4, ATP1B3, GNL3, PTP4A1, MORF4L1, HIST2H3B, ELF1, FCHSD2, RILPL2, IRF4, IRF1, MORF4L2, POLR1D, MYH9, SNORA65, SQSTM1, ATF3, ATF4, CD274, DDX6, H2-Q6, ATP10D, H2-M3, CXCR5, DENND3, ATP1A1, ZFP36L1, PPP2CB, UBB, PLCG2, HIST1H3H, SNX8, SLC38A2, MARK2, TBC1D15, RPL19, HSPA9, MLL1, CDT1, CD164, HSPA8, H2-EB1, PLEKHA2, LAPTM5, CCT6A, KLF6, EIF5, BCL6, RPS29, HNRNPC, LRP10
3	KAT2A_GM12878_hg19	1.79e-21	-1.64	69.15	EIF4A1, DAZAP2, RPL3, BTG1, CD83, TFRC, RPL32, TCF25, DGKA, CETN3, LRMP, ACTB, HERPUD1, RPS15, RPL18A, NFKBIZ, ARIH2, CCR7, RPL39, GRASP, JUNB, HIST1H1C, SRGN, MBNL1, WSB1, ARRDC3, CIRBP, GNL3, PTP4A1, DAD1, IRF4, IRF1, MORF4L2, POLR1D, RPL24, MYH9, TXNIP, RPL27, TMBIM6, PFDN5, ARF6, DDX6, RPL12, ODC1, NEDD9, CXCR4, SAMSN1, ZFP36L1, RAP1B, SNX2, LMNA, HIST1H3H, RABAC1, SLC38A2, MARK2, RPL19, EGR1, CD164, HSPA8, CD74, EGR3, H3F3B, GADD45A, STAT3, MLL5, LSM4, NFKBIA, KLF7, KLF6, EIF5, RANBP10, PDCD4, CD69, HNRNPC, STT3B, EIF3D, RPS24
4	EP300_CH12.LX_mm9	2.18e-18	-1.76	63.37	PANK4, CLIC4, ISCA1, CD83, LDB1, CD82, D16ERTD472E, CHD7, NRM, ATP2A3, TNFAIP3, LRMP, ETS1, LITAF, ARHGAP4, FAM134B, ZNRD1, LBH, RPL18A, GPR171, NFKBIZ, ARIH2, TBC1D10C, CASP1, CTLA4, CCR7, CCR6, CTSE, MAP4K1, MBNL1, KLF13, TPM4, IFNGR1, F2R, EMP1, TGFBR2, FCHSD2, IRF1, SPATA13, MYH9, FCER2A, ATF3, ARF6, CD274, HVCN1, SH2D2A, H2-DMA, H2-M3, LENG9, CXCR5, CXCR4, DENND3, GNA13, RAP1B, SOCS3, H2-DMB2, CNR2, POLD1, PLCG2, SNX8, CD74, NAPSA, H2-EB1, EGR2, MAP3K1, GADD45A, STAT3, LAPTM5, SORL1, GADD45G, CD2, NFKBIA, SLC25A37, CD69, LRP10
5	RELA_GM12892_hg19	1.23e-18	-1.73	62.42	RPL3, BTG1, CD83, TFRC, ZFAND2A, TNFAIP3, SMG7, ACTB, HERPUD1, ARHGAP4, RPS15, ZC3H12D, ZNRD1, RNF19A, NFKBIZ, PIM3, JUNB, TNFRSF4, SRGN, KLF13, ATP1B3, MIF, YWHAZ, GNL3, PTP4A1, PTP4A2, FCHSD2, IRF4, IRF1, RPL24, MYH9, RPL27, TMBIM6, CSNK1G2, DDX6, ODC1, CXCR4, DENND3, ZFP36L1, SNN, UBB, MKNK2, SKIL, CD74, CD164, HSPA8, GADD45A, MLL5, SORL1, CCT6A, NFKBIA, KLF7, KLF6, STK17B, RANBP10, REL, CD69, STT3B, NFKBID, RPS24
6	POLR2AphosphoS5_MEL cell line_mm9	2.14e-19	-1.62	61.22	DAZAP2, AHCTF1, ISCA1, RPL3, BTG1, TFRC, PPP1R10, CD81, POP4, AKAP8L, CETN3, EIF4A3, D16ERTD472E, HBB-B2, SLC2A1, HBB-B1, IRS2, LRMP, BZW2, ETS2, HERPUD1, AQP1, RPL18A, RNF19A, ARIH2, HIST2H3C1, CTSE, RPS13, NDEL1, SRGN, MBNL1, D8ERTD738E, KLF13, ARRDC3, HMHA1, MIF, VPS37B, WBP11, GTPBP4, GNL3, PTP4A1, ELF1, IMPACT, IRF1, TAX1BP1, STRAP, RPL27, MATR3, TMBIM6, UBA52, SQSTM1, ATF3, ATF4, CD274, 1810026B05RIK, GYPA, OAT, WBP2, H2-DMA, ODC1, CXCR4, ATP1A1, SAMSN1, ZFP36L1, SRR, SNX2, PUF60, LMNA, TRA2A, SLC38A2, HSPA9, OSBPL9, HSPA8, PRNP, EGR1, CD164, CHKB, CHKA, LAPTM5, GM1821, NFKBIA, KLF6, EIF5, RPS29, STK17B, RANBP10, SERINC1, STT3B, HNRNPC, LRP10
7	POLR2AphosphoS5_G1E-ER4_mm9	1.76e-18	-1.67	60.09	EIF4A1, AHCTF1, ISCA1, PRR7, BTG1, RPL3, TFRC, TCF25, PPP1R10, ZFAND2A, AKAP8L, CETN3, HBB-B2, HBB-B1, IRS2, SLC4A1, HBA-A1, USE1, ACTB, HERPUD1, RPL18A, FTH1, HIST2H3C1, HMGN2, JUNB, RPS13, HIST1H1C, RNF44, KLF13, H2-T10, ARRDC3, CIRBP, HMHA1, WBP11, PTP4A1, ELF1, IMPACT, HIST2H3B, TXNIP, TMBIM6, RPL27, MATR3, PRKD2, SNORA65, UBA52, ATF4, GYPA, 1810026B05RIK, RPL12, LENG9, ADRB2, ZFP36L1, PUF60, UBB, POLD1, LMNA, HIST1H3H, RABAC1, RPL19, HSPA9, HSPA8, CD164, CHKB, H3F3B, GADD45A, IRGM1, MLL5, GADD45G, RNF145, KLF6, EIF5, RPS29, STT3B, HNRNPC
8	POLR2A_liver_mm9	1.01e-16	-1.61	51.83	DAZAP2, H2-T23, CPM, CLIC4, BTG1, RPL32, TCF25, 1810064F22RIK, SMG7, ETS1, ACTB, HERPUD1, FAM102A, LBH, RPL18A, UROD, CYTIP, EMD, HIST1H1C, KPNA1, SRGN, UNC45A, H2-T10, WSB1, ARRDC3, F2R, CIRBP, ATP1B3, ZCRB1, MIF, TGFBR2, HIST2H3B, ELF1, PRKAR1A, POLR1D, TXNIP, MYH9, CCDC86, SQSTM1, UBA52, ARF6, 1810026B05RIK, GGNBP2, WBP2, H2-Q6, AW549877, ATP10D, ADRB2, ATP1A1, STK4, RAP1B, PPP2CB, SNX2, UBB, HIST1H3H, SLC38A2, EGR1, PLK3, CD164, HSPA8, H3F3B, GCH1, GADD45A, LAPTM5, KLF4, KLF2, CCT6A, ARPC3, KLF9, STT3B, HNRNPC, EIF3F
9	CEBPB_C2C12_mm9	3.69e-15	-1.72	49.84	EIF4A1, CLIC4, RPL3, PPP1R10, D16ERTD472E, TNFAIP3, BZW2, SMG7, LITAF, HERPUD1, RPS15, RABGEF1, NFKBIZ, HIST2H3C1, PIM3, HMGN2, RPL39, JUNB, KPNA1, SRGN, KLF13, F2R, GTPBP4, PTP4A1, MORF4L1, HIST2H3B, IMPACT, PRKAR1A, MORF4L2, TXNIP, MATR3, TMBIM6, SQSTM1, ATF3, CSNK1G2, ATF4, CEBPB, GGNBP2, WBP2, AW549877, LENG9, NUAK2, UBB, SLC38A2, SKIL, TBC1D15, MARK2, HSPA9, HSPA8, CHKA, GADD45A, STAT3, NFKBIA, PER1, SLC25A37, BCL6, RANBP10, HBP1, RPS24
10	KAT2A_HeLa-S3_hg19	3.49e-15	-1.7	49.37	EIF4A1, RPL3, RPL32, TFRC, ZFAND2A, IRS2, ACTB, HERPUD1, RPS15, FTH1, HMGN2, RPL39, JUNB, RPS13, NDEL1, HIST1H1C, UNC45A, NUDC, WSB1, TPM4, YWHAZ, GNL3, PTP4A1, RPL24, MYH9, RPL27, SNORA65, SQSTM1, ATF4, GGNBP2, RPL12, ODC1, ZFP36L1, UBB, TRA2A, LMNA, HIST1H3H, SLC38A2, TBC1D15, HSPA9, HSPA8, EGR1, H3F3B, STAT3, MLL5, KLF6, FOSB, STT3B, EIF3D, RPS24
