	Term	p-value	z-score	CS	Related Genes
1	Mp0002419 Abnormal Innate Immunity 	8.24e-23	-1.7	76.74	GRN, WDR1, LYZ2, NCF4, SLC40A1, FPR2, CFP, CORO1A, MPO, PIK3CG, HSP90B1, PLAC8, LGALS3, ZFP36, PSAP, SIRPA, FFAR2, PGLYRP1, FCER1G, DUSP1, RAB27A, CYBA, FOS, MMP9, H2-AA, PLA2G15, TYROBP, SLPI, SELL, IL1B, LTB4R1, ALOX5AP, CHI3L1, PRTN3, S100A9, MYO1F, H2-AB1
2	Mp0001819 Abnormal Immune Cell 	2.90e-21	-1.37	58.06	WDR1, TNFRSF13B, NCF4, GIMAP1, SLC40A1, ARRB2, MPO, PIK3CG, FCRLA, LGALS3, ZFP36, RASSF5, ARHGDIB, SIRPA, FFAR2, PGLYRP1, B2M, FCER1G, KLRA17, CYBA, FOS, MMP9, PLA2G15, TYROBP, SLPI, IL1B, LTB4R1, CHI3L1, PRTN3, IRF5, LY6A, S100A9, PPIA, GRN, CBFB, LYZ2, FPR2, CORO1A, PSMB10, HSP90B1, PLAC8, CD79B, PSAP, MCL1, SEMA4A, RAB27A, H2-AA, SELL, POU2AF1, ALOX5AP, PTPN6, MYO1F, H2-AB1
3	Mp0002420 Abnormal Adaptive Immunity 	1.58e-20	-1.35	55.52	TNFRSF13B, WDR1, NCF4, GIMAP1, SLC40A1, ARRB2, MPO, PIK3CG, FCRLA, LGALS3, ZFP36, RASSF5, ARHGDIB, SIRPA, FFAR2, PGLYRP1, B2M, FCER1G, CYBA, FOS, MMP9, PLA2G15, TYROBP, SLPI, IL1B, LTB4R1, CHI3L1, PRTN3, IRF5, LY6A, S100A9, PPIA, GRN, CBFB, LYZ2, FPR2, CORO1A, PSMB10, HSP90B1, PLAC8, CD79B, PSAP, MCL1, SEMA4A, RAB27A, H2-AA, SELL, POU2AF1, ALOX5AP, PTPN6, MYO1F, H2-AB1
4	Mp0005025 Abnormal Response To 	3.28e-14	-1.94	52.57	GRN, LYZ2, NCF4, CFP, MPO, CORO1A, PIK3CG, HSP90B1, PLAC8, LGALS3, CCL3, FFAR2, PGLYRP1, B2M, CAMP, NFE2, FCER1G, KLRA17, CYBA, FOS, MMP9, PSMB9, TYROBP, SLPI, IL1B, POU2AF1, LCN2, IRF5, PTPN6, S100A9, H2-AB1
5	Mp0002452 Abnormal Antigen Presenting 	1.03e-16	-1.58	51.29	GRN, WDR1, TNFRSF13B, CBFB, LYZ2, SLC40A1, FPR2, IFI30, CORO1A, PIK3CG, HSP90B1, CD79B, FCRLA, LGALS3, ZFP36, RASSF5, PSAP, ARHGDIB, SIRPA, B2M, MCL1, SEMA4A, FCER1G, KLRA17, FOS, MMP9, H2-AA, PLA2G15, TYROBP, SLPI, SELL, IL1B, POU2AF1, LTB4R1, CHI3L1, PTPN6, LY6A, PPIA, H2-AB1
6	Mp0000716 Abnormal Immune System 	4.78e-15	-1.26	36.41	VCP, GRN, WDR1, CBFB, TNFRSF13B, LYZ2, GIMAP1, FPR2, CORO1A, MPO, PIK3CG, PSMB10, C3, PLAC8, CD79B, LGALS3, RASSF5, PSAP, ARHGDIB, CCL3, SIRPA, FFAR2, B2M, MCL1, SEMA4A, FCER1G, KLRA17, PRG2, FOS, MMP9, H2-AA, PSMB8, PSMB9, PLA2G15, DOK3, TYROBP, SELL, SLPI, POU2AF1, LTB4R1, CHI3L1, PTPN6, LY6A, TGFBI, S100A9, CLEC2D, PPIA, H2-AB1
7	Mp0005000 Abnormal Immune Tolerance 	7.28e-09	-2.28	34.98	FCER1G, TNFRSF13B, DUSP1, LYZ2, FPR2, CFP, CORO1A, MPO, MMP9, PIK3CG, LGALS1, TYROBP, SELL, IL1B, LTB4R1, ALOX5AP, PTPN6, FFAR2, B2M, H2-AB1, CTSB
8	Mp0001845 Abnormal Inflammatory Respons 	2.71e-10	-1.85	34.39	WDR1, TNFRSF13B, LYZ2, FPR2, ARRB2, MPO, CORO1A, PIK3CG, HSP90B1, LGALS3, ZFP36, PSAP, FFAR2, B2M, CTSB, FCER1G, GPX1, DUSP1, PRG2, CYBA, MMP9, APRT, SELL, SLPI, IL1B, ALOX5AP, PTPN6, PPIA, S100A9, H2-AB1
9	Mp0002429 Abnormal Blood Cell 	6.25e-14	-1.24	32.98	WDR1, TNFRSF13B, GIMAP1, SLC40A1, MPO, PIK3CG, LGALS3, RASSF5, ARHGDIB, SIRPA, FFAR2, B2M, TPI1, FCER1G, KLRA17, FOS, MMP9, NME1, APRT, PLA2G15, DOK3, TYROBP, SLPI, LTB4R1, CHI3L1, LY6A, S100A9, PPIA, GAPDH, VCP, GRN, CBFB, LYZ2, FPR2, CORO1A, PSMB10, PLAC8, CD79B, PSAP, CCL3, MCL1, SEMA4A, PRG2, RAB27A, H2-AA, PSMB8, PSMB9, SELL, POU2AF1, PTPN6, TGFBI, CLEC2D, H2-AB1
10	Mp0002723 Abnormal Immune Serum 	2.89e-11	-1.5	30.95	GRN, TNFRSF13B, CBFB, LYZ2, FPR2, ARRB2, CORO1A, PIK3CG, HSP90B1, CD79B, FCRLA, LGALS1, CCL3, FFAR2, B2M, MCL1, SEMA4A, FCER1G, DUSP1, KLRA17, FOS, MMP9, TYROBP, SLPI, IL1B, POU2AF1, LTB4R1, CHI3L1, IRF5, PTPN6, LY6A, S100A9, PPIA, H2-AB1
