	Term	p-value	z-score	CS	Related Genes
1	Cytoplasmic Ribosomal Proteins (Mus Musculus)	4.05e-11	-1.91	35.44	RPL32, RPL31, RPL34, RPS6, RPL10A, RPL9, RPS14, RPS19, RPL36AL, RPL27A, RPS6KA1, RPS3, RPL27, RPL18, RPS11, RPL39, RPS13, RPS12
2	Cytoplasmic Ribosomal Proteins (Homo Sapiens)	1.55e-08	-1.91	25.3	RPS9, RPL32, RPL31, RPL34, RPS6, RPL10A, RPL9, RPS14, RPS19, RPL27A, RPS6KA1, RPS3, RPL27, RPL18, RPL29, RPS11, RPL39, RPS13, RPS12
3	Chemokine Signaling Pathway (Mus Musculus)	1.31e-04	-2.05	9.47	WAS, CXCR4, ARRB2, CXCL2, PIK3CG, VAV1, GNAI2, GNG10, ADRBK1, CCL5, GNB2, CCL4, RAC2, CSK, PRKACB
4	Regulation Of Toll-Like Receptor Signaling Pathway (Homo Sapiens)	1.42e-03	-1.98	6.11	CCL5, IL1B, CCL4, BTK, CCL3, SPP1, PTPN6, CD14, FOS, MYD88, PIK3CG, TLR2
5	Toll-Like Receptor Signaling Pathway (Homo Sapiens)	1.20e-03	-1.96	6.04	CCL5, IL1B, CCL4, CCL3, SPP1, CD14, FOS, MYD88, PIK3CG, TLR2
6	Regulation Of Actin Cytoskeleton (Homo Sapiens)	1.28e-03	-1.85	5.72	ACTN1, TMSB4X, RAC2, WAS, CSK, ARPC5, CD14, IQGAP1, PFN1, ACTB, PIK3CG, VAV1
7	Il1 And Megakaryotyces In Obesity (Homo Sapiens)	1.09e-03	-1.76	5.42	IL1B, FCER1A, MMP9, MYD88, TLR2
8	Kit Receptor Signaling Pathway (Homo Sapiens)	2.24e-03	-1.78	5.09	RPS6, RPS6KA1, BTK, PTPN6, FOS, JUNB, VAV1
9	Spinal Cord Injury (Homo Sapiens)	2.28e-03	-1.76	5.03	EGR1, LGALS3, ZFP36, IL1B, FOS, LTB, MIF, CXCL2, MMP9, RHOB
10	Regulation Of Actin Cytoskeleton (Mus Musculus)	4.62e-03	-1.74	4.11	ACTN1, RAC2, WAS, CSK, ARPC5, CD14, IQGAP1, PFN1, ACTB, PIK3CG, VAV1
11	Myometrial Relaxation And Contraction Pathways (Homo Sapiens)	6.37e-03	-1.74	3.97	MYL4, RGS1, GNB2, IL1B, ATP2A3, CALM3, ARRB2, FOS, PRKACB, ACTB, ATF3
12	B Cell Receptor Signaling Pathway (Homo Sapiens)	6.87e-03	-1.64	3.75	PTPN18, BCL6, RPS6KA1, BTK, RAC2, PTPN6, PIK3CG, VAV1
13	Hematopoietic Stem Cell Differentiation (Homo Sapiens)	6.68e-03	-1.43	3.27	IL1B, CXCR4, NCKAP1L, FOS, GATA2, VAV1
14	Spinal Cord Injury (Mus Musculus)	8.17e-03	-1.42	3.25	EGR1, ZFP36, IL1B, FOS, LTB, CXCL2, MMP9, RHOB
15	Il-5 Signaling Pathway (Homo Sapiens)	7.84e-03	-1.4	3.2	RPS6, RPS6KA1, BTK, FOS, PIK3CG
16	Egfr1 Signaling Pathway (Mus Musculus)	1.28e-02	-1.6	3.18	EEF1A1, CEBPB, DOK2, NDUFA13, DUSP1, RPS6KA1, CSK, PTPN6, FOS, PIK3CG, VAV1
17	Pathogenic Escherichia Coli Infection (Homo Sapiens)	7.23e-03	-1.37	3.12	ARPC3, ARPC1B, WAS, ARPC5, CD14, ACTB
