	Term	p-value	z-score	CS	Related Genes
1	EKLF_ChIP-Seq_ERYTHROCYTE_Mouse	2.99e-43	-1.62	149.97	HIBADH, WDR1, RPLP1, DBI, ETFB, ARRB2, RPL10A, ATP5G2, MRPL33, RPS4X, RPS14, KRTCAP2, HINT1, FTL1, LGALS1, TUBB5, ALDH2, RNPEP, MYEOV2, SH3BGRL3, HIST1H2AF, RPS11, CHCHD1, SEC13, RPS9, TPI1, MRPS24, H2AFY, RPS8, 2700094K13RIK, RPL13A, CYBA, UQCR, NUDT16L1, PGD, EEF1A1, EEF1G, COX7A2L, 2010107E04RIK, NGP, 1810006K21RIK, ERH, PRTN3, VDAC1, SLC25A5, RPL29, EIF1B, PPIA, LY6E, CDCA7, NEDD8, CORO1A, NUP160, CST3, PSAP, EIF4H, RPS3, RNF130, TXNDC5, SEC11C, NFE2, SIVA1, CCDC56, 1110020P15RIK, PPP1CA, RPS26, RPS25, 1810022K09RIK, ZYX, SFXN1, PTPN6, 2310016M24RIK, ITM2B
2	SPI1_ChIP-ChIP_GC-B_Mouse	6.08e-30	-2.18	137.86	ARL6IP1, NCF4, LST1, DBI, IFI30, B230342M21RIK, HIST2H2AC, EEF1B2, UBL5, RPS14, FTL1, ZFP36, TUBB5, TMSB4X, HIST1H2AD, HIST1H2AF, OSTF1, RPS11, B2M, CD52, GPX1, HIST1H2AI, HIST1H2AK, RPS5, RNASE6, RPL13A, FOS, DUSP6, 2310014H01RIK, NME1, EEF1G, DOK3, SLPI, IGH-6, IL1B, ERP29, CHI3L4, IRF5, PRR13, C1QB, CBFB, PLD4, NEDD8, CFP, CENPA, GABARAP, HSP90B1, FGD2, ATP5L, C3, PRDX5, PSAP, RPS3, POLR2G, RPL41, SHFM1, OOSP1, AI467606, PSMB8, PPP1CA, RPS26, RPS25, TSPAN14, POU2AF1, GNB2, RPL27A, PTPN6
3	MYC_ChIP-ChIP_MESC_Mouse	8.31e-48	-1.23	125.82	IFITM3, IFITM2, ARL6IP1, RPL31, ATP5C1, RPL10A, UBE2L3, EEF1B2, RPS14, KRTCAP2, TUBB5, RPL36AL, RPS6KA1, HIST1H2AF, RPS11, CHCHD1, RPS12, RPS9, HIST1H2AN, HIST1H2AI, HIST1H2AH, IMP3, RPS8, HIST1H2AK, RPS5, 2700094K13RIK, SSU72, 3300001P08RIK, PGD, RBX1, COX6B1, ATP5J2, EEF1A1, BOLA2, ERP29, ERH, VDAC1, RPL29, PPIA, LY6E, ANAPC13, CDCA7, MRPL12, NUP160, GSPT1, GABARAP, HSP90B1, ATP5L, ATP5B, THEM2, NADK, MCL1, TXNDC5, RPL41, SIVA1, 1110020P15RIK, RAB27A, MRPL23, SFRS1, HIGD2A, CYBASC3, RPS26, RPS25, D10ERTD641E, RPL27A, LCN2, SFXN1, DEGS1, CNIH4, HIBADH, RPLP1, MRPL36, ETFB, ATP5G3, ATP5G2, HIST2H2AC, MRPL33, RPS4X, UBL5, FTL1, HINT1, SUMO2, 2310036O22RIK, NPTN, ACADM, PSENEN, SEC13, TPI1, GPX1, SSR4, H2AFZ, RPL13A, FOS, NUDT16L1, DUSP6, NME1, DNAJC7, SLC25A5, GAPDH, TRUB2, GSTP1, MRPS33, POMP, NEDD8, PRCP, COX5A, CENPA, PSMB10, PSMA7, CST3, PSMB1, RPS3, RPS2, SEC11C, TIMM8B, NDUFA9, NDUFA7, NDUFA3, COX6C, ATOX1, PPP1CA, MARCKS, OCIAD1, CDK2AP2
4	MECOM_ChIP-Seq_KASUMI_Mouse	1.06e-36	-1.41	110.31	IFITM3, SLC46A3, WDR1, TNFRSF13B, ARL6IP1, NCF4, 2610039C10RIK, PYGL, ARRB2, TREM3, PIK3CG, KRTCAP2, TUBB5, ALDH2, ARHGDIB, NPTN, PIP4K2A, MYEOV2, SIRPA, PGLYRP1, B2M, CD52, FCER1G, NUP210, ANXA2, ANXA3, KLRA17, RNASE6, TALDO1, CYBA, DUSP6, APRT, SAP30, PLA2G15, 0910001L09RIK, DOK3, IL1B, LTB4R1, 1810006K21RIK, PRTN3, IRF5, UQCRC2, GAPDH, EIF1B, ARL8A, LY6E, PRR13, CBFB, LYZ2, 1110003E01RIK, MGST2, GLRX, CENPA, CORO1A, COX5A, CLN5, PLAC8, ATP5B, CCL9, PSMB1, CCL3, RNF130, NADK, MCL1, SEC11C, TIMM8B, NFE2, OSM, RAB27A, ARPC5, AI467606, PPP1CA, OSTM1, SELL, ALOX5AP, 2310009A05RIK, RNF181, PTPN6, MYO1F, CNIH4
5	E2F1_ChIP-Seq_MESC_Mouse	1.81e-38	-1.19	97.58	IFITM3, IFITM1, IFITM2, ARL6IP1, RPL31, ATP5C1, RPL10A, IFI30, UBE2L3, EEF1B2, RPS14, ZFP36, TUBB5, LAMP1, RPL36AL, RPS11, CHCHD1, B2M, RPS12, TMEM14C, RPS9, HIST1H2AH, RPS8, HIST1H2AK, RPS5, 2700094K13RIK, NSMCE1, PGD, UQCR, RBX1, 1810027O10RIK, ATP5J2, EEF1A1, COX7A2L, S100A6, UQCRC2, RPL29, PPIA, ARL8A, LY6E, VCP, UQCRH, NUP160, HSP90B1, ATP5L, ATP5B, PRDX4, NDUFV2, S100A11, MCL1, TXNDC5, MCTS1, RPL41, 1110020P15RIK, ARPC5, MRPL23, 6720456B07RIK, GNB2, RPL27A, DEGS1, ITM2B, RPLP1, MRPL36, ETFB, ATP5G3, ATP5G2, HIST2H2AC, MRPL33, FTL1, ALDH2, TMSB4X, 2310036O22RIK, RNPEP, SH3BGRL3, ACADM, CTSB, SEC13, TPI1, GPX1, MRPS24, ANXA2, DUSP1, SSR3, RPL13A, FOS, DYNLL1, AKR1A4, APRT, NME1, EEF1G, 2010107E04RIK, DNAJC7, SLC25A5, TRUB2, NDUFB8, GSTP1, MRPS33, COX5A, PSMA7, CST3, P2RY5, PSMB1, EIF4H, RPS3, POLR2G, RPS2, TIMM8B, CCDC56, 1500032L24RIK, NDUFA3, NDUFA2, COX6C, ATOX1, OCIAD1, CDK2AP2, 2310016M24RIK
6	TAL1_ChIP-Seq_HPC-7_Mouse	8.73e-32	-1.4	93.92	RPL31, GIMAP1, LST1, ETFB, ATP5G3, ARRB2, RPL10A, MPO, HIST2H2AC, EEF1B2, RPS14, FTL1, KRTCAP2, ZFP36, HINT1, TUBB5, TMSB4X, H2-OB, MYEOV2, SH3BGRL3, B2M, CHCHD1, RPS12, CTSB, RPS9, GPX1, MRPS24, HIST1H2AI, GPX4, DUSP1, HIST1H2AH, IMP3, RPS5, SSU72, NSMCE1, FOS, DYNLL1, NUDT16L1, DUSP6, 2310014H01RIK, EEF1A1, PGP, VDAC1, PPIA, ARL8A, PRR13, ANAPC13, COPB2, GLO1, POMP, PLD4, MGST2, MRPL12, COX5A, CLN5, ATP5B, CCL9, RPS3, NADK, SERF2, MCL1, TIMM8B, NFE2, NDUFA7, RPL41, ARPC5, MRPL23, SFRS1, RPS26, RPS25, OSTM1, POU2AF1, RPL27A, ZYX, MYO1F, CNIH4
7	MYC_ChIP-ChIP_MESC_Mouse	3.45e-30	-1.41	89.89	IFITM2, HIBADH, ARL6IP1, RPL31, RPLP1, ATP5C1, DBI, MRPL36, ARRB2, RPL10A, ATP5G2, IFI30, UBE2L3, RPS4X, EEF1B2, RPS14, FTL1, KRTCAP2, HINT1, TUBB5, RPL36AL, RPS6KA1, SUMO2, RNPEP, VPS35, RPS11, CHCHD1, RPS12, TMEM14C, CD52, RPS9, GPX1, SSR4, IMP3, RPS8, RPS5, 2700094K13RIK, SSU72, TALDO1, RPL13A, UTP11L, AKR1A4, DUSP6, APRT, NME1, EEF1G, BOLA2, ERP29, ERH, VDAC1, RPL29, SLC25A5, GAPDH, PPIA, LY6E, TRUB2, ANAPC13, GSTP1, CDCA7, NEDD8, MRPL12, COX5A, PSMB10, GSPT1, PSMA7, HSP90B1, ATP5L, ATP5B, PRDX5, PSMB1, RPS3, RPS2, NDUFV2, POLR2J, NADK, MCL1, TIMM8B, RPL41, 1500032L24RIK, 1110020P15RIK, RAB27A, MRPL23, ATOX1, SFRS1, HIGD2A, CYBASC3, RPS26, 6720456B07RIK, RPS25, RPL27A, OCIAD1, SFXN1, DEGS1, CNIH4
8	MYBL2_ChIP-ChIP_MESC_Mouse	2.74e-22	-1.88	87.01	IFITM3, IFITM1, IFITM2, ARL6IP1, RPL31, DBI, MRPL36, HIST2H2AC, UBE2L3, RPS14, ZFP36, HINT1, TUBB5, 2310036O22RIK, HIST1H2AD, HIST1H2AF, RPS11, IFITM6, RPS12, SEC13, RPS9, TPI1, HIST1H2AN, GPX1, HIST1H2AI, HIST1H2AH, H2AFZ, IMP3, RPS8, 2700094K13RIK, RPL13A, H2AFV, EEF1A1, EEF1G, 0910001L09RIK, DNAJC7, VDAC1, EG626175, AURKAIP1, PPIA, VCP, GSTP1, EG667728, COX5A, NUP160, GABARAP, HSP90B1, ATP5L, CLN5, ATP5B, POLR2G, POLR2J, SERF2, MCL1, NFE2, NDUFA7, RPL41, CCDC56, 1500032L24RIK, RAB27A, RPS26, 6720456B07RIK, RPS25, MARCKS, LCN2, OCIAD1
9	IRF8_ChIP-ChIP_GC-B_Mouse	7.86e-16	-2.41	78.04	TNFRSF13B, ARL6IP1, IGL-V1, NCF4, CENPA, GABARAP, PSMB10, B230342M21RIK, ATP5L, FGD2, EEF1B2, RPS14, HINT1, PSAP, RPS3, HIST1H2AF, B2M, NADK, CD52, 1200013B08RIK, HIST1H2AN, SHFM1, PSMB8, ATOX1, PSMB9, RPS26, TSPAN14, MARCKS, GNB2, ERP29, IRF5, CHI3L4, ERH
10	SPI1_ChIP-Seq_ERYTHROLEUKEMIA_Mouse	3.17e-29	-1.24	76.39	TNFAIP8, ARL6IP1, YWHAB, RPL31, LST1, ATP5C1, ATP5G3, MPO, PIK3CG, EEF1B2, RPS14, ARHGDIB, MYEOV2, RPS11, RPS12, TMEM14C, RPS8, RNASE6, SSU72, RPL13A, CYBA, FOS, DUSP6, NME1, 1810027O10RIK, EEF1G, RAB32, COX7A2L, TYROBP, DOK3, LTB4R1, PRTN3, ADNP, GAPDH, LY6E, PRR13, CBFB, MRPS33, CDCA7, PLD4, NEDD8, MRPL12, CENPA, GSPT1, GABARAP, FGD2, CST3, PRDX5, PSAP, RPS3, POLR2G, NADK, MCL1, SEC11C, NDUFA9, OSM, PRG2, RAB27A, ARPC5, HNRNPAB, AI467606, ATOX1, RPS26, 6720456B07RIK, GNB2, RPL27A, ALOX5AP, OCIAD1, PTPN6, 2310016M24RIK, MYO1F
