	Term	p-value	z-score	CS	Related Genes
1	MYB_ChIP-Seq_ERMYB_Mouse	4.17e-46	-1.94	193.49	SAMD9L, MIDN, TNFAIP8, OLFML2B, ALAS1, MS4A3, BTG1, RPL31, RAB3D, PYGL, GLIPR1, ZFP36, SIRPA, CTSG, OSTF1, JUNB, TMSB10, RAB8A, NDEL1, CAP1, 1810033B17RIK, H2AFY, DUSP1, EMP3, APRT, RHOB, ACLY, DOK3, CLEC4D, SLPI, FCGR4, CDC42EP3, SPATA13, IRF2, ADSSL1, LCP1, SGK1, CEBPB, HDC, NEDD9, MGST2, CXCR4, UNC84B, GNAI2, ZFP36L1, PLAC8, CCL9, GNG10, CCL5, ELA2, LRRC8D, NADK, MCL1, OSBPL9, CMTM7, PLEKHA2, OSM, RAB27A, KLF6, BCL6, SELL, STK17B, ALOX5AP, ZYX, PTPN6, CALM3, DEGS1, CD69, PLP2, PI16, CRLF3, MYO1F
2	MECOM_ChIP-Seq_KASUMI_Mouse	3.90e-58	-1.44	182.03	GMFG, NCF4, FCNB, KRTCAP2, RGS1, ARHGDIB, MYEOV2, SIRPA, PGLYRP1, RPL39, JUNB, B2M, KLRA17, STX7, TALDO1, HMHA1, CYBA, SCAMP2, 0910001L09RIK, MYL6, DOK2, DOK3, CLEC4D, LTB4R1, BTK, PRKD2, PRTN3, RPL27, ARL8A, LY6E, PRR13, CBFB, LYZ2, TWF2, MGST2, CORO1A, PLAC8, LDHA, GNG10, NCKAP1L, SLC15A3, ATP6V1D, NADK, MARK2, MCL1, NAPSA, RAB27A, ARPC5, AI467606, SLC6A6, ARHGAP30, SELL, LRP10, WDR1, ATP2A3, LRMP, PYGL, ARRB2, TREM3, RCSD1, LITAF, SLC2A6, CXCL2, PIK3CG, ARHGAP4, PSTPIP1, GLIPR1, LBH, ALDH2, RAC2, TSPO, CTSG, CLIC1, CAP1, CD52, FCER1G, ANXA2, ANXA3, APRT, IL1B, LCP1, LTB, SGK1, HCST, GAPDH, TLR2, PNKP, 1110003E01RIK, NEDD9, COX5A, CLN5, CCL9, CCL3, CSK, RNF130, PLEKHA2, OSM, LAPTM5, ARID3A, PPP1CA, DHRS7, OSTM1, KLHL6, ALOX5AP, 2310009A05RIK, PTPN6, PI16, CD69, CRLF3, MYO1F
3	SPI1_ChIP-ChIP_GC-B_Mouse	9.25e-32	-2.16	146.04	HIST2H2AA2, EIF4A1, NDUFA13, TRIM30, GMFG, NCF4, LST1, DBI, LRMP, RCSD1, ACTB, UBL5, RPS14, ZFP36, HNRPL, RPS19, TMSB4X, CASP1, OSTF1, RPS11, JUNB, B2M, CAP1, CD52, FOS, EMP3, SCAMP2, 2310014H01RIK, DOK3, SLPI, IGH-6, IL1B, ADPRH, IRF2, BTK, ERP29, PRKD2, LCP1, LTB, HCST, H2-D1, PRR13, CBFB, PIRA4, WAS, ATP5L, PRDX5, H2-DMB1, PSAP, RPS3, NCKAP1L, SLC15A3, MYLC2B, ATP6V1D, PTPN18, NDFIP1, CD72, PLEKHA2, SHFM1, LAPTM5, AI467606, SCOTIN, PSMB8, PPP1CA, TSPAN14, POU2AF1, GNB2, RPL27A, PTPN6, PLP2, P4HB, CD69, CRLF3, LRP10
4	EKLF_ChIP-Seq_ERYTHROCYTE_Mouse	3.28e-37	-1.6	126.92	HIBADH, RPL32, WDR1, ARPC1B, DBI, ARRB2, ENO1, RPL10A, MRPL33, RPS14, KRTCAP2, LGALS1, ALDH2, RAC2, MYEOV2, SH3BGRL3, RPS11, CLIC1, LYPLA2, RPS9, H2AFY, LMO4, 2700094K13RIK, NME2, HMHA1, CYBA, EMP3, MIF, PGD, EEF1A1, ACLY, MYL6, COX7A2L, PSMA4, 2010107E04RIK, NGP, SPATA13, ADPRH, TAGLN2, RPL27, PRTN3, LCP1, SLC25A5, RPL29, PFN1, PPIA, PFDN5, LY6E, ATP6V0E, CD63, CDCA7, CORO1A, GNAI2, CST3, LDHA, GNG10, ADRBK1, PSAP, RPS3, CSK, RNF130, CMTM7, PKM2, TBCA, PPP1CA, ZYX, PTPN6, CALM3, LRP10, 2310016M24RIK, ITM2B
5	STAT4_ChIP-ChIP_TH1  _Mouse	5.61e-23	-2.56	123.62	MIDN, WDR1, RNPEPL1, GMFG, GIMAP1, HBB-B1, LRMP, FAIM3, PIGX, GLIPR1, ZFP36, RGS1, RASSF5, RAC2, CASP1, EMB, JUNB, B2M, CLIC1, 1110032A13RIK, IFITM6, NDEL1, PSENEN, PDIA3, CD52, HIST1H2AO, CYBA, FOS, 2310014H01RIK, IRF2, BOLA2, ARHGEF3, PRTN3, RPL27, LCP1, LTB, ATF3, VPS28, H2-D1, CBFB, CORO1A, GNAI2, ZFP36L1, PLAC8, CCL9, 2010107H07RIK, AXUD1, ADRBK1, MCL1, OSBPL9, SEMA4A, PKM2, NDUFA3, OSM, RAB27A, ARID3A, LOC546015, SCOTIN, PSMB8, PSMB9, ARHGAP30, BCL6, LCN2, PTPN6, PLP2, CD69, MYD88
6	SPI1_ChIP-Seq_NB4_Human	1.81e-47	-1.05	107.92	EIF4A1, NDUFA13, IFITM1, IFITM2, ZFAND3, GMFG, LST1, NCF4, FAIM3, RPL9, LGALS1, RPS19, RGS1, RASSF5, RPS6KA1, ARHGDIB, COTL1, OSTF1, RPS11, ATP6V1E1, JUNB, TMSB10, B2M, RPS13, PDIA3, LMO4, RPS6, TALDO1, CYBA, MIF, RAB32, MYL6, TYROBP, DOK3, BTK, ERP29, RIN3, PRKD2, PRTN3, RPL27, S100A8, IQGAP1, GATA2, CORO1A, PSAP, NCKAP1L, CD14, SLC15A3, ATP6V1D, S100A11, MARK2, MCL1, MCTS1, ARPC5, HIGD2A, SLC6A6, ARHGAP30, ARPC3, GNB2, RPL27A, LRP10, MYD88, ITM2B, TNFAIP8, ALAS1, BTG1, ARPC1B, ATP2A3, LRMP, PYGL, ARRB2, PIK3CG, ARHGAP4, LASP1, GLIPR1, PSTPIP1, GM2A, RAC2, SH3BGRL3, CTSG, CLIC1, CAMP, RAB8A, CD52, FCER1G, DUSP1, TSC22D3, NME2, EMP3, FOS, VAV1, PSMA4, DNAJC7, IL1B, IRF2, LCP1, HCST, PFDN5, CEBPB, SELPLG, CEBPE, PNKP, POMP, PRCP, ATP1A1, GNAI2, CCL4, SPP1, RPS3, LRRC8D, CSK, PTPN18, NDUFA7, CD72, CMTM6, LAPTM5, OSM, PSMB8, LRG1, ALOX5AP, PTPN6, PI16
7	TAL1_ChIP-Seq_HPC-7_Mouse	4.89e-36	-1.4	107.6	EIF4A1, MIDN, OLFML2B, BTG1, ZFAND3, RPL31, ARPC1B, GIMAP1, LST1, ATP2A3, LRMP, ARRB2, RPL10A, FAIM3, ACTB, RPS14, PSTPIP1, KRTCAP2, VPREB1, ZFP36, LBH, RPS19, RGS1, TMSB4X, MYEOV2, SH3BGRL3, JUNB, TMSB10, B2M, CLIC1, RPS12, PDIA3, RPS9, DUSP1, RPS6, SSU72, FOS, EMP3, VAV1, SCAMP2, 2310014H01RIK, RHOB, EEF1A1, ACLY, DOK2, CLEC4D, IRF2, TAGLN2, RPL27, LTB, PFN1, HCST, PPIA, ARL8A, PRR13, ATP6V0E, CD63, CEBPE, GLO1, POMP, MGST2, CXCR4, GATA2, COX5A, CLN5, LDHA, CCL9, RPS3, RPL18, NADK, SERF2, MCL1, CMTM7, EGR1, NDUFA7, NDFIP1, CMTM6, LAPTM5, ARPC5, KLF6, OSTM1, POU2AF1, RPL27A, ZYX, PI16, MYO1F, MYD88
8	KLF4_ChIP-ChIP_MESC_Mouse	9.12e-27	-1.75	99.11	HIST2H2AA2, IFITM1, D3UCLA1, IFITM2, RPL31, GMFG, RAB3D, ATP2A3, SLC2A3, ENO1, ACTB, TRIOBP, LGALS3, RPS14, LASP1, KRTCAP2, ZFP36, RPS19, TSPO, RPS11, JUNB, CLIC1, RAB8A, TPD52, HIST1H2AO, ANXA2, ACTN1, HMHA1, ATP1B1, APRT, EEF1A1, ADPRH, CDC42EP3, BOLA2, TAGLN2, SLC25A5, PFN1, GAPDH, ATF3, ARL8A, PRR13, HDC, PNKP, CDCA7, UNC84B, IQGAP1, COX5A, ZFP36L1, CST3, PRDX5, P2RY5, SPP1, CKB, RPL18, MYLC2B, MARK2, MCL1, EGR1, PKM2, CMTM6, DSTN, ARID3A, KLF2, ARHGAP30, GNB2, CD9, PTPN6, CALM3
9	STAT3_ChIP-Seq_CD4+T_Mouse	4.32e-11	-4.32	96.8	TNFAIP8, BTG1, MAST3, RPL34, ACTB, GLIPR1, ZFP36, RGS1, RAC2, FFAR2, EMB, CLIC1, IFITM6, CAP1, TPD52, CD52, H2AFY, FOS, EMP3, MMP9, EG268795, SPATA13, IRF2, LOC666676, PRKD2, ATF3, H2-D1, LY6E, SELPLG, CXCR4, IQGAP1, ZFP36L1, PLAC8, AXUD1, CCL5, S100A11, EGR1, 1200013B08RIK, NDFIP1, OSM, RAB27A, ARID3A, ASPRV1, ARHGAP30, BCL6, ARPC3, KLHL6, STK17B, ALOX5AP, CD69, ITM2B
10	SPI1_ChIP-Seq_ERYTHROLEUKEMIA_Mouse	2.95e-35	-1.26	94.89	TNFAIP8, BTG1, RPL32, MAST3, RPL31, GMFG, LST1, ATP2A3, LRMP, SLC2A3, TRIOBP, PIK3CG, RPS14, RPS19, GM2A, RGS1, ARHGDIB, COTL1, MYEOV2, RPS11, JUNB, RPS12, PDIA3, LYPLA2, RPS6, SSU72, CYBA, FOS, EMP3, VAV1, RAB32, DOK2, COX7A2L, TYROBP, PSMA4, DOK3, LTB4R1, IRF2, BTK, PRKD2, PRTN3, RPL27, PFN1, SGK1, HCST, GAPDH, PFDN5, H2-D1, LY6E, PRR13, CEBPB, CBFB, RPN2, PIRA4, CDCA7, WAS, ATP1A1, CST3, PRDX5, TCTEX1D2, PSAP, RPS3, INPP5K, NCKAP1L, NADK, BC037034, MCL1, OSBPL9, CD72, OSM, LAPTM5, RAB27A, ARPC5, AI467606, ARHGAP30, KLHL6, GNB2, RPL27A, ALOX5AP, PTPN6, CRLF3, LRP10, 2310016M24RIK, MYO1F
