	Term	p-value	z-score	CS	Related Genes
1	Ribosome	6.43e-05	-1.75	7.7	RPL3, RPL32, RPL12, RPS15, RPL18A, RPS29, RPL24, RPL27, RPL39, UBA52, RPS24, RPS13, RPL19
2	HTLV-I infection	9.42e-04	-1.89	5.35	EGR1, EGR2, MAP3K1, SLC2A1, CD3G, CD3E, CD3D, ETS1, RELA, ETS2, TGFBR2, NFKBIA, LCK, POLD1, ATF3, ATF4
3	Transcriptional misregulation in cancer	7.79e-04	-1.73	4.88	MEF2C, CEBPB, H3F3B, LDB1, LMO2, RELA, FOXO1, TGFBR2, BCL6, NFKBIZ, REL, HIST1H3H, CCR7
4	Osteoclast differentiation	2.26e-03	-1.76	4.56	NFKBIA, SOCS3, IFNGR1, LCK, PLCG2, FOSB, SQSTM1, JUNB, RELA, TGFBR2
5	Chagas disease (American trypanosomiasis)	1.61e-03	-1.75	4.54	NFKBIA, PPP2CB, IFNGR1, CCL5, CD3G, CD3E, CD3D, RELA, TGFBR2
6	Measles	2.78e-03	-1.71	4.42	NFKBIA, HSPA8, TBK1, IFNGR1, STAT3, TNFAIP3, CD3G, CD3E, CD3D, RELA
7	FoxO signaling pathway	2.38e-03	-1.7	4.4	PLK3, BCL6, GADD45A, STAT3, IRS2, STK4, FOXO1, KLF2, GADD45G, TGFBR2
8	Influenza A	5.36e-03	-1.79	3.69	NFKBIA, HSPA8, SOCS3, TBK1, RSAD2, IFNGR1, CCL5, CASP1, RELA, ACTB, KPNA1
9	TNF signaling pathway	7.69e-03	-1.67	3.38	NFKBIA, SOCS3, CEBPB, CCL5, TNFAIP3, JUNB, RELA, ATF4
10	Spliceosome	7.73e-03	-1.55	3.13	HSPA8, PUF60, EIF4A3, TRA2A, DHX38, HNRNPC, PLRG1, WBP11, LSM4
11	Cytosolic DNA-sensing pathway	6.74e-03	-1.44	2.91	NFKBIA, TBK1, CCL5, CASP1, POLR1D, RELA
12	MAPK signaling pathway	1.30e-02	-1.67	2.9	MAP4K1, HSPA8, MEF2C, MAP3K1, GADD45A, STK4, RELA, GADD45G, TGFBR2, RAP1B, RASA1, MKNK2, ATF4
13	Hepatitis B	1.28e-02	-1.63	2.84	NFKBIA, EGR2, MAP3K1, EGR3, TBK1, STAT3, YWHAZ, RELA, ATF4
14	Adipocytokine signaling pathway	9.98e-03	-1.45	2.69	NFKBIA, SOCS3, STAT3, SLC2A1, IRS2, RELA
15	HIF-1 signaling pathway	1.71e-02	-1.41	2.37	TFRC, IFNGR1, MKNK2, STAT3, SLC2A1, PLCG2, RELA
16	T cell receptor signaling pathway	1.79e-02	-1.41	2.36	NFKBIA, LCK, CTLA4, CD3G, CD3E, CD3D, RELA
17	Chemokine signaling pathway	2.11e-02	-1.44	2.32	NFKBIA, RAP1B, CCL5, STAT3, CXCR5, XCL1, CXCR4, CCR7, CCR6, RELA
18	Hepatitis C	2.09e-02	-1.38	2.23	NFKBIA, SOCS3, PPP2CB, TBK1, CD81, IRF1, STAT3, RELA
19	Insulin resistance	2.22e-02	-1.33	2.15	NFKBIA, SOCS3, STAT3, SLC2A1, IRS2, RELA, FOXO1
20	NOD-like receptor signaling pathway	1.67e-02	-1.21	2.03	NFKBIA, CCL5, CASP1, TNFAIP3, RELA
21	Epstein-Barr virus infection	3.28e-02	-1.36	1.89	NFKBIA, HSPA8, TBK1, STAT3, AKAP8L, PLCG2, POLR1D, TNFAIP3, YWHAZ, RELA
22	Prion diseases	1.41e-02	-1.04	1.8	EGR1, PRNP, STIP1, CCL5
23	Salmonella infection	2.38e-02	-1.1	1.78	IFNGR1, ARPC3, CASP1, MYH9, RELA, ACTB
24	Hematopoietic cell lineage	2.61e-02	-1.11	1.76	CD2, GYPA, TFRC, CD3G, CD3E, CD3D
25	Neurotrophin signaling pathway	3.42e-02	-1.22	1.7	NFKBIA, RAP1B, MAP3K1, NGFRAP1, PLCG2, RELA, ATF4
26	AGE-RAGE signaling pathway in diabetic complications	4.50e-02	-1.32	1.55	EGR1, STAT3, PLCG2, RELA, FOXO1, TGFBR2
27	Herpes simplex infection	4.57e-02	-1.13	1.33	NFKBIA, CD74, SOCS3, PER1, TBK1, IFNGR1, CCL5, RELA, HMGN1
28	Ras signaling pathway	6.16e-02	-1.26	1.23	RAP1B, TBK1, RASA1, PLCG2, REL, STK4, ETS1, RELA, ETS2, ARF6
29	cGMP-PKG signaling pathway	6.19e-02	-1.16	1.13	GNA13, MEF2C, ATP2A3, ATP1B3, IRS2, ATP1A1, ADRB2, ATF4
30	Apoptosis	6.56e-02	-1.16	1.1	NFKBIA, GADD45A, LMNA, RELA, ACTB, GADD45G, ATF4
31	Viral carcinogenesis	7.51e-02	-1.14	1.0	NFKBIA, EGR2, EGR3, ACTN2, STAT3, REL, YWHAZ, RELA, ATF4
32	Thyroid hormone signaling pathway	8.00e-02	-0.92	0.8	SLC2A1, PLCG2, ATP1B3, ATP1A1, FOXO1, ACTB
33	Legionellosis	5.41e-02	-0.74	0.77	NFKBIA, HSPA8, CASP1, RELA
34	Leukocyte transendothelial migration	8.00e-02	-0.85	0.74	RAP1B, ACTN2, PLCG2, CXCR4, THY1, ACTB
35	Longevity regulating pathway - mammal	9.17e-02	-0.82	0.66	SESN1, IRS2, RELA, FOXO1, ATF4
36	Endocytosis	1.17e-01	-0.83	0.63	HSPA8, SNX2, TFRC, ARPC3, F2R, CXCR4, VPS37B, ADRB2, ARF6, TGFBR2
37	NF-kappa B signaling pathway	8.87e-02	-0.72	0.59	NFKBIA, LCK, PLCG2, TNFAIP3, RELA
38	cAMP signaling pathway	1.29e-01	-0.7	0.51	RAP1B, NFKBIA, F2R, PDE4B, ATP1B3, ADRB2, ATP1A1, RELA
39	RNA transport	1.43e-01	-0.58	0.4	EIF4A1, EIF5, POP4, EIF4A3, STRAP, EIF3F, EIF3D
40	Epithelial cell signaling in Helicobacter pylori infection	9.65e-02	-0.48	0.38	NFKBIA, CCL5, PLCG2, RELA
41	Prolactin signaling pathway	1.12e-01	-0.49	0.37	SOCS3, IRF1, STAT3, RELA
42	Shigellosis	8.56e-02	-0.44	0.37	NFKBIA, ARPC3, RELA, ACTB
43	B cell receptor signaling pathway	1.16e-01	-0.48	0.36	NFKBIA, CD81, PLCG2, RELA
44	Phospholipase D signaling pathway	1.56e-01	-0.49	0.32	GNA13, DGKD, DGKA, F2R, PLCG2, ARF6
45	p53 signaling pathway	1.00e-01	-0.35	0.28	CD82, GADD45A, SESN1, GADD45G
46	Bile secretion	1.08e-01	-0.32	0.24	SLC2A1, ATP1B3, ATP1A1, AQP1
47	RIG-I-like receptor signaling pathway	1.04e-01	-0.31	0.24	NFKBIA, MAP3K1, TBK1, RELA
48	Adrenergic signaling in cardiomyocytes	1.70e-01	-0.39	0.24	PPP2CB, TPM4, ATP1B3, ATP1A1, ADRB2, ATF4
49	RNA degradation	1.33e-01	-0.23	0.17	HSPA9, DDX6, BTG1, LSM4
50	Toxoplasmosis	1.78e-01	-0.26	0.16	NFKBIA, HSPA8, IFNGR1, STAT3, RELA
51	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1.20e-01	-0.2	0.15	ACTN2, LMNA, EMD, ACTB
52	Platelet activation	1.94e-01	-0.25	0.14	RAP1B, GNA13, F2R, PLCG2, ACTB
53	Cytokine-cytokine receptor interaction	2.19e-01	-0.26	0.13	IFNGR1, CCL5, CXCR5, CXCR4, XCL1, CCR7, CCR6, TNFRSF4, TGFBR2
54	Lysosome	1.98e-01	-0.17	0.09	CD164, NAPSA, LAPTM5, CTSE, LITAF
55	Prostate cancer	1.88e-01	-0.13	0.07	NFKBIA, RELA, FOXO1, ATF4
56	Insulin secretion	1.69e-01	-0.1	0.06	SLC2A1, ATP1B3, ATP1A1, ATF4
57	Dilated cardiomyopathy	1.93e-01	-0.02	0.01	TPM4, LMNA, EMD, ACTB
58	Hypertrophic cardiomyopathy (HCM)	1.60e-01	-0.02	0.01	TPM4, LMNA, EMD, ACTB
59	Primary immunodeficiency	7.19e-02	0.02	-0.02	LCK, CD3E, CD3D
