	Term	p-value	z-score	CS	Related Genes
1	Mp0002420 Abnormal Adaptive Immunity 	2.49e-29	-1.38	82.97	H2-T23, CD83, CD81, DGKA, CD3G, CD3E, ETS1, BACH2, RABGEF1, CD1D1, TBK1, NFKBIZ, CASP1, PDE4B, CTLA4, CCR7, CCR6, CYTIP, CTSE, TNFRSF4, JUNB, MAP4K1, ST6GAL1, KLF13, RSAD2, IFNGR1, PLAUR, ELF1, PRKAR1A, LCK, IRF4, IRF1, B3GNT5, TAX1BP1, MYH9, TXNIP, CCDC86, FCER2A, PRKD2, SQSTM1, ATF3, CD274, CEBPB, SATB1, HVCN1, H2-DMA, SH2D2A, H2-M3, CXCR5, NEDD9, CXCR4, ADRB2, STK4, SAMSN1, RELA, FOXO1, SERPINB1A, CNR2, CCL5, PLCG2, SKIL, MARK2, EGR1, CD74, GADD45A, STAT3, LAPTM5, MLL5, NTAN1, KLF2, GADD45G, NFKBIA, BCL6, STK17B, REL, CD69, NFKBID
2	Mp0001819 Abnormal Immune Cell 	2.10e-28	-1.37	80.37	H2-T23, CD83, CD81, DGKA, CD3G, CD3E, ETS1, BACH2, RABGEF1, CD1D1, TBK1, NFKBIZ, CASP1, PDE4B, CTLA4, CCR7, CCR6, CYTIP, CTSE, TNFRSF4, JUNB, MAP4K1, ST6GAL1, KLF13, RSAD2, IFNGR1, PLAUR, ELF1, LCK, IRF4, PRKAR1A, IRF1, B3GNT5, TAX1BP1, MYH9, TXNIP, CCDC86, FCER2A, PRKD2, SQSTM1, CD274, CEBPB, SATB1, HVCN1, H2-DMA, SH2D2A, H2-M3, CXCR5, NEDD9, CXCR4, ADRB2, STK4, SAMSN1, RELA, FOXO1, SERPINB1A, CNR2, CCL5, PLCG2, SKIL, MARK2, CD74, EGR1, GADD45A, STAT3, LAPTM5, MLL5, NTAN1, KLF2, GADD45G, NFKBIA, BCL6, STK17B, REL, CD69, NFKBID
3	Mp0002723 Abnormal Immune Serum 	1.98e-23	-1.55	74.43	CD83, CD81, DGKA, TNFAIP3, LITAF, BACH2, RABGEF1, CD1D1, TBK1, NFKBIZ, CASP1, PDE4B, CTLA4, CCR7, CCR6, CTSE, JUNB, MAP4K1, RSAD2, IFNGR1, F2R, PLAUR, MIF, ELF1, LCK, IRF4, IRF1, B3GNT5, TAX1BP1, FCER2A, PRKD2, SQSTM1, ATF3, CD274, CEBPB, SH2D2A, H2-DMA, H2-M3, STK4, SAMSN1, RELA, SERPINB1A, SOCS3, CCL5, PLCG2, MARK2, EGR1, CD74, GADD45A, STAT3, LAPTM5, IRGM1, KLF2, GADD45G, NFKBIA, BCL6, STK17B, REL, PDCD4, CD69, NFKBID
4	Mp0002429 Abnormal Blood Cell 	1.98e-25	-1.3	67.61	ALAS2, DYRK3, CD83, TFRC, CD81, DGKA, HBB-B1, TNFAIP3, SLC4A1, CD3G, HBA-A1, CD3E, ETS1, CD3D, BACH2, AQP1, RABGEF1, CD1D1, TBK1, CTLA4, CCR7, CCR6, CYTIP, CTSE, JUNB, TNFRSF4, SRGN, CD97, MAP4K1, MEF2C, ST6GAL1, KLF13, RSAD2, IFNGR1, LMO2, MIF, TGFBR2, ELF1, IRF4, LCK, PRKAR1A, IRF1, B3GNT5, TXNIP, MYH9, CCDC86, FCER2A, SQSTM1, ATF4, ARF6, CD274, CEBPB, GYPA, SATB1, H2-DMA, SH2D2A, H2-M3, CXCR5, CXCR4, NEDD9, ADRB2, STK4, SAMSN1, RELA, FOXO1, ZFP36L1, SOCS3, SERPINB1A, CCL5, PLCG2, SKIL, MARK2, MLL1, EGR1, PRNP, CD74, GADD45A, STAT3, LAPTM5, MLL5, KLF2, GADD45G, NFKBIA, KLF6, STK17B, CD69, NFKBID
5	Mp0002398 Abnormal Bone Marrow 	1.37e-22	-1.31	60.63	DYRK3, CD83, TFRC, CD81, DGKA, HBB-B1, SLC4A1, CD3G, HBA-A1, CD3E, ETS1, CD3D, BACH2, CD1D1, TBK1, CTLA4, CCR7, CCR6, CTSE, TNFRSF4, MAP4K1, ST6GAL1, KLF13, RSAD2, IFNGR1, LMO2, MIF, ELF1, LCK, IRF4, PRKAR1A, IRF1, TXNIP, MYH9, FCER2A, ATF4, CEBPB, SATB1, H2-DMA, SH2D2A, CXCR4, STK4, SAMSN1, FOXO1, RELA, CCL5, PLCG2, SKIL, MARK2, MLL1, EGR1, PRNP, CD74, GADD45A, STAT3, LAPTM5, MLL5, KLF2, GADD45G, NFKBIA, PER1, BCL6, STK17B, CD69, NFKBID
6	Mp0000716 Abnormal Immune System 	2.29e-23	-1.26	60.31	CD83, CD81, DGKA, TNFAIP3, CD3G, CD3E, ETS1, CD3D, BACH2, RABGEF1, CD1D1, TBK1, CTLA4, CCR7, CCR6, CYTIP, CTSE, JUNB, TNFRSF4, SRGN, CD97, MAP4K1, ST6GAL1, KLF13, RSAD2, IFNGR1, LMO2, MIF, ELF1, IRF4, LCK, PRKAR1A, IRF1, B3GNT5, TXNIP, MYH9, CCDC86, FCER2A, SQSTM1, CD274, CEBPB, SATB1, H2-DMA, SH2D2A, H2-M3, CXCR5, CXCR4, NEDD9, ADRB2, STK4, SAMSN1, RELA, FOXO1, SERPINB1A, SOCS3, CCL5, PLCG2, SKIL, MARK2, MLL1, EGR1, PRNP, CD74, GADD45A, STAT3, LAPTM5, MLL5, KLF2, GADD45G, NFKBIA, STK17B, REL, CD69, NFKBID
7	Mp0002452 Abnormal Antigen Presenting 	7.17e-18	-1.53	54.55	CD83, CD81, ETS1, BACH2, RABGEF1, CD1D1, TBK1, NFKBIZ, CASP1, CTLA4, CCR7, CCR6, CTSE, JUNB, MAP4K1, ST6GAL1, RSAD2, IFNGR1, PLAUR, ELF1, IRF4, PRKAR1A, LCK, IRF1, B3GNT5, TAX1BP1, FCER2A, PRKD2, SQSTM1, CD274, CEBPB, HVCN1, H2-M3, NEDD9, ADRB2, STK4, SAMSN1, RELA, CNR2, PLCG2, MARK2, CD74, EGR1, GADD45A, STAT3, KLF2, NFKBIA, BCL6, REL, CD69
8	Mp0002722 Abnormal Immune System 	6.46e-14	-1.51	40.23	CEBPB, SATB1, CHD7, CXCR5, NEDD9, HBB-B1, SLC4A1, CD3G, STK4, CD3E, ETS1, CD3D, FOXO1, BACH2, SOCS3, TBK1, POLD1, LMNA, PLCG2, CTLA4, CCR7, CCR6, CYTIP, SKIL, MARK2, HIST1H1C, MLL1, CD74, PRNP, EGR1, KLF13, GADD45A, IFNGR1, F2R, STAT3, LMO2, MLL5, NFKBIA, BCL6, IRF4, LCK, DAD1, B3GNT5, MYH9, TXNIP
9	Mp0001800 Abnormal Humoral Immune 	1.64e-11	-1.9	40.2	CD83, CD81, SAMSN1, BACH2, RELA, RABGEF1, CD1D1, TBK1, NFKBIZ, PLCG2, CTLA4, CCR7, CCR6, CTSE, JUNB, MARK2, MAP4K1, CD74, RSAD2, IFNGR1, GADD45A, KLF2, NFKBIA, BCL6, LCK, IRF4, IRF1, B3GNT5, FCER2A, PRKD2, CD69, ATF3
10	Mp0000689 Abnormal Spleen Morphology 	4.53e-11	-1.53	31.09	CEBPB, TFRC, SATB1, CXCR5, HBB-B1, NEDD9, SLC4A1, CD3G, STK4, ETS1, RELA, FOXO1, BACH2, SOCS3, TBK1, FTH1, LMNA, PLCG2, CTLA4, CCR7, SKIL, MARK2, MLL1, PRNP, EGR1, ST6GAL1, KLF13, IFNGR1, LMO2, MLL5, NFKBIA, MORF4L1, ELF1, BCL6, IRF4, B3GNT5, IRF1, REL
