	Term	p-value	z-score	CS	Related Genes
1	Mp0002420 Abnormal Adaptive Immunity 	1.04e-34	-1.38	100.68	WDR1, NCF4, GIMAP1, ARRB2, PIK3CG, FCRLA, LGALS3, ZFP36, VPREB1, RASSF5, ARHGDIB, CASP1, RAC2, SIRPA, FCER1A, FFAR2, CYTIP, PGLYRP1, B2M, JUNB, FCER1G, NME2, CYBA, FOS, MMP9, VAV1, DOK2, TYROBP, SLPI, IL1B, LTB4R1, IRF2, BTK, CHI3L1, PRTN3, PRKD2, LTB, LCP1, HCST, PPIA, H2-D1, ATF3, TLR2, CEBPB, GRN, SELPLG, CBFB, CEBPE, LYZ2, WAS, NEDD9, CXCR4, FPR2, CORO1A, GNAI2, PLAC8, CD79B, SERPINB1A, CCL5, PSAP, SPP1, NCKAP1L, CSK, CD14, MARK2, MCL1, EGR1, CD74, SEMA4A, NDFIP1, CD72, LAPTM5, RAB27A, KLF2, SELL, BCL6, KLHL6, POU2AF1, STK17B, ALOX5AP, PTPN6, CD69, MYD88, MYO1F, H2-AB1
2	Mp0001819 Abnormal Immune Cell 	1.44e-34	-1.37	99.92	WDR1, NCF4, GIMAP1, ARRB2, PIK3CG, FCRLA, LGALS3, ZFP36, VPREB1, RGS1, RASSF5, ARHGDIB, CASP1, RAC2, SIRPA, FCER1A, FFAR2, CYTIP, PGLYRP1, B2M, JUNB, FCER1G, KLRA17, NME2, CYBA, FOS, MMP9, VAV1, DOK2, TYROBP, SLPI, IL1B, LTB4R1, IRF2, BTK, CHI3L1, PRTN3, PRKD2, LCP1, LTB, HCST, PPIA, H2-D1, TLR2, CEBPB, GRN, SELPLG, CBFB, CEBPE, LYZ2, WAS, NEDD9, CXCR4, FPR2, CORO1A, GNAI2, PLAC8, CD79B, SERPINB1A, CCL5, PSAP, SPP1, NCKAP1L, CSK, CD14, MARK2, MCL1, SEMA4A, CD74, EGR1, NDFIP1, CD72, LAPTM5, RAB27A, KLF2, SELL, BCL6, POU2AF1, STK17B, ALOX5AP, PTPN6, CD69, MYD88, MYO1F, H2-AB1
3	Mp0002419 Abnormal Innate Immunity 	3.05e-26	-1.63	89.05	WDR1, NCF4, PIK3CG, LGALS3, ZFP36, CASP1, RAC2, SIRPA, FCER1A, FFAR2, PGLYRP1, FCER1G, DUSP1, CYBA, FOS, MMP9, VAV1, TYROBP, SLPI, IL1B, LTB4R1, BTK, CHI3L1, PRTN3, LCP1, HCST, TLR2, GRN, SELPLG, CEBPE, LYZ2, WAS, FPR2, CORO1A, GNAI2, PLAC8, SERPINB1A, PSAP, SPP1, NCKAP1L, CD14, EGR1, RAB27A, SELL, ALOX5AP, CD69, MYD88, MYO1F, H2-AB1
4	Mp0002723 Abnormal Immune Serum 	1.92e-26	-1.54	84.74	ARRB2, LITAF, PIK3CG, FCRLA, VPREB1, LGALS1, RGS1, CASP1, RAC2, FCER1A, FFAR2, B2M, JUNB, FCER1G, DUSP1, KLRA17, NME2, MIF, FOS, MMP9, VAV1, TYROBP, SLPI, IL1B, LTB4R1, IRF2, BTK, CHI3L1, PRKD2, LCP1, LTB, PPIA, HCST, ATF3, TLR2, GRN, CEBPB, SELPLG, CBFB, LYZ2, WAS, FPR2, CORO1A, GNAI2, CD79B, SERPINB1A, CCL5, SPP1, CCL3, NCKAP1L, CD14, MARK2, MCL1, SEMA4A, EGR1, CD74, CD72, LAPTM5, KLF2, BCL6, STK17B, POU2AF1, PTPN6, CD69, MYD88, H2-AB1
5	Mp0002452 Abnormal Antigen Presenting 	1.08e-24	-1.53	78.73	WDR1, PIK3CG, FCRLA, LGALS3, ZFP36, VPREB1, RGS1, RASSF5, ARHGDIB, CASP1, SIRPA, FCER1A, B2M, JUNB, FCER1G, KLRA17, FOS, MMP9, VAV1, TYROBP, SLPI, IL1B, LTB4R1, IRF2, BTK, CHI3L1, PRKD2, LCP1, LTB, HCST, PPIA, TLR2, CEBPB, GRN, CBFB, LYZ2, WAS, NEDD9, FPR2, CORO1A, GNAI2, CD79B, PSAP, SPP1, NCKAP1L, CD14, MARK2, MCL1, CD74, SEMA4A, EGR1, CD72, KLF2, BCL6, SELL, POU2AF1, PTPN6, CD69, MYD88, H2-AB1
6	Mp0002429 Abnormal Blood Cell 	2.02e-28	-1.3	76.61	WDR1, GIMAP1, HBB-B1, CD3D, PIK3CG, GPI1, LGALS3, VPREB1, RASSF5, ARHGDIB, RAC2, FCER1A, SIRPA, CTSG, FFAR2, CYTIP, JUNB, B2M, CLIC1, CPA3, FCER1G, KLRA17, NME2, FOS, MIF, MMP9, VAV1, APRT, DOK3, TYROBP, SLPI, LTB4R1, IRF2, BTK, CHI3L1, LTB, HCST, PPIA, GAPDH, H2-D1, TLR2, CEBPB, VCP, GRN, SELPLG, CBFB, CEBPE, LYZ2, HDC, WAS, CXCR4, NEDD9, FPR2, GATA2, CORO1A, GNAI2, ZFP36L1, PLAC8, CD79B, SERPINB1A, LDHA, CCL5, PSAP, SPP1, CCL3, NCKAP1L, CSK, MARK2, MCL1, EGR1, CD74, SEMA4A, NDFIP1, CD72, LAPTM5, RAB27A, KLF2, PSMB8, PSMB9, KLF6, SELL, KLHL6, STK17B, POU2AF1, BGLAP2, CD9, PTPN6, MAN2B1, CD69, TGFBI, CLEC2D, MYD88, H2-AB1
7	Mp0005025 Abnormal Response To 	1.61e-19	-1.89	75.01	CEBPB, GRN, CEBPE, LYZ2, NCF4, CORO1A, PIK3CG, GNAI2, PLAC8, LGALS3, SERPINB1A, CASP1, SPP1, CCL3, RAC2, FFAR2, CTSG, CSK, CD14, PGLYRP1, B2M, CAMP, CD74, FCER1G, KLRA17, CYBA, MIF, FOS, MMP9, VAV1, PSMB9, TYROBP, SLPI, IL1B, POU2AF1, IRF2, ADPRH, LCN2, PTPN6, LTB, LCP1, HCST, MYD88, H2-D1, TLR2, H2-AB1
8	Mp0000716 Abnormal Immune System 	3.93e-28	-1.27	74.8	WDR1, GIMAP1, CD3D, PIK3CG, LGALS3, VPREB1, RASSF5, ARHGDIB, RAC2, FCER1A, SIRPA, FFAR2, CTSG, CYTIP, JUNB, B2M, CPA3, FCER1G, KLRA17, FOS, MIF, MMP9, VAV1, DOK3, TYROBP, SLPI, LTB4R1, IRF2, BTK, CHI3L1, LTB, HCST, PPIA, H2-D1, TLR2, CEBPB, VCP, GRN, SELPLG, CBFB, CEBPE, LYZ2, HDC, WAS, CXCR4, NEDD9, FPR2, CORO1A, GNAI2, PLAC8, CD79B, SERPINB1A, LDHA, CCL5, PSAP, CCL3, SPP1, NCKAP1L, CSK, MARK2, MCL1, EGR1, CD74, SEMA4A, CD72, NDFIP1, LAPTM5, KLF2, PSMB8, PSMB9, SELL, KLHL6, STK17B, POU2AF1, BGLAP2, PTPN6, MAN2B1, CD69, TGFBI, CLEC2D, MYD88, H2-AB1
9	Mp0002398 Abnormal Bone Marrow 	2.87e-20	-1.28	52.88	WDR1, GIMAP1, HBB-B1, CD3D, PIK3CG, LGALS3, VPREB1, RASSF5, ARHGDIB, RAC2, SIRPA, FCER1A, CTSG, B2M, CLIC1, CPA3, FCER1G, FOS, MIF, MMP9, VAV1, TYROBP, SLPI, LTB4R1, IRF2, BTK, LTB, H2-D1, CEBPB, SELPLG, CBFB, CEBPE, LYZ2, WAS, CXCR4, GATA2, CORO1A, GNAI2, CD79B, LDHA, CCL5, SPP1, NCKAP1L, CSK, MARK2, MCL1, EGR1, CD74, SEMA4A, NDFIP1, CD72, LAPTM5, RAB27A, KLF2, BCL6, SELL, KLHL6, STK17B, POU2AF1, PTPN6, CD69, MYD88, H2-AB1
10	Mp0001800 Abnormal Humoral Immune 	3.78e-13	-1.88	47.3	CBFB, FPR2, PIK3CG, GNAI2, FCRLA, CD79B, LGALS3, VPREB1, RGS1, FCER1A, B2M, JUNB, MARK2, MCL1, CD74, FCER1G, CD72, MMP9, VAV1, KLF2, BCL6, POU2AF1, LTB4R1, IRF2, BTK, CHI3L1, PTPN6, PRKD2, CD69, LTB, PPIA, MYD88, ATF3, H2-AB1, TLR2
