	Term	p-value	z-score	CS	Related Genes
1	Ribosome	1.04e-09	-1.75	27.26	RPL41, RPL3, RPS8, RPL23, MRPS12, RPL36A, RPS27L, MRPL14, RPS3A, MRPS18C, RPS26, RPL7A, RPS16, RPS29, RPL24, RPLP2, RPS2, UBA52, RPS24
2	DNA replication	4.22e-06	-1.94	15.47	FEN1, MCM7, RPA3, RPA1, MCM4, MCM5, MCM6, MCM2
3	Cell cycle	8.92e-06	-1.68	12.87	RB1, MCM7, GADD45A, FZR1, CCNB1, TFDP2, E2F1, E2F2, MCM4, MCM5, ANAPC5, MCM6, MCM2
4	Porphyrin and chlorophyll metabolism	8.73e-05	-1.72	9.75	ALAD, ALAS2, FECH, UROD, UROS, BLVRB, PPOX
5	Proteasome	4.26e-03	-1.53	3.05	PSMD8, PSMD4, PSME3, PSMD1, PSMF1
6	Alcoholism	8.76e-03	-1.75	2.82	H3F3B, HIST1H2AI, HIST1H2AH, HAT1, H2AFX, HIST2H2AB, HIST1H2AD, HIST1H2AG, ATF4, HIST1H3E
7	Glutathione metabolism	8.13e-03	-1.66	2.67	GPX1, MGST3, ODC1, GCLM, GSTM5
8	Systemic lupus erythematosus	1.35e-02	-1.57	2.06	H3F3B, HIST1H2AI, HIST1H2AH, H2AFX, HIST2H2AB, HIST1H2AD, HIST1H2AG, HIST1H3E
9	Parkinson's disease	1.75e-02	-1.55	1.97	UBB, NDUFS7, ATP5C1, UBE2L6, ATP5H, COX6C, NDUFV1, SNCA
10	Bladder cancer	1.68e-02	-1.51	1.92	RB1, DAPK2, E2F1, E2F2
11	Oxidative phosphorylation	3.47e-02	-1.57	1.07	ATP6AP1, NDUFS7, COX17, ATP5C1, ATP5H, COX6C, NDUFV1
12	Epstein-Barr virus infection	9.21e-02	-1.68	0.09	RB1, PSMD8, MAP2K3, HSPA8, USP7, PSMD4, EIF2AK1, PSMD1
13	Apoptosis	1.03e-01	-1.6	0.09	TUBA1B, GADD45A, LMNA, BIRC5, ATF4, CTSB
14	RNA transport	1.00e-01	-1.55	0.09	EIF5, NUP85, PABPC4, EIF3I, PABPC1, RANGAP1, THOC7
15	Protein processing in endoplasmic reticulum	9.36e-02	-1.53	0.09	DNAJB2, HSPA8, DNAJB1, EIF2AK1, SEC61G, BAG1, ATF4
16	Hepatitis B	1.19e-01	-1.5	0.08	RB1, ATP6AP1, E2F1, E2F2, BIRC5, ATF4
17	Non-alcoholic fatty liver disease (NAFLD)	1.33e-01	-1.5	0.08	NDUFS7, COX6C, ADIPOR1, PRKAB1, NDUFV1, ATF4
18	Huntington's disease	1.52e-01	-1.36	0.08	GPX1, NDUFS7, ATP5C1, ATP5H, COX6C, NDUFV1, SOD1
19	Prostate cancer	1.49e-01	-1.35	0.08	RB1, E2F1, E2F2, ATF4
20	Non-small cell lung cancer	1.40e-01	-1.3	0.07	RB1, E2F1, E2F2
21	Alzheimer's disease	1.86e-01	-1.24	0.07	NDUFS7, ATP5C1, ATP5H, COX6C, NDUFV1, SNCA
22	Glioma	1.89e-01	-1.16	0.07	RB1, E2F1, E2F2
23	Spliceosome	1.92e-01	-1.16	0.07	HSPA8, PHF5A, PLRG1, LSM4, BCAS2
24	Amyotrophic lateral sclerosis (ALS)	1.16e-01	-1.15	0.06	MAP2K3, GPX1, SOD1
25	Longevity regulating pathway - multiple species	1.83e-01	-1.15	0.06	HSPA8, PRKAB1, SOD1
26	Pancreatic cancer	1.94e-01	-1.01	0.06	RB1, E2F1, E2F2
27	Ubiquitin mediated proteolysis	2.04e-01	-0.93	0.05	UBE2H, FZR1, UBE2O, UBE2L6, ANAPC5
28	Metabolic pathways	2.93e-01	-0.92	0.05	ALAS2, CMAS, FECH, PON2, PIGQ, ODC1, COX17, ATP5C1, DLST, ATP5H, PPOX, COMT, TRAK2, ALAD, UGCG, UROD, ST3GAL5, ACSS1, NDUFV1, FAHD1, ATP6AP1, GCH1, ACSL1, SPHK1, UROS, ASNS, COX6C, NDUFS7, ALDH1A1, PGP, GCLM
29	Melanoma	2.23e-01	-0.84	0.05	RB1, E2F1, E2F2
30	Chronic myeloid leukemia	2.35e-01	-0.82	0.05	RB1, E2F1, E2F2
31	Adipocytokine signaling pathway	2.17e-01	-0.75	0.04	ACSL1, ADIPOR1, PRKAB1
32	Phagosome	2.73e-01	-0.7	0.04	TUBA1B, ATP6AP1, TFRC, SEC61G, MPO
33	p53 signaling pathway	2.12e-01	-0.7	0.04	CCNB1, CD82, GADD45A
34	RNA degradation	2.58e-01	-0.68	0.04	PABPC4, PABPC1, LSM4
35	Antigen processing and presentation	2.58e-01	-0.55	0.03	HSPA8, PSME3, CTSB
36	Lysosome	3.07e-01	-0.54	0.03	ATP6AP1, AP1B1, CTSE, CTSB
37	Mismatch repair	1.04e-01	-0.37	0.02	RPA3, RPA1
38	Influenza A	3.65e-01	-0.42	0.02	MAP2K3, HSPA8, DNAJB1, RSAD2, EIF2AK1
39	FoxO signaling pathway	3.57e-01	-0.38	0.02	USP7, CCNB1, GADD45A, PRKAB1
40	Small cell lung cancer	3.13e-01	-0.3	0.02	RB1, E2F1, E2F2
41	GABAergic synapse	3.25e-01	-0.26	0.01	SLC38A2, SLC38A5, TRAK2
42	Homologous recombination	1.49e-01	-0.23	0.01	RPA3, RPA1
43	Prion diseases	1.96e-01	-0.18	0.01	PRNP, SOD1
44	Tyrosine metabolism	1.96e-01	-0.17	0.01	FAHD1, COMT
45	Longevity regulating pathway - mammal	3.61e-01	-0.21	0.01	ADIPOR1, PRKAB1, ATF4
46	Transcriptional misregulation in cancer	3.87e-01	-0.29	0.01	H3F3B, LDB1, LMO2, MPO, HIST1H3E
47	Progesterone-mediated oocyte maturation	3.85e-01	-0.23	0.0	FZR1, CCNB1, ANAPC5
48	Carbon metabolism	4.73e-01	0.15	-0.0	PGP, DLST, ACSS1
