	Term	p-value	z-score	CS	Related Genes
1	G1 To S Cell Cycle Control (Homo Sapiens)	2.63e-08	-1.96	24.01	RB1, MCM7, GADD45A, RPA1, CCNB1, TFDP2, RPA3, E2F1, E2F2, MCM4, MCM5, MCM6, MCM2
2	G1 To S Cell Cycle Control (Mus Musculus)	6.92e-08	-1.94	23.15	RB1, MCM7, TFDP2, GADD45A, RPA3, E2F1, RPA1, E2F2, MCM4, MCM5, MCM6, MCM2
3	Cytoplasmic Ribosomal Proteins (Homo Sapiens)	7.71e-07	-1.83	19.1	RPL41, RPL3, RPS8, RPL23, RPL36A, RPS3A, RPS26, RPL7A, RPS16, RPS29, RPL24, RPLP2, RPS2, UBA52, RPS24
4	Dna Replication (Homo Sapiens)	1.65e-06	-1.73	17.12	CDT1, MCM7, RPA3, RPA1, MCM4, MCM5, MCM6, UBA52, MCM2
5	Dna Replication (Mus Musculus)	1.37e-05	-1.75	14.1	CDT1, MCM7, RPA3, RPA1, MCM4, MCM5, MCM6, MCM2
6	Rb In Cancer (Homo Sapiens)	1.39e-05	-1.71	13.79	RB1, CDT1, CCNB1, MCM7, TFDP2, RPA3, E2F1, RPA1, E2F2, MCM4, MCM6
7	Cytoplasmic Ribosomal Proteins (Mus Musculus)	2.06e-05	-1.66	12.94	RPS26, RPL7A, RPL3, RPS16, RPS29, RPS8, RPL24, RPLP2, RPS2, RPS24
8	Heme Biosynthesis (Homo Sapiens)	5.84e-07	-1.14	12.03	ALAD, ALAS2, FECH, UROD, UROS, PPOX
9	Heme Biosynthesis (Mus Musculus)	5.84e-07	-1.12	11.82	ALAD, ALAS2, FECH, UROD, UROS, PPOX
10	Translation Factors (Mus Musculus)	1.94e-04	-1.58	8.9	EEF1B2, EEF1G, EIF5, EEF1D, EIF2AK1, EIF3I, PABPC1
11	Proteasome Degradation (Mus Musculus)	2.10e-04	-1.57	8.87	PSMD8, PSMD4, HIST1H2AH, PSME3, H2AFX, HIST1H2AD, PSMD1, HIST1H2AG
12	Cell Cycle (Homo Sapiens)	2.81e-04	-1.63	8.86	RB1, CCNB1, MCM7, GADD45A, E2F1, E2F2, MCM4, MCM5, MCM6, MCM2
