	Term	p-value	z-score	CS	Related Genes
1	CHD1_CH12.LX_mm9	3.10e-21	-1.73	69.93	RPLP1, GIMAP1, ATP5G3, RPL10A, PIK3CG, HIST2H2AC, UBE2L3, RPS4X, FTL1, TUBB5, ALDH2, RPL36AL, TMSB4X, ARHGDIB, SUMO2, RNPEP, NPTN, VPS35, ACADM, RPS11, CHCHD1, B2M, RPS9, HIST1H2AN, TPI1, HIST1H2AI, GPX4, H2AFZ, DUSP1, HIST1H2AH, HIST1H2AK, SSR3, RNASE6, RPL13A, FOS, ATP5J2, EEF1G, DOK3, ERP29, IRF5, LY6A, GAPDH, PPIA, ANAPC13, GRN, CBFB, GLO1, GSTP1, POMP, CDCA7, MGST2, PLD4, PRCP, CORO1A, PSMA7, UQCRH, CLN5, CD79B, PRDX4, EIF4H, S100A11, POLR2L, TXNDC5, SEPT11, H2-AA, HNRNPAB, PSMB8, PSMB9, RPS26, MARCKS, GNB2, POU2AF1, RPL27A, 2310009A05RIK, OCIAD1, ITM2B, H2-AB1
2	EP300_GM12878_hg19	1.68e-19	-1.6	59.73	MTCH1, ARL6IP1, RPL31, IFI30, RPL10A, UBE2L3, RPS14, ZFP36, LGALS1, LAMP1, RASSF5, MYEOV2, RPS11, CHCHD1, RPS9, HIST1H2AI, RPS8, HIST1H2AH, IMP3, HIST1H2AK, SSU72, NSMCE1, RNASE6, CYBA, UTP11L, PGD, ATP5J2, RBX1, COX6B1, PLA2G15, EEF1A1, DOK3, BOLA2, S100A6, ERP29, UQCRC2, ADNP, RPL29, AURKAIP1, EIF1B, PPIA, ANAPC13, VCP, GLO1, CDCA7, MRPL12, UQCRH, PLAC8, PSAP, NDUFV2, NADK, S100A11, MCL1, NFE2, SIVA1, RAB27A, ARPC5, HIGD2A, CYBASC3, RPS26, RPS25, GNB2, SFXN1, TNFAIP8, ALAS1, HIBADH, YWHAB, DBI, ARRB2, ETFB, MRPL33, HIST2H2AC, RPS4X, FCRLA, UBL5, HINT1, SH3BGRL3, CAMP, CTSB, SEC13, MRPS24, GPX4, ANXA2, SSR3, FOS, NUDT16L1, DYNLL1, NME1, APRT, EEF1G, DNAJC7, SLC25A5, GAPDH, TRUB2, NDUFB8, POMP, PRCP, COX5A, PSMB10, PSMA7, FGD2, CLN5, RPS3, CCL3, TMEM208, POLR2J, SEC11C, POLR2L, NDUFA9, TIMM8B, NDUFA7, SEPT11, NDUFA2, HNRNPAB, ATOX1, MARCKS, SPCS1, OSTM1, EIF3I, CDK2AP2, CLEC2D
3	POLR2AphosphoS5_MEL cell line_mm9	1.50e-18	-1.63	57.73	IFITM2, ARL6IP1, RPL31, RPLP1, ATP5C1, DBI, ETFB, PYGL, ATP5G3, ATP5G2, RPS14, ZFP36, HINT1, KRTCAP2, LGALS1, RPL36AL, SUMO2, 2310036O22RIK, VPS35, SH3BGRL3, RPS11, B2M, RPS12, TMEM14C, RPS9, HIST1H2AN, TPI1, GPX4, SSR4, HIST1H2AH, RPS8, H2AFZ, IMP3, HIST1H2AK, RPS5, SSR3, 2700094K13RIK, SSU72, RPL13A, TALDO1, FOS, DYNLL1, DUSP6, ERP29, PGP, ERH, SLC25A5, GAPDH, PPIA, VCP, GLO1, GSTP1, NEDD8, PRCP, GLRX, MRPL12, COX5A, CENPA, UQCRH, GSPT1, GABARAP, ATP5L, HSP90B1, PRDX5, PRDX4, PSAP, EIF4H, TMEM208, RPS2, NADK, MCL1, TIMM8B, NDUFA7, RPL41, SEPT11, 1500032L24RIK, NDUFA2, RAB27A, HNRNPAB, ATOX1, EIF3I, ALOX5AP, OCIAD1, DEGS1, ITM2B
4	RELA_GM12891_hg19	1.13e-17	-1.68	56.6	IFITM1, TNFRSF13B, WDR1, RPL31, RPLP1, NCF4, DBI, IFI30, RPL10A, PIGX, RPS4X, UBL5, RPS14, ZFP36, TMSB4X, SUMO2, ACADM, B2M, RPS12, RPS9, GPX4, NUP210, IMP3, RPS8, RPS5, HIST1H2AK, NSMCE1, RPL13A, TALDO1, UBE2E2, CYBA, MMP9, MPEG1, RBX1, APRT, EEF1A1, EEF1G, DNAJC7, VDAC1, UQCRC2, ADNP, RPL29, PPIA, MRPS33, GSTP1, NUP160, FGD2, HSP90B1, PRDX5, EIF4H, RPS3, POLR2G, RPS2, SERF2, POLR2L, MCL1, TIMM8B, NDUFA7, SEPT11, PSMB8, PPP1CA, HIGD2A, CYBASC3, RPS26, RPS25, MARCKS, LRG1, POU2AF1, RPL27A, OCIAD1, DEGS1
5	RELA_GM10847_hg19	1.89e-15	-1.69	48.72	MTCH1, IFITM1, ALAS1, TNFRSF13B, RPL31, NCF4, DBI, ETFB, RPL10A, MRPL33, PIGX, HIST2H2AC, RPS4X, FCRLA, EEF1B2, ZFP36, KRTCAP2, RPL36AL, PIP4K2A, HIST1H2AD, ACADM, RPS11, B2M, TMEM14C, RPS9, RPS8, HIST1H2AH, HIST1H2AK, H2AFV, RPL13A, CYBA, ATP5J2, APRT, SAP30, RBX1, EEF1G, EEF1A1, IRF5, UQCRC2, RPL29, GAPDH, PPIA, TRUB2, ANAPC13, NDUFB8, MRPS33, GLRX, COX5A, UQCRH, CLN5, ATP5L, PSAP, CCL3, EIF4H, TMEM208, RPS2, MCL1, SEC11C, NDUFA7, HNRNPAB, PSMB8, CYBASC3, RPS25, LRG1, POU2AF1, RPL27A, DEGS1
6	KAT2A_HeLa-S3_hg19	5.34e-15	-1.72	48.03	ANAPC13, ARL6IP1, WDR1, RPL31, GLO1, RPL10A, MRPL12, COX5A, ATP5L, HIST2H2AC, HSP90B1, RPS4X, RPS14, PRDX5, ZFP36, HINT1, PRDX4, LAMP1, TMSB4X, RPS3, HIST1H2AD, RPS2, OSTF1, S100A11, RPS12, MCL1, RPL41, SIVA1, ANXA2, HIST1H2AI, RPS8, H2AFZ, HIST1H2AH, DUSP1, H2AFV, FOS, HNRNPAB, APRT, EEF1G, EEF1A1, RPL27A, S100A6, ERH, PTPN6, RPL29, EIF1B, GAPDH, PPIA
7	POLR2AphosphoS5_G1E-ER4_mm9	2.05e-14	-1.66	44.77	IFITM2, ARL6IP1, RPLP1, SLC40A1, DBI, ETFB, RPL10A, HIST2H2AC, ZFP36, FTL1, 2310036O22RIK, MYEOV2, HIST1H2AD, FFAR2, VPS35, HIST1H2AF, RPS11, B2M, RPS12, TMEM14C, RPS9, HIST1H2AO, TPI1, HIST1H2AN, GPX1, GPX4, HIST1H2AI, H2AFZ, DUSP1, HIST1H2AH, RPS5, HIST1H2AK, SSU72, TALDO1, RPL13A, DYNLL1, NME1, SAP30, EEF1A1, VDAC1, ERH, PPIA, GAPDH, GLO1, A930005H10RIK, PRCP, MRPL12, GABARAP, UQCRH, NUP160, CLN5, PRDX5, RPS3, TMEM208, RPS2, MCL1, NDUFA7, RPL41, 1500032L24RIK, NDUFA2, HNRNPAB, PPP1CA, ALOX5AP, PTPN6
8	POLR2A_testis_mm9	2.19e-14	-1.63	43.87	SLC46A3, HIBADH, RPL31, MRPL36, ATP5G3, ETFB, IFI30, UBE2L3, MRPL33, UBL5, KRTCAP2, HINT1, ZFP36, RASSF5, SUMO2, PGLYRP1, CD52, SEC13, RPS9, FCER1G, HIST1H2AI, HIST1H2AH, RPS8, H2AFZ, HIST1H2AK, NSMCE1, RPL13A, UTP11L, FOS, COX7A2L, 2010107E04RIK, SLC25A5, GAPDH, TRUB2, NDUFB8, GSTP1, A930005H10RIK, NEDD8, MRPL12, PSMA7, NUP160, ATP5B, PSMB1, EIF4H, POLR2G, POLR2L, NDUFA9, MCTS1, 1500032L24RIK, NDUFA3, SHFM1, 3110001D03RIK, ATOX1, PSMB9, MARCKS, TSPAN14, 1810022K09RIK, GNB2, EIF3I, 2310009A05RIK, CDK2AP2, RNF181, TGFBI, CLEC2D, ITM2B
9	POLR2A_ES-Bruce4_mm9	6.49e-15	-1.55	43.28	IFITM2, ALAS1, HIBADH, RPLP1, ATP5G3, ETFB, IFI30, UBE2L3, HIST2H2AC, ZFP36, FTL1, HINT1, LGALS1, HIST1H2AD, MYEOV2, SH3BGRL3, HIST1H2AF, CHCHD1, B2M, SEC13, MRPS24, H2AFZ, DUSP1, IMP3, RPS5, SSR3, RPL13A, FOS, NUDT16L1, COX6B1, APRT, EEF1A1, 2010107E04RIK, SLC25A5, GAPDH, COPB2, TRUB2, NDUFB8, VCP, GSTP1, MRPL12, CENPA, PSMA7, HSP90B1, CST3, ATP5B, EIF4H, TMEM208, POLR2G, S100A11, POLR2L, MCTS1, TIMM8B, SEPT11, SIVA1, SHFM1, ATOX1, PPP1CA, RPS26, TSPAN14, GNB2, RPL27A, OCIAD1, RNF181, CNIH4, ITM2B
10	KAT2A_GM12878_hg19	2.60e-14	-1.61	43.28	MTCH1, ARL6IP1, RPL31, RPLP1, ATP5G3, RPL10A, HIST2H2AC, UBE2L3, RPS4X, UBL5, RPS14, ZFP36, LGALS1, RPL36AL, TMSB4X, ARHGDIB, NPTN, HIST1H2AD, B2M, RPS12, RPS9, HIST1H2AI, H2AFY, RPS8, H2AFZ, HIST1H2AH, IMP3, RPS5, HIST1H2AK, H2AFV, RPL13A, NUDT16L1, SAP30, RBX1, EEF1A1, EEF1G, ERH, SLC25A5, RPL29, GAPDH, VCP, GLO1, POMP, CENPA, UQCRH, HSP90B1, ATP5L, CD79B, RPS3, RPS2, MCL1, MCTS1, NDUFA7, RPL41, ARPC5, HNRNPAB, PSMB8, HIGD2A, RPS26, MARCKS, RPL27A, PTPN6
