	Term	p-value	z-score	CS	Related Genes
1	TAL1_erythroblast_mm9	2.61e-61	-1.84	245.28	OTUD5, ISCA1, CMAS, ARL6IP1, TFRC, HBB-B2, ATP5C1, UBE2L6, SLC4A1, ICAM4, APEH, COMT, RABGEF1, SAMD14, UROD, TMEM14C, TMOD1, IFRD2, LMO2, DNTTIP1, GTPBP2, PRKAB1, KEL, PSME3, BOLA3, IGTP, TRIM10, ABCG4, UBA52, GYPA, GYPC, FECH, ABCB4, DEDD2, PRDX2, TSPAN8, ST3GAL5, PSMF1, SLC38A5, CDR2, FN3K, CDT1, SIVA1, GADD45A, EIF2AK1, BSDC1, ISG20, RPS26, DARC, 1700037H04RIK, D17WSU92E, SLC6A9, PQLC1, UBE2O, TMCC2, SERINC3, GCLM, GSTM5, AHCTF1, FEN1, ALAS2, PIGQ, HEBP1, 2510003D18RIK, SEC61G, TLK1, 1300017J02RIK, CTSE, LBR, ERMAP, CTSB, GPX1, GLRX5, SPHK1, JOSD2, JOSD1, D030056L22RIK, TAL1, BLVRB, HAGH, ARF5, HEMGN, PPOX, DNAJB2, E2F1, ACSS1, SNCA, FAHD1, SMOX, TXNRD2, GINS4, KLF1, TPCN1, SLC25A38, SH3YL1, CSDA, EIF3I, RHAG
2	GATA1_erythroblast_mm9	5.54e-62	-1.72	230.41	OTUD5, ISCA1, CMAS, TFRC, ARL6IP1, HBB-B2, ATP5C1, SLC4A1, ICAM4, UBE2L6, APEH, COMT, RABGEF1, TUBB5, PSMD4, UROD, RNF19A, HIST1H2AD, KNTC1, HIST1H2AG, TMEM14C, TMOD1, HIST1H2AI, HIST1H2AH, IFRD2, DAPK2, APLP2, LMO2, GTPBP2, PRKAB1, MRPS18C, KEL, PSME3, IGTP, TXNIP, TRIM10, ABCG4, ATF4, GYPA, GGNBP2, FECH, GYPC, ABCB4, ATP5H, SAMSN1, PRDX2, ARHGAP21, TSPAN8, NUP85, ST3GAL5, PSMF1, SLC38A5, CDR2, HIST1H3E, FN3K, KLHDC2, CDT1, SLMO2, SIVA1, GADD45A, EIF2AK1, UROS, STARD10, BSDC1, LSM4, RPS26, ISG20, D17WSU92E, DARC, 1700037H04RIK, SLC6A9, PQLC1, RPS29, RANBP10, UBE2O, TMCC2, SERINC3, GCLM, AHCTF1, FEN1, ALAS2, MCM7, PIGQ, MRPS12, HBA-A1, ALAD, HEBP1, 2510003D18RIK, NPTN, TLK1, 1300017J02RIK, CTSE, LBR, ERMAP, TAPT1, CTSB, RAB8B, GPX1, SPHK1, GLRX5, ATPIF1, H2AFX, NIPA1, JOSD2, JOSD1, EEF1D, BLVRB, PABPC1, HAGH, ARF5, HEMGN, SLC43A1, PPOX, NT5C3, DNAJB2, BTAF1, E2F1, ACSS1, SNCA, RBM38, FAHD1, TXNRD2, GINS4, DEK, KLF1, TPCN1, SLC25A38, SH3YL1, GFI1B, CSDA, PHF5A, EIF3I, LPCAT3, GRINA
3	TAL1_G1E-ER4_mm9	5.11e-54	-1.85	217.63	OTUD5, FEN1, AHCTF1, ISCA1, ALAS2, CMAS, ARL6IP1, PIGQ, HBB-B2, 1810064F22RIK, ATP5C1, SLC4A1, ICAM4, UBE2L6, APEH, COMT, RABGEF1, 2510003D18RIK, SAMD14, UROD, TLK1, 1300017J02RIK, CTSE, ERMAP, LBR, TMEM14C, CTSB, TMOD1, GPX1, IFRD2, GLRX5, SPHK1, LMO2, JOSD2, GTPBP2, JOSD1, PRKAB1, D030056L22RIK, KEL, PSME3, BOLA3, IGTP, BLVRB, HAGH, TRIM10, ABCG4, UBA52, ARF5, HEMGN, GYPA, FECH, GYPC, WBP2, PPOX, CLCN3, NT5C3, DNAJB2, PRDX2, ST3GAL5, PSMF1, ACSS1, SLC38A5, CDR2, SNCA, HIST1H3E, FN3K, RPL41, FAHD1, GADD45A, TXNRD2, EIF2AK1, GINS4, IRGM1, KLF1, DARC, 1700037H04RIK, D17WSU92E, GFI1B, CSDA, SLC6A9, RPS29, EIF3I, ANP32E, UBE2O, RHAG, TMCC2, GCLM, SERINC3
4	TAL1_MEL cell line_mm9	3.67e-57	-1.69	210.83	OTUD5, ISCA1, CMAS, ARL6IP1, TFRC, CD82, HBB-B2, 1810064F22RIK, UBE2L6, ICAM4, SLC4A1, APEH, COMT, AQP1, RABGEF1, SAMD14, PSMD4, UROD, FTH1, RNF19A, NUSAP1, TMEM14C, TMOD1, PAQR9, USP7, ACSL1, IFRD2, APLP2, LMO2, ARRDC3, GTPBP2, PRKAB1, HIST2H3B, KEL, PSME3, BOLA3, IGTP, TXNIP, TRIM10, ABCG4, UBA52, GYPA, FECH, GYPC, ABCB4, MGST3, SAMSN1, DEDD2, UGCG, PRDX2, ARHGAP21, TSPAN8, BAG1, ST3GAL5, PSMF1, SLC38A5, CDR2, HIST1H3E, RPL41, SLMO2, SIVA1, PHF10, GADD45A, EIF2AK1, STARD10, BSDC1, IRGM1, MT1, ISG20, RPS26, DARC, 1700037H04RIK, D17WSU92E, SLC6A9, PQLC1, ANP32E, UBE2O, SERINC1, SERINC3, GCLM, GSTM5, AHCTF1, FEN1, ALAS2, PIGQ, CETN3, HIST2H2AB, 2510003D18RIK, FTL1, TLK1, 1300017J02RIK, CTSE, LBR, ERMAP, RAB8B, CTSB, GPX1, GLRX5, SPHK1, ATPIF1, JOSD1, D030056L22RIK, PACS2, BLVRB, HAGH, ARF5, HEMGN, WBP2, SLC43A1, RPL36A, DLST, PPOX, CLCN3, NT5C3, CENPA, DNAJB2, SRR, BTAF1, LMNA, E2F1, ACSS1, SNCA, RBM38, CAR1, FAHD1, TXNRD2, GINS4, COX6C, KLF1, TPCN1, SLC25A38, SH3YL1, GFI1B, CSDA, PHF5A, EIF3I, RHAG
5	GATA1_G1E-ER4_mm9	7.14e-59	-1.57	202.01	OTUD5, ISCA1, CMAS, RPL3, ARL6IP1, TFRC, HBB-B2, ATP5C1, UBE2L6, ICAM4, SLC4A1, APEH, COMT, MKI67, NUDT4, EEF1B2, PSMD8, RABGEF1, FAM134A, SAMD14, RPS16, TUBB5, PSMD4, UROD, HIST1H2AD, KNTC1, HIST1H2AG, TMEM14C, TMOD1, USP7, HIST1H2AI, HIST1H2AH, ACSL1, IFRD2, APLP2, LMO2, GTPBP2, PRKAB1, MRPS18C, HIST2H3B, KEL, PSME3, BOLA3, HAT1, IGTP, TXNIP, TRIM10, ABCG4, GYPA, TBCEL, GGNBP2, FECH, CCDC23, GYPC, MRPL14, ATP5H, SAMSN1, DEDD2, PRDX2, ARHGAP21, UGCG, UBB, NUP85, BAG1, ST3GAL5, PSMF1, SLC38A5, CDR2, HIST1H3E, FN3K, CDT1, NFE2, RPL41, SLMO2, SIVA1, PHF10, GADD45A, UROS, EIF2AK1, IRGM1, MT1, PPBP, LSM4, RPS26, 1700037H04RIK, DARC, D17WSU92E, EIF5, SLC6A9, RPS29, ANP32E, RANBP10, UBE2O, TMCC2, SERINC3, GCLM, AARS, AHCTF1, FEN1, CLIC4, DYRK3, MCM7, PIGQ, MRPS12, CETN3, HIST2H2AB, HBA-A1, HEBP1, 2510003D18RIK, RPL7A, FTL1, SEC61G, TLK1, 1300017J02RIK, CTSE, ERMAP, LBR, RAB8B, CTSB, GPX1, KLF13, SPHK1, GLRX5, ATPIF1, NIPA1, JOSD2, JOSD1, DYNLL1, D030056L22RIK, TAX1BP1, BLVRB, MCM5, CD47, PABPC1, HAGH, MNS1, ARF5, HEMGN, WBP2, DLST, PPOX, CLCN3, NT5C3, TRAK2, DNAJB2, FAM132A, DNAJB1, BTAF1, LMNA, E2F1, RPS2, ACSS1, SNCA, RBM38, CAR2, CAR1, FAHD1, TXNRD2, RIOK3, SEMA4B, GINS4, PDAP1, DEK, HNRNPAB, KLF1, SOD1, GM1821, SLC25A38, GFI1B, CSDA, PHF5A, PRC1, LPCAT3, HDGF, RHAG, SSBP3
6	TAL1_G1E_mm9	2.76e-40	-1.84	158.85	OTUD5, ALAS2, FEN1, ISCA1, AHCTF1, CMAS, TFRC, ARL6IP1, PIGQ, HBB-B2, 1810064F22RIK, SLC4A1, ICAM4, UBE2L6, COMT, APEH, RABGEF1, 2510003D18RIK, SAMD14, UROD, TLK1, 1300017J02RIK, CTSE, ERMAP, LBR, TMEM14C, TMOD1, GPX1, IFRD2, GLRX5, APLP2, SPHK1, LMO2, PLRG1, GTPBP2, PRKAB1, KEL, PSME3, BOLA3, BLVRB, TRIM10, ABCG4, UBA52, ARF5, HEMGN, GYPA, GYPC, FECH, WBP2, PPOX, CLCN3, SAMSN1, DEDD2, DNAJB2, UGCG, PRDX2, BTAF1, E2F1, ACSS1, CDR2, SNCA, HIST1H3E, CDT1, CAR1, TXNRD2, GADD45A, EIF2AK1, UROS, BSDC1, MT1, KLF1, RPS26, SLC25A38, ISG20, GFI1B, CSDA, SLC6A9, EIF3I, RHAG, GCLM
7	POLR2AphosphoS5_G1E-ER4_mm9	7.00e-40	-1.67	142.27	ISCA1, RPL3, CMAS, ARL6IP1, TFRC, HBB-B2, ICAM4, SLC4A1, COMT, FAM134A, SAMD14, RPS16, PSMD4, FTH1, PSMD1, HIST1H2AD, KNTC1, HIST1H2AG, HIST1H2AF, HMGN2, TMEM14C, HIST1H2AN, HIST1H2AI, HIST1H2AH, RPL23, IFRD2, ARRDC3, PRKAB1, HIST2H3B, PSME3, TXNIP, TRIM10, UBA52, ATF4, GYPA, CDCA8, DEDD2, PRDX2, UBB, NUP85, HIST1H3E, HSPA8, RPL41, H3F3B, PHF10, GADD45A, UROS, EIF2AK1, IRGM1, MT1, EIF5, SLC6A9, RPS29, ANP32E, GCLM, AHCTF1, PIGQ, CETN3, MRPS12, HIST2H2AB, HBA-A1, HEBP1, RPL7A, TUBA1B, FTL1, SEC61G, RPLP2, BCAS2, HIST1H1C, KLF13, GPX1, GLRX5, ATPIF1, H2AFX, NIPA1, RPS3A, DYNLL1, D030056L22RIK, EEF1D, TAL1, MCM4, BLVRB, CD47, MCM6, HAGH, RPL36A, DLST, PPOX, TRAK2, DNAJB2, LMNA, RPS2, ACSS1, SNCA, CAR2, FAHD1, TXNRD2, HNRNPAB, SOD1, KLF1, SLC25A38, GFI1B, CSDA, PRC1, RPA3, HDGF, NCAPD3
8	EP300_MEL cell line_mm9	1.16e-33	-1.79	127.57	ISCA1, CMAS, ARL6IP1, HBB-B2, 1810064F22RIK, UBE2L6, ICAM4, SLC4A1, COMT, APEH, RABGEF1, SAMD14, TUBB5, UROD, FTH1, TMEM14C, TMOD1, IFRD2, LMO2, GTPBP2, PRKAB1, HCFC1, HIST2H3B, KEL, PSME3, TRIM10, ABCG4, UBA52, GYPA, TBCEL, GGNBP2, GYPC, FECH, ABCB4, SAMSN1, UGCG, PRDX2, TSPAN8, BAG1, PSMF1, SLC38A5, CDR2, FN3K, NFE2, GADD45A, EIF2AK1, STARD10, IRGM1, BSDC1, MT1, PPBP, ISG20, DARC, D17WSU92E, SLC6A9, UBE2O, TMCC2, GCLM, SERINC3, GSTM5, AHCTF1, DYRK3, PIGQ, 2510003D18RIK, FTL1, 1300017J02RIK, CTSE, LBR, ERMAP, KLF13, GPX1, GLRX5, SPHK1, JOSD1, D030056L22RIK, TAL1, BLVRB, CD47, MNS1, HEMGN, WBP2, SLC43A1, PPOX, CENPA, NT5C3, SRR, E2F1, E2F2, ACSS1, SNCA, CAR1, TXNRD2, COX6C, HNRNPAB, KLF1, SLC25A38, GFI1B, CSDA, RHAG, SSBP3
9	POLR2AphosphoS5_MEL cell line_mm9	4.69e-29	-1.6	97.35	OTUD5, ISCA1, RPL3, TFRC, ARL6IP1, HBB-B2, ATP5C1, COMT, AQP1, FAM134A, RPS16, PSMD4, RNF19A, FNTB, NUSAP1, TMEM14C, MAP2K3, HIST1H2AN, HIST1H2AH, RPS8, RPL23, IFRD2, APLP2, ARRDC3, PRKAB1, PSME3, CYB5, PGP, ANAPC5, UBA52, ATF4, GYPA, ABCB4, CDCA8, SAMSN1, DEDD2, CCNB1, NUP85, SLC38A2, NDUFV1, HIST1H3E, HSPA8, PRNP, RPL41, EIF2AK1, ASNS, ISG20, 1700037H04RIK, EIF5, SLC6A9, RPS29, ANP32E, RANBP10, SERINC1, SERINC3, GCLM, AARS, RNF10, AHCTF1, CETN3, HIST2H2AB, RPL7A, TUBA1B, RPLP2, CTSE, KLF13, ATP6AP1, ATPIF1, RPS3A, KIF22, DYNLL1, RANGAP1, D030056L22RIK, PACS2, TAX1BP1, MCM4, BIRC5, CD47, PABPC1, MCM6, HEMGN, WBP2, ODC1, RPL36A, RPS27L, CLCN3, CENPA, TRAK2, DNAJB2, SRR, BTAF1, LMNA, WBP5, RPS2, RBM38, CAR2, FAHD1, RPA1, HNRNPAB, KLF1, SOD1, GM1821, PRC1, EIF3I, RPA3, HDGF, RHAG, GRINA
10	ETS1_MEL cell line_mm9	1.13e-25	-1.71	91.11	CLIC4, ISCA1, CMAS, CD82, MCM7, PIGQ, HBB-B2, 1810064F22RIK, UBE2L6, SLC4A1, ICAM4, COMT, RABGEF1, FTL1, SAMD14, FTH1, TLK1, CTSE, TMEM14C, TMOD1, BNIP3L, GPX1, KLF13, RSAD2, IFRD2, GTPBP2, PRKAB1, KEL, CYB5, MORF4L2, IGTP, TXNIP, BLVRB, MNS1, TRIM10, ABCG4, UBA52, HEMGN, GYPA, GYPC, FECH, WBP2, ABCB4, MGST3, RPL36A, PPOX, CLCN3, SAMSN1, CENPA, DNAJB2, PRDX2, UGCG, SRR, UBB, E2F1, ST3GAL5, E2F2, PSMF1, ACSS1, SLC38A5, CDR2, FN3K, UBE2H, RPL41, GCH1, PHF10, GADD45A, TXNRD2, EIF2AK1, BSDC1, IRGM1, PPBP, HNRNPAB, KLF1, ISG20, SLC25A38, DARC, D17WSU92E, CSDA, SLC6A9, MAFG, UBE2O, RHAG, GCLM, SERINC3, SSBP3
