Rank	1-cos(α)	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.7042	INK-128	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K59317601	None	None	HT29	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_HT29_24H:BRD-K59317601:1.11
2	0.7061	gefitinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K64052750	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=123631	http://www.drugbank.ca/drugs/DB00317	HCC515	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HCC515_24H:BRD-K64052750:1.11
3	0.7155	vandetanib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K77625799	None	None	A375	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_A375_24H:BRD-K77625799:3.33
4	0.7337	BRD-K49010888	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49010888	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44507260	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_HEPG2_6H:BRD-K49010888:10.0
5	0.7340	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	SW620	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW620_6H:BRD-A52650764:10.0
6	0.7359	BRD-K05549170	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05549170	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1167614	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_A549_6H:BRD-K05549170:10.0
7	0.7372	BRD-K77908580	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K77908580	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4261	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_HEPG2_6H:BRD-K77908580:10.0
8	0.7408	F9428	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K14791739	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707412	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_A549_24H:BRD-K14791739:10.0
9	0.7420	HY-50295	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05104363	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918454	None	NPC	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_NPC_24H:BRD-K05104363:10.0
10	0.7429	S1299	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K47832606	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5790	http://www.drugbank.ca/drugs/DB00322	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_A549_24H:BRD-K47832606:10.0
