Rank	1-cos(α)	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.7112	NCGC00182615-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K47324077	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44142155	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_A375_6H:BRD-K47324077:10.0
2	0.7150	TRIMEPRAZINE TARTRATE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A49225603	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5702128	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC005_A549_24H:BRD-A49225603:10.0
3	0.7296	BRD-A93206962	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A93206962	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=19385000	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_MCF7_24H:BRD-A93206962:10.0
4	0.7312	NCGC00242553-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K35413818	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=60138128	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_A375_6H:BRD-K35413818:10.0
5	0.7318	VU0415556-1	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A89104433	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45489448	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_A375_6H:BRD-A89104433:10.0
6	0.7336	TGX-221	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A41692738	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9907093	None	HS578T	0.12um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HS578T_24H:BRD-A41692738:0.12
7	0.7349	13224	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K22631935	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16112820	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_A375_6H:BRD-K22631935:10.0
8	0.7403	BRD-A39969961	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A39969961	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21865526	None	NPC	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_NPC_24H:BRD-A39969961:10.0
9	0.7412	BRD-K35133769	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K35133769	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44460112	None	HCC515	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC009_HCC515_6H:BRD-K35133769:10.0
10	0.7415	UNC0638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K86856088	None	None	MCF7	0.12um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP008_MCF7_24H:BRD-K86856088:0.12
11	0.7436	AT-7519	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K13390322	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11338033	None	MCF7	0.37um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF7_3H:BRD-K13390322:0.37
12	0.7452	PF-562271	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99545815	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11713159	None	HS578T	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_3H:BRD-K99545815:10
13	0.7458	dovitinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K85402309	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9886808	None	HS578T	0.12um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HS578T_24H:BRD-K85402309:0.12
14	0.7461	dasatinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49328571	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3062316	http://www.drugbank.ca/drugs/DB01254	MCF10A	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_24H:BRD-K49328571:0.37
15	0.7469	AZD2281 (KU59436)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K02113016	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=23725625	None	HCC515	44.4um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HCC515_6H:BRD-K02113016:44.4
16	0.7475	vandetanib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K77625799	None	None	A375	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_A375_24H:BRD-K77625799:3.33
17	0.7480	BRD-K52989797	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K52989797	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=68539	None	HT29	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC018_HT29_6H:BRD-K52989797:10.0
18	0.7508	BRD-A55416093	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A55416093	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5702265	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_MCF7_24H:BRD-A55416093:10.0
19	0.7513	YM 298198, Desmethyl-	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K48059230	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11716890	None	A375	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC005_A375_24H:BRD-K48059230:10.0
20	0.7529	SB 216641 hydrochloride	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K30867024	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3292447	None	HA1E	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HA1E_24H:BRD-K30867024:10.0
