Rank	1-cos(α)	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	1.2628	RAF 265	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K93123848	None	None	A549	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_A549_24H:BRD-K93123848:0.04
2	1.2564	PRIMA-1 MET	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49456190	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707386	None	HT115	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HT115_6H:BRD-K49456190:10.0
3	1.2540	lapatinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K19687926	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=208908	http://www.drugbank.ca/drugs/DB01259	HME1	0.04um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K19687926:0.04
4	1.2522	gefitinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K64052750	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=123631	http://www.drugbank.ca/drugs/DB00317	HME1	0.12um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K64052750:0.12
5	1.2503	gefitinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K64052750	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=123631	http://www.drugbank.ca/drugs/DB00317	HME1	1.11um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K64052750:1.11
6	1.2465	CC-401	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K45746021	None	None	PC3	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_PC3_24H:BRD-K45746021:3.33
7	1.2458	radicicol	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A39996500	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311380	None	SKBR3	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_SKBR3_24H:BRD-A39996500:1.11
8	1.2376	Lonidamine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K78513633	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=39562	None	HT29	177.6um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HT29_24H:BRD-K78513633:177.6
9	1.2329	483-63-6	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K57179821	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=688020	http://www.drugbank.ca/drugs/DB00265	VCAP	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC011_VCAP_24H:BRD-K57179821:10.0
10	1.2327	CAY10594	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K61662457	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=56588033	None	SNUC4	20.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SNUC4_6H:BRD-K61662457:20.0
