	marrow_up	spleen_up	marrow_dn	spleen_dn
Mp0000313 Abnormal Cell Death 	1.903089987	2.517126416	6.801342913	2.375717904
Mp0000350 Abnormal Cell Proliferation 	0	0	6.522878745	3.076755981
Mp0000689 Abnormal Spleen Morphology 	8.208309351	5.203425667	4.195860568	10.3439018
Mp0000703 Abnormal Thymus Morphology 	3.690369833	1.853871964	2.053547735	7.140261434
Mp0000716 Abnormal Immune System 	27.40560745	14.3205721	1.542118103	22.64016452
Mp0000858 Altered Metastatic Potential 	3.42945706	3.651695137	1.88941029	2.761953897
Mp0001533 Abnormal Skeleton Physiology 	5.838631998	4.725842151	0	1.696803943
Mp0001800 Abnormal Humoral Immune 	12.4225082	6.528708289	0	10.78515615
Mp0001819 Abnormal Immune Cell 	33.84163751	20.537602	0	27.67778071
Mp0001835 Abnormal Antigen Presentation 	5.490797478	4.928117993	0	2.294136288
Mp0001845 Abnormal Inflammatory Respons 	12.18909572	9.567030709	1.30980392	5.525783736
Mp0001853 Heart Inflammation 	4.283996656	3.096367484	0	4.364516253
Mp0002019 Abnormal Tumor Incidence 	3.250263684	2.339134522	3.679853714	5.172630727
Mp0002080 Prenatal Lethality 	1.66756154	0	12.2636035	9.273272791
Mp0002083 Premature Death 	2.863279433	1.349692477	4.866461092	3.777283529
Mp0002086 Abnormal Extraembryonic Tissue	0	0	4.364516253	5.14327111
Mp0002148 Abnormal Hypersensitivity Reaction	7.790484985	4.707743929	0	6.329754147
Mp0002398 Abnormal Bone Marrow 	19.5421181	5.844663963	9.399027104	21.86327943
Mp0002405 Respiratory System Inflammation	8.208309351	4.772113295	0	2.22184875
Mp0002419 Abnormal Innate Immunity 	25.51570016	22.08407279	0	5.107905397
Mp0002420 Abnormal Adaptive Immunity 	33.98296666	19.80134291	0	28.60380065
Mp0002429 Abnormal Blood Cell 	27.69464863	13.20411998	11.07779372	24.70333481
Mp0002452 Abnormal Antigen Presenting 	23.96657624	15.98716278	0	17.14448084
Mp0002722 Abnormal Immune System 	11.40893539	5.480172006	5.408935393	13.18976748
Mp0002723 Abnormal Immune Serum 	25.71669877	10.53910216	0	22.70333481
Mp0002998 Abnormal Bone Remodeling 	5.299296283	3.085128182	0	1.612610174
Mp0003077 Abnormal Cell Cycle 	0	0	6.310691141	2.40560745
Mp0003111 Abnormal Nucleus Morphology 	0	0	9.115204636	0
Mp0003436 Decreased Susceptibility to Induced Arthritis	4.886056648	5.189095719	0	1.752026734
Mp0003656 Abnormal Erythrocyte Physiology	0	0	11.59687948	0
Mp0005000 Abnormal Immune Tolerance 	9.742321425	8.137868621	0	6.910094889
Mp0005025 Abnormal Response to Infection	18.79317412	13.48412616	1.568636236	5.995678626
Mp0005621 Abnormal Cell Physiology 	1.37675071	0	1.974694135	6.194499142
Mp0005636 Abnormal Mineral Homeostasis 	0	1.617982957	5.962573502	2.20481541
Mp0008469 Abnormal Protein Level 	6.954677021	3.13430394	3.735182177	2.562249437
Mp0009763 Increased Sensitivity to Induced Morbidity	6.754487332	6.03574037	4.314258261	5.714442691
Mp0009785 Altered Susceptibility to Infection Induced Morbidity	8.020907099	4.151195299	0	2.42365865
Mp0009931 Abnormal Skin Appearance 	1.747146969	0	3.540607512	4.982966661
