	exp	t-stat	p-value
0610005C13RIK	2.1271119179	-2.70449361513	0.0542669534377
0610007N19RIK	-1.74472180353	6.41079544547	0.018362098195
0610035N01RIK	-1.35561122114	2.79011644944	0.0546207690429
0610040B10RIK	-1.16429528795	2.40056018989	0.0872949036244
1110001D15RIK	-1.82102985895	2.2496105582	0.0970471247029
1110002L01RIK	2.4780472968	-3.02371578407	0.0455799423627
1110005F07RIK	4.98529587005	-19.175718736	0.00264623532618
1110007C09RIK	1.05943291352	-2.48444703389	0.0694801591461
1110017D15RIK	-2.20959939478	2.9464579328	0.0543300432658
1110021J02RIK	1.27047821824	-4.02616811947	0.0405855170193
1110029L17RIK	-1.08560075451	2.44998018491	0.0878979156898
1110033C18RIK	-1.00560996834	2.40571874921	0.0742244043963
1110033L15RIK	2.14684138833	-3.73302610103	0.0431784785159
1110033O09RIK	-3.60880924268	3.2403703492	0.0768361856758
1190012C08RIK	-1.53434184389	4.85663756054	0.0159222291676
1190028F09	2.03634184706	-7.73444381704	0.0123628761194
1200003I07RIK	-2.19319054843	3.7890906288	0.0553975410359
1200013F24RIK	-1.89129374056	2.75151148474	0.0785259418521
1300013B24RIK	-1.72568376208	3.15338565031	0.0575108194298
1500005N04RIK	-1.22059444623	4.96019571624	0.0343303211356
1500041B16RIK	-2.13646224255	2.59360598577	0.0831202118927
1500041J02RIK	-1.90919900536	4.15229809556	0.0508210723772
1520402A15RIK	2.14477152421	-2.60456385224	0.0774936513503
1520402A20RIK	-1.32106308334	3.8674696864	0.0399623247214
1600010O03RIK	-4.71881824746	6.2471615176	0.0246786955552
1600029I14RIK	2.99452486993	-2.94774909114	0.0693171211833
1700014D04RIK	-3.2394659347	3.6793341789	0.0465167350035
1700018L24RIK	-5.96193195917	4.76357943232	0.0413545567957
1700020C07RIK	-1.85752451829	2.68618620544	0.0555259776281
1700020N01RIK	-2.77960993157	3.21759866616	0.0509827601293
1700020N18RIK	-2.65400414515	2.8749445425	0.0653173452013
1700023M03RIK	1.75923475801	-4.80595687728	0.011094716133
1700026J12RIK	2.01435529298	-2.91446695762	0.0531809257513
1700028G04RIK	-1.23595487178	3.58560964946	0.0413481637344
1700029G01RIK	-1.88236620252	2.7612667223	0.0804393481217
1700029J07RIK	-2.07501335442	2.43706732049	0.0884862708257
1700034M03RIK	2.9879271677	-4.0	0.0278562764919
1700054F22RIK	1.93560941273	-4.98304334751	0.00776865777621
1700063K16RIK	-4.56478461878	3.56416844485	0.0704968619165
1700064D17RIK	-1.92101170385	2.69197700968	0.0826726425831
1700071K01RIK	1.45902041868	-3.91061725415	0.0562388305762
1700096C12RIK	-4.18279480169	4.80941106401	0.0313806586055
1700109H08RIK	-1.33071815192	2.62190303542	0.0656969756416
1810020C02RIK	1.18736522195	-3.17407933891	0.039925094456
1810020D17RIK	1.11752041807	-5.20524590104	0.00909339672016
1810033M07RIK	-1.55575715034	2.8248599549	0.0504756644368
1810063B05RIK	1.0306870997	-4.51071369182	0.0109207918418
1810064L21RIK	5.63420601974	-6.55559352398	0.0224870088642
2010003O18RIK	1.3658638536	-3.58580570332	0.0233574374118
2010012O05RIK	2.69362918602	-4.11383725096	0.0146863145708
2010016I18RIK	-1.52476121665	2.79797949761	0.0830078970062
2010204O13RIK	-1.67712787335	2.48482497432	0.0956170264638
2010305A19RIK	-1.38106055508	4.35434324621	0.0363889246586
2210011C24RIK	-2.22571277963	2.54911749435	0.0662215914
2210011G09RIK	1.08636329224	-3.41090457914	0.0271200934797
221973_54_RC	5.6534422386	-7.75730779174	0.0162148829178
2310009A05RIK	1.17749911639	-2.71752727144	0.093066587789
2310010B21RIK	9.03066713625	-11.3157851023	0.0077193220433
2310014D11RIK	-1.16580042021	2.39117360248	0.0982096241787
2310016C08RIK	-1.5877937442	2.37604250577	0.0950406756994
2310031L18RIK	2.77830638955	-2.63589097373	0.0985443850937
2310036D04RIK	-1.46169785728	2.9865573227	0.0911649055674
2310047D07RIK	1.12959290741	-2.28817356314	0.0869445482175
2310051F07RIK	-1.42356910585	7.93147480232	0.013450550718
2310061C15RIK	1.52776194459	-3.87863837144	0.0549096619711
2410005O16RIK	-1.7122347168	13.8244423892	0.000158694238365
2410008K03RIK	-1.19407225911	4.22313939602	0.0172696860191
2410012M07RIK	-1.27842645625	2.74897277396	0.0862766283974
2410072D24RIK	4.11483186065	-2.96680932356	0.0963064332831
2510010K19RIK	-1.4070525153	3.94066869692	0.0175381081944
2600011C06RIK	-1.09277038546	5.98478669706	0.0125744790874
2600014M03RIK	2.14799003094	-2.85101964209	0.0686464858279
2610001C07RIK	-2.86129372917	3.31787667761	0.0640274598252
2610005M20RIK	-1.76823705582	3.10204855089	0.0384613136327
2610009O05RIK	1.12173141967	-3.49553983699	0.033147559605
2610014I16RIK	-1.02101671442	2.44964848954	0.0884441308025
2610019N13RIK	-1.58100719998	3.6428087084	0.0401205414552
2610019N19RIK	1.9425639949	-2.97219273982	0.059860416995
2610029J22RIK	-1.0928630215	2.2372363892	0.0896227507778
2610034M16RIK	1.19181760729	-2.53916687539	0.0646189186936
2610206C24RIK	-2.99536855127	5.4531031904	0.00822707783412
2610207F23RIK	-3.85466063684	2.89280740814	0.0948927512627
2610301N02RIK	-1.01006575867	2.23809892068	0.0901454808989
2700024H10RIK	-1.7326863284	2.82676206622	0.0838162930431
2700025J07RIK	-1.46432824932	3.87972315084	0.018193267477
2810002D19RIK	2.7981657506	-2.83379806073	0.0794032007625
2810004N23RIK	1.79950706023	-3.25703046082	0.0684241064613
2810043G13RIK	2.04216945424	-4.13092194662	0.0147872296257
2810404O06RIK	-1.95245645875	10.1292061927	0.000728381819327
2810405K02RIK	1.18870667338	-5.64448575364	0.0170728847432
2810410P22RIK	-3.81526012014	4.46955909742	0.0357863737533
2810426P10RIK	-1.66177188099	2.65639754402	0.083682132367
2810454F19RIK	-1.94158700513	3.95034642697	0.0322911399374
2810459M11RIK	-2.27770409463	2.93472022201	0.0445909147123
2900005I04RIK	1.10074497374	-4.80949944549	0.0211505721826
2900016B01RIK	-3.61215742762	12.6166698045	0.00463579613485
2900058M19RIK	-2.04583519026	3.75973721883	0.0577982333521
2900060N12RIK	-2.40867359376	5.23555221784	0.0173485300882
2900084M01RIK	1.95217147491	-3.19023041385	0.0722839895771
3010027A04RIK	-1.26942540516	6.13547737517	0.00377159369623
3010031K01RIK	-1.92703855201	2.57107111407	0.094173042602
3222401L13RIK	3.63558857379	-3.77964473009	0.056661625139
3230402H02RIK	-2.40209844357	5.41736338886	0.00838499115105
