	cd1	cd2	cd3	gat1	gat2	gat3	logFC	student's t-test	p-value
0610005C13RIK	0.1	0	0.7	1	0.2	2.8	0.881355504	1.33449225	0.252941803
0610005I04	0	6.4	2.5	3.7	0.1	0	-0.807354922	0.764178949	0.487350777
GRAMD4	0	0.4	0	33	32.3	64.3	5.285402219	4.081074108	0.015085124
0610006L08RIK	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LRRC57	0	5.2	0	61.3	119.4	99.3	5.109034333	5.349453	0.005887802
0610007J10RIK	420.9	374.1	431.6	420.5	410.2	356.9	-0.046500271	0.49129689	0.648953633
0610007L01RIK	65.7	113.4	112.1	67.8	96.7	64.1	-0.345161993	1.111705895	0.328577186
0610007N19RIK	2.2	4.5	4.5	4.4	5.9	20.1	1.233957173	1.264691519	0.274647639
0610007P08RIK	15.3	10.3	18.8	16.3	11.4	14.6	-0.065376009	0.245249464	0.818331947
0610007P14RIK	170	165.3	144.4	167.2	149.6	145.4	-0.05327573	0.565266591	0.602091096
0610007P22RIK	41.6	67.7	62.7	69.5	85.4	70	0.381046003	1.84642515	0.138562358
0610008C08RIK	3.7	5.6	0.6	2.1	0	2	-0.861480136	1.201057282	0.295983983
OTTMUSG00000010673	5	0	0	50.8	33.4	31.5	3.891176125	5.798832448	0.004397885
0610009B14RIK	0.4	3.2	0	3	1.2	2.1	0.494764692	0.794461347	0.47140027
0610009B22RIK	92.5	49.6	72.1	79.2	51.3	101.1	0.11117891	0.305195532	0.775439146
0610009D07RIK	9.5	12.2	11.5	8.8	11.4	8.8	-0.177917792	1.18087527	0.303071654
0610009J05RIK	93.3	156.5	248.8	106.4	242.1	60.5	-0.283893011	0.421924797	0.694769068
0610009L18RIK	10.9	13.7	2.4	14.1	14	22.2	0.829173032	1.785348886	0.148754292
0610009O04RIK	7.4	8.3	9.5	9.7	4	4.2	-0.43219222	1.238890726	0.283116119
0610009O20RIK	49.1	54.4	57.8	51.4	45.2	40.1	-0.23400046	1.984000004	0.118259199
0610010D20RIK	0.8	0	0	0.9	0.1	0	0.074000581	0.170871532	0.872619947
0610010D24RIK	33.8	91	33.5	30.8	60.3	15.6	-0.556182913	0.741791347	0.499405109
0610010E21RIK	86.6	153.8	166.8	133	155.5	157.4	0.130066604	0.495054539	0.646522058
0610010F05RIK	23.4	26	26.7	25.4	26	28.9	0.074638801	0.949167691	0.396282774
0610010I05RIK	2798.8	1734.8	2609.7	1275.1	2338.6	1063.5	-0.610626297	1.60275106	0.184251115
0610010K06RIK	138.6	153.8	172.1	145.4	97.1	161.7	-0.199228804	0.927148248	0.406327524
0610010K14RIK	97.4	108	129.2	98.7	73	98.2	-0.306942509	1.708313719	0.162761879
0610011B16RIK	0	0	0	0.8	3.3	0	1.242856524	1.375095865	0.241094551
0610011F06RIK	61	66.3	55	63.4	61.9	60.3	0.025466795	0.325000933	0.761468487
0610011I19RIK	27.1	42.5	40.6	31.3	35.4	15.9	-0.403191256	1.200431234	0.296201486
0610011L14RIK	4.3	9.9	2	1.5	1.4	4	-0.955605881	1.242321168	0.281975966
0610012A05RIK	1.4	0	3	0.3	9.9	3.1	1.139274789	0.995797378	0.375709051
0610012D14RIK	0	4	4.1	0.1	0	3.7	-0.706953025	0.788493238	0.474511495
0610012G03RIK	565.7	605.4	632.7	521.4	533.3	613	-0.11298412	1.30676321	0.261357939
0610012H03RIK	4.4	12.4	5.3	3.5	10.5	11.3	0.173114689	0.301230676	0.77824856
0610013E23RIK	0.7	6.5	6.4	1.6	5.2	4.2	-0.245756414	0.394528547	0.713322461
0610025G21RIK	0	1.6	6.2	2.2	0	0.6	-0.896906507	0.845637614	0.445374036
0610025J13RIK	0.3	0.1	0	0	0	1.6	0.436099115	0.739951699	0.500405529
1110005F07RIK	56.7	51.6	75.7	708	601.4	805.5	3.501524297	10.83694656	0.000411399
0610030E20RIK	116.4	64.5	63.1	119.3	87.4	132.8	0.471592946	1.439922856	0.223307604
0610030G03RIK	4.6	6.1	7.1	5.3	9.9	2.5	-0.006952761	0.014644255	0.989017299
0610030P10RIK	0	0	0	0	3.4	0.9	1.282933963	1.409268079	0.23154956
0610031G08RIK	4.9	6.9	2.9	4.7	6.6	3	-0.032977322	0.085808464	0.935742183
NUDT6	2.7	5.1	5.6	42.7	35.3	82.9	3.321048134	3.318597659	0.02941704
0610033M06RIK	0	1.6	0	1.3	0.7	0	0.120294234	0.204390452	0.848026834
0610035N01RIK	0	6.1	9.8	4	0	4.8	-0.679599375	0.735011703	0.503099363
0610037B23RIK	9.1	3.4	4.7	4.6	5.1	4.9	-0.198779864	0.50074129	0.642852288
0610037D15RIK	15.8	26.1	19.5	24.1	30.6	8.2	0.033217777	0.068459615	0.94870536
0610037L13RIK	132	131.3	118	139.9	136.9	141.6	0.132957338	2.599559226	0.060075994
0610037M15RIK	96.3	17.3	8.7	32.5	57.7	18.7	-0.163176378	0.148271461	0.889302804
0610037P05RIK	7.4	4	11.3	11.5	4.6	5.5	-0.063110044	0.1212973	0.909304804
0610038B21RIK	5	0.7	1.6	0	6.8	0	-0.071790683	0.063669733	0.952287986
0610038D11RIK	31.5	24.4	20.1	43.9	27.2	32.1	0.426859208	1.519339704	0.203301867
0610038F07RIK	129.4	132.5	141.7	138.9	84.5	141.1	-0.145865965	0.690479799	0.527868607
0610038F15RIK	2.1	0	2.6	0.2	2	0	-0.566346823	0.817587425	0.459494529
0610039K10RIK	1	1.9	0	0.8	4.7	1.9	0.817796669	1.168141796	0.3076248
0610040B10RIK	3.2	10.8	18.7	14.6	12	10.1	0.153214933	0.286064784	0.789032268
0610040J01RIK	0.7	0.8	5.4	6	12.6	4.2	1.381870635	1.774239776	0.150692717
0610040O15RIK	13367.6	14896.9	14957.4	12319.7	15016.8	15016.8	-0.029286057	0.2787572	0.794249001
0610041E09RIK	0	0	0	0	0.3	0.5	0.341036918	1.835325871	0.140357387
0610042C05RIK	32.3	44.9	33.9	39.9	41.5	45.4	0.185991592	1.221614188	0.288925098
F730021A14RIK	0	0	0.1	9.6	12.2	2.8	3.154328146	2.913983535	0.043504389
0710001D07RIK	47.2	22.9	40.3	102	33.8	128.3	1.235959336	1.762246223	0.152815689
CCDC80	0	1.5	1.7	5.5	20.7	22.4	3.057030945	2.802896374	0.048667689
LRIG3	0	3.1	0	12.6	10.4	19.2	2.889441625	4.59111233	0.010098344
0710007J16RIK	2.5	0	1.4	8.7	3.5	3.6	1.446064395	2.129077394	0.100311957
GLRX1	529.7	582.9	341	3432.3	3101.9	2993.2	2.709932016	17.81592281	5.83245E-05
LOC386068	0.1	5.5	0	14.9	17.5	20.8	2.708161566	6.364227879	0.003125104
0910001L17RIK	0	0	0.2	1.2	0	0	0.392317423	0.821994937	0.457252536
100041294	1399.3	1350.4	1892.9	1622.8	1395.8	1520.5	-0.03250547	0.186209698	0.86134248
1010001D01RIK	1.5	1.4	7.7	5.2	5.7	4.1	0.404390255	0.686495127	0.530127315
1010001I08RIK	0	0	0	0	1.1	1.1	0.793549123	2	0.116116524
1010001N08RIK	8.6	1.1	12.8	8.8	8.1	6	0.022454851	0.037837009	0.971630704
10181072_290	3.8	3.1	2.5	0	3	0.5	-0.931828497	1.964485117	0.120931254
1100001E04RIK	0	1.9	0	0	0.8	0.2	-0.292781749	0.442861048	0.680761728
1100001F19RIK	321.3	324.3	366.6	466.4	430.8	251.2	0.181625143	0.665837806	0.541947581
1100001G20RIK	1384.4	1048.6	809	730.5	1020.9	1029.4	-0.221162913	0.793875179	0.471705141
1100001H23RIK	8.9	9.8	2.5	8.2	1.3	7.8	-0.25352732	0.405415043	0.705920103
1100001I19RIK	0.7	2.8	0	0	0	0	-1.115477217	1.386750491	0.237796144
1100001J08RIK	21.9	25.1	38	19.1	19.3	22.1	-0.470746932	1.628383334	0.178774639
1100001L02RIK	6.6	0	0	1.6	1.4	1.6	-0.337034987	0.302891266	0.777071399
1110001A07RIK	82.1	40.6	43.3	59.3	32.6	63.8	-0.090721118	0.207214521	0.845963829
1110001C20RIK	47.2	77.4	63	64.8	47.2	50.2	-0.206334432	0.823876708	0.456297966
1110001C23RIK	434.8	395.6	390.3	503.5	434.6	589.2	0.322564594	2.180623452	0.094678508
1110001D15RIK	0	0	0	0.4	0	0	0.180572246	1	0.373900966
1110001J03RIK	381.2	414.4	359.7	370.1	462.7	411.9	0.107262131	0.956841709	0.392831934
1110001N06RIK	218.6	160.6	163	300.1	251.1	214.6	0.495822774	2.390069079	0.075162134
1110001P04RIK	405.2	500	461.4	353.4	432.6	386	-0.22109385	1.809062769	0.14470489
1110002B05RIK	525.4	626.7	449.4	598.4	512.4	666.7	0.150158646	0.862173695	0.437214125
1110002D22RIK	504.9	600.9	560.1	408.8	591.1	490.4	-0.160393483	0.981940593	0.381724498
1110002E22RIK	0	1.2	0	0	3.8	3.9	1.349149564	1.611460187	0.182371093
1110002E23RIK	658.1	760	736.4	658.6	829.8	654.8	-0.007576035	0.057582528	0.956842911
1110002H13RIK	0.9	0	1.3	0	0.4	2.3	0.132450296	0.206548096	0.846450524
1110002L01RIK	1.4	0	3.4	1.2	2	2.6	0.1740294	0.3125	0.770274252
1110002N22RIK	20	29.2	19	32.3	19.7	32.3	0.294104413	1.011000223	0.369204232
1110003E01RIK	1277.9	1200.3	956.4	1566.7	1090.3	1781.4	0.369612826	1.480389699	0.21287651
1110003E08RIK	3.1	5.6	8	12.3	9.9	6.6	0.690831136	1.85431086	0.137302044
1110003F05RIK	13.3	31.8	26.3	17.6	9.3	17.6	-0.647375108	1.459630279	0.218164859
3830402I07RIK	1.1	2.9	0.5	15.7	12.3	15.8	2.641546029	9.648712307	0.000645353
1110003P22RIK	385.1	304.5	294.5	352.2	311.2	419	0.136958662	0.770313727	0.484086449
1110004E09RIK	1	0.4	4.6	0.1	0.6	4.2	-0.188072348	0.199211302	0.851814061
1110004F10RIK	0.9	0	0.7	0	5.6	0	0.902702799	0.706775558	0.518703598
IGKV9-128_AJ231245_IG_KAPPA_VARIABLE_9-128_15	644.8	122.7	85.7	2432.2	1097.2	1802.2	2.639360358	3.506301785	0.024754562
1110005A03RIK	4.3	2	0.7	5.2	3.4	5.2	0.748461233	1.870929849	0.134686177
BC003331	9.9	7.2	7.8	59.2	69.6	42	2.639091055	6.01216412	0.003853818
APOF	0	0.5	0.7	3.3	9.7	9.8	2.618909833	3.332952359	0.029025666
1110006E14RIK	0	0	0	0	0	0.5	0.222392421	1	0.373900966
1110006G06RIK	41.1	32.8	38.7	47	37.2	50.2	0.249240606	1.571765751	0.191103985
1110006G14RIK	8.5	9.6	5.7	2	6.6	4.6	-0.726239188	2	0.116116524
LOC100047226	7.1	1.7	3.1	33.2	23.2	30.8	2.597815103	7.337355323	0.001836709
UBXN2B	0.1	0	0	5.4	6.1	3.9	2.569365646	7.848734393	0.001423496
1110007B02RIK	0.7	0	0.8	0.9	0	0.1	-0.169925001	0.43852901	0.683647602
1110007C09RIK	1.1	1	1.2	2.7	0	3.5	0.546282033	0.91160719	0.413545263
1110007F05RIK	0	6.8	3.2	0.6	0.4	1.9	-1.139724764	1.171834167	0.306297988
1110007H17RIK	0	0	4.1	0	0	0	-1.242856524	1	0.373900966
1110007L15RIK	375.1	533.5	597	320.7	357.4	316.7	-0.596387757	2.5322247	0.064511823
1110007M04RIK	186	316.8	378.1	246.3	419	211.9	-0.006051788	0.014420388	0.989185178
1110008B24RIK	648.9	719.6	761.6	635.7	716.4	682.7	-0.065939136	0.787079871	0.475250621
1110008F13RIK	851	817.7	929.5	1120	1138.2	794.2	0.232183935	1.298819388	0.263818735
1110008J03RIK	3.2	4.6	6.8	7.2	4.8	5.7	0.234055339	0.820059907	0.458235771
1110008L16RIK	27.9	37.5	41.9	39.5	41.7	34.3	0.103454268	0.584107221	0.590502868
1110008P14RIK	236.3	280.5	212.9	302.6	248.5	277.5	0.182667143	1.306028573	0.261584574
1110011C06RIK	149.5	120.1	110.2	141.2	128.9	206.3	0.324639079	1.203420923	0.295164155
1110012D08RIK	28.5	61.6	51.4	34.3	45.2	49	-0.136006693	0.403753968	0.707047054
1110012F10RIK	52.8	31.7	30.1	40.3	33.9	48.3	0.093799304	0.312840008	0.770034184
1110012J17RIK	0	3.8	0	0	0	3.1	-0.156725504	0.142738293	0.893398266
PRMT1	0	0.8	12.9	35.7	39.6	19.2	2.545554116	3.583016445	0.023105354
1110012N22RIK	5.2	1.3	1	10.7	5.1	9.4	1.425305835	2.723399238	0.052801254
1110012O05RIK	557.5	572.2	445.1	689.6	532.8	773.8	0.341508464	1.729307999	0.15881105
1110013L07RIK	12.2	8.1	5	8.6	14.6	10.5	0.37497801	1.023629351	0.363875763
1110014C03RIK	0	0	0.4	0	0.9	0	0.197939378	0.507673083	0.638395674
