Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.0748	Narciclasine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K06792661	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72376	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A549_6H:BRD-K06792661:10.0
2	0.0729	Narciclasine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K06792661	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72376	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HA1E_6H:BRD-K06792661:10.0
3	0.0710	Emetine Dihydrochloride Hydrate (74)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K01976263	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11957493	None	MCF7	0.63um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_6H:BRD-K01976263:0.63
4	0.0617	BRD-K04853698	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K04853698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25195294	None	HT29	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HT29_6H:BRD-K04853698:10.0
5	0.0598	Homoharringtonine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K76674262	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=285033	None	HA1E	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC001_HA1E_24H:BRD-K76674262:10.0
6	0.0598	BRD-K76674262	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K76674262	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=285033	None	ASC	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_ASC_24H:BRD-K76674262:10.0
7	0.0598	QL-XII-47	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99252563	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71748056	None	HS578T	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_24H:BRD-K99252563:10
8	0.0579	phorbol-12-myristate-13-acetate (PMA)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A15079084	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4792	None	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_6H:BRD-A15079084:10.0
9	0.0561	Homoharringtonine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K76674262	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=285033	None	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC001_PC3_6H:BRD-K76674262:10.0
10	0.0561	EMETINE HYDROCHLORIDE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K03067624	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10219	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC007_A549_6H:BRD-K03067624:10.0
