Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.0281	radicicol	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A39996500	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311380	None	HME1	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_24H:BRD-A39996500:3.33
2	0.0248	trichostatin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19037878	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6376322	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_HA1E_6H:BRD-A19037878:10.0
3	0.0248	PD-184352	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05104363	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918454	None	HEPG2	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HEPG2_24H:BRD-K05104363:3.33
4	0.0248	geldanamycin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19500257	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13017911	None	HS578T	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_24H:BRD-A19500257:1.11
5	0.0231	geldanamycin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19500257	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13017911	None	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_MCF7_6H:BRD-A19500257:10.0
6	0.0215	ISOLIQUIRITIGENIN	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K33583600	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=638278	None	HA1E	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HA1E_24H:BRD-K33583600:10.0
7	0.0215	BRD-K41859756	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K41859756	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10096043	None	HA1E	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HA1E_24H:BRD-K41859756:10.0
8	0.0215	TG101348	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12502280	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16722836	None	HA1E	11.1um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HA1E_6H:BRD-K12502280:11.1
9	0.0215	BRD-K96799727	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K96799727	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=327653	None	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_PC3_6H:BRD-K96799727:10.0
10	0.0215	Arachidonyl trifluoro-methyl ketone	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K07303502	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280436	None	VCAP	80.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_VCAP_24H:BRD-K07303502:80.0
11	0.0215	trichostatin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19037878	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6376322	None	HT29	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_HT29_6H:BRD-A19037878:10.0
12	0.0215	radicicol	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A39996500	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311380	None	MCF10A	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF10A_24H:BRD-A39996500:10
13	0.0215	Y-39983	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K56751279	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9810884	None	A375	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_A375_24H:BRD-K56751279:10
