TargetID	cd1	cd2	cd3	gat1	gat2	gat3	logFC	student's t-test	p-value
0610005C13RIK	0.8	0	0	0.8	1.4	1.8	0.881355504	2.704493615	0.053843188
0610005I04	2.9	2	1.1	1.5	3.2	3.1	0.263034406	0.792405816	0.472470043
OLFML2B	0	1.1	0	132.4	143.4	114.6	6.584229238	15.45072425	0.000102406
0610006L08RIK	0	0	1.3	0	0	0	-0.519374159	1	0.373900966
0610007C21RIK	408.1	390.8	465.7	428.3	462.1	539.2	0.176536282	1.379492582	0.239844944
0610007J10RIK	199.8	236.2	140.7	341.8	218.5	237.3	0.46577513	1.553966211	0.195158911
0610007L01RIK	187.6	125.8	62.9	173	55.8	71.1	-0.324497793	0.494815747	0.646676422
GLRX1	25	41.2	21.3	1007.3	2249.7	826.8	5.49691004	2.978064578	0.040816975
0610007P08RIK	14.6	11.9	9.6	10.8	8.8	9.1	-0.302685767	1.567740315	0.192013375
0610007P14RIK	67.3	116.5	114.9	130.4	164.1	175	0.647199633	2.71203031	0.053425001
0610007P22RIK	64.6	52.6	72.9	69.3	53.7	55.7	-0.087789745	0.495816223	0.646029819
0610008C08RIK	2.6	4.5	7.3	3.4	0.7	1.6	-1	1.83657144	0.140154709
0610008F07RIK	1.7	4	0.4	5.7	0	1.6	0.178705887	0.200278358	0.851033382
0610009B14RIK	0	2.3	0	0.2	0	0.5	-0.518467089	0.683486126	0.531837552
0610009B22RIK	11	10	12.4	18.5	46.7	29.2	1.419983322	2.465074073	0.069312441
0610009D07RIK	8.6	8	8.9	7.8	12.9	6.5	0.08358663	0.287516789	0.787997291
0610009J05RIK	430.5	248.6	619.4	235.5	57.8	156.4	-1.5235481	2.382636878	0.075771666
0610009L18RIK	5.1	2.7	1.5	5	6.8	5.2	0.701341684	2.135595755	0.099579412
0610009O04RIK	6.5	5.3	5.8	8.5	6.7	7.2	0.30218416	2.502172969	0.066611706
0610009O20RIK	44.8	48	96.9	70.6	59.5	75.3	0.112998706	0.299093741	0.779764452
