Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.0449	alvocidib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87909389	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5287969	None	HME1	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K87909389:3.33
2	0.0430	alvocidib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87909389	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5287969	None	HME1	1.11um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K87909389:1.11
3	0.0411	ER 27319 maleate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K11927976	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9799509	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC001_HA1E_6H:BRD-K11927976:10.0
4	0.0411	CGP-60474	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79090631	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=644215	None	HME1	0.12um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K79090631:0.12
5	0.0393	daunorubicin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A68009927	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3085107	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC009_HA1E_6H:BRD-A68009927:10.0
6	0.0393	656402-250MG	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K72238567	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=8975	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC012_A375_6H:BRD-K72238567:10.0
7	0.0393	alvocidib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87909389	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5287969	None	MCF10A	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_3H:BRD-K87909389:3.33
8	0.0374	linifanib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99749624	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11485656	None	HME1	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K99749624:10
9	0.0336	ER 27319 maleate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K11927976	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9799509	None	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC001_PC3_6H:BRD-K11927976:10.0
10	0.0336	BMS-387032	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K43389698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3025986	None	HME1	1.11um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K43389698:1.11
11	0.0336	CGP-60474	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79090631	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=644215	None	HME1	0.37um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K79090631:0.37
12	0.0336	alvocidib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87909389	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5287969	None	MCF10A	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_3H:BRD-K87909389:10
13	0.0318	trichostatin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19037878	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6376322	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_6H:BRD-A19037878:10.0
14	0.0318	BRD-K01896723	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K01896723	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45100442	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_A549_6H:BRD-K01896723:10.0
15	0.0318	BRD-K81814927	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81814927	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46907621	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC009_HA1E_6H:BRD-K81814927:10.0
16	0.0318	WZ-3105	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K92571446	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=42628507	None	MDAMB231	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MDAMB231_3H:BRD-K92571446:10
17	0.0318	AT-7519	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K13390322	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11338033	None	MCF10A	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_3H:BRD-K13390322:3.33
18	0.0318	BMS-387032	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K43389698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3025986	None	MDAMB231	0.37um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MDAMB231_3H:BRD-K43389698:0.37
19	0.0299	DAUNORUBICIN	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K43389675	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=30323	http://www.drugbank.ca/drugs/DB00694	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HA1E_6H:BRD-K43389675:10.0
20	0.0299	KUC104495 KUC104495N	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K73044744	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44640181	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_A549_6H:BRD-K73044744:10.0
21	0.0299	BRD-K53780220	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K53780220	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45115629	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_HEPG2_6H:BRD-K53780220:10.0
22	0.0299	trichostatin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19037878	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6376322	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_MCF7_24H:BRD-A19037878:10.0
23	0.0299	trichostatin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19037878	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6376322	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_A375_6H:BRD-A19037878:10.0
24	0.0299	mitoxantrone	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K21680192	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5458171	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC020_HA1E_6H:BRD-K21680192:10.0
25	0.0299	alvocidib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87909389	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5287969	None	HME1	0.12um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K87909389:0.12
26	0.0299	alvocidib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87909389	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5287969	None	HME1	0.37um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K87909389:0.37
27	0.0299	CGP-60474	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79090631	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=644215	None	HME1	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K79090631:10
28	0.0299	AT-7519	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K13390322	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11338033	None	MCF10A	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_3H:BRD-K13390322:10
29	0.0299	JNK-9L	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K19220233	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=59588070	None	MDAMB231	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MDAMB231_3H:BRD-K19220233:3.33
