	SC	BMC
0610005C13RIK	0.881355504	0.881355504
0610005I04	0.263034406	-0.807354922
0610006I08RIK	0.706473992	0.196659679
0610006L08RIK	-0.519374159	0.0
0610007C21RIK	0.176536282	0.53862836
0610007J10RIK	0.46577513	-0.046500271
0610007L01RIK	-0.324497793	-0.345161993
0610007N19RIK	-1.710540308	1.233957173
0610007P08RIK	-0.302685767	-0.065376009
0610007P14RIK	0.647199633	-0.05327573
0610007P22RIK	-0.087789745	0.381046003
0610008C08RIK	-1.0	-0.861480136
0610008F07RIK	0.178705887	1.784271309
0610009B14RIK	-0.518467089	0.494764692
0610009B22RIK	1.419983322	0.11117891
0610009D07RIK	0.08358663	-0.177917792
0610009J05RIK	-1.5235481	-0.283893011
0610009L18RIK	0.701341684	0.829173032
0610009O04RIK	0.30218416	-0.43219222
0610009O20RIK	0.112998706	-0.23400046
0610010D20RIK	0.664815808	0.074000581
0610010D24RIK	-1.277840341	-0.556182913
0610010E21RIK	-0.60031716	0.130066604
0610010F05RIK	0.604180416	0.074638801
0610010I05RIK	-0.522653276	-0.610626297
0610010K06RIK	-0.100264123	-0.199228804
0610010K14RIK	0.411732355	-0.306942509
0610011B16RIK	0.216317907	1.242856524
0610011F06RIK	0.496574558	0.025466795
0610011I19RIK	-0.806275464	-0.403191256
0610011L14RIK	-0.593679718	-0.955605881
0610012A05RIK	-0.411314413	1.139274789
0610012D14RIK	-1.396890153	-0.706953025
0610012G03RIK	0.322968934	-0.11298412
0610012H03RIK	0.543443231	0.173114689
0610013E23RIK	-0.092118202	-0.245756414
0610025G21RIK	-0.424885285	-0.896906507
0610025J13RIK	0.054447784	0.436099115
0610025P10RIK	-0.460664516	-0.276797719
0610030E20RIK	0.0794179	0.471592946
0610030G03RIK	-0.143590854	-0.006952761
0610030P10RIK	0.753360032	1.282933963
0610031G08RIK	0.130198723	-0.032977322
0610031J06RIK	0.125878122	0.395944565
0610033M06RIK	0.0	0.120294234
0610035N01RIK	-1.053866872	-0.679599375
0610037B23RIK	-0.567989422	-0.198779864
0610037D15RIK	-0.842675035	0.033217777
0610037L13RIK	-0.577987542	0.132957338
0610037M15RIK	-0.963353847	-0.163176378
0610037P05RIK	0.497499659	-0.063110044
0610038B21RIK	-0.707819249	-0.071790683
0610038D11RIK	0.456218727	0.426859208
0610038F07RIK	0.349196572	-0.145865965
0610038F15RIK	1.20511443	-0.566346823
0610039K10RIK	-0.214124805	0.817796669
0610040B10RIK	-1.077722295	0.153214933
0610040J01RIK	0.10371135	1.381870635
0610040O15RIK	-0.054795477	-0.029286057
0610041E09RIK	0.793549123	0.341036918
0610042C05RIK	0.308969196	0.185991592
0710001C05RIK	0.372477037	-1.328129434
0710001D07RIK	0.31313772	1.235959336
0710007C18RIK	-0.316857105	0.602407635
0710007G10RIK	0.445566297	0.339024089
0710007J16RIK	0.313157885	1.446064395
0910001A06RIK	-0.348124166	0.608243325
0910001L09RIK	1.244393876	0.472958101
0910001L17RIK	0.0	0.392317423
100041294	-0.035461284	-0.03250547
1010001D01RIK	-0.038732394	0.404390255
1010001I08RIK	0.247927513	0.793549123
1010001N08RIK	-0.215937399	0.022454851
10181072_290	-0.299560282	-0.931828497
1100001E04RIK	-0.552541023	-0.292781749
1100001F19RIK	-0.517184386	0.181625143
1100001G20RIK	2.133547099	-0.221162913
1100001H23RIK	0.881355504	-0.25352732
1100001I19RIK	0.093109404	-1.115477217
1100001J08RIK	0.847101101	-0.470746932
1100001L02RIK	0.294183104	-0.337034987
1110001A07RIK	2.253215345	-0.090721118
1110001C20RIK	-0.048752178	-0.206334432
