Rank	1-cos(α)	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	1.3534	S1104	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K67578145	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11717001	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_PC3_24H:BRD-K67578145:10.0
2	1.3486	WYE-125132	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A45498368	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25260757	None	HS578T	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_3H:BRD-A45498368:10
3	1.3232	SYK-inhibitor	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K53281329	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10200390	None	HEPG2	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_HEPG2_24H:BRD-K53281329:10
4	1.3207	GSK-1070916	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K36740062	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46885626	None	HEPG2	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP008_HEPG2_24H:BRD-K36740062:0.37
5	1.3195	A443654	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K88573743	None	None	HEPG2	0.12um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HEPG2_24H:BRD-K88573743:0.12
6	1.3187	EBT or (Erichrome Black T)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K16233984	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5473474	None	HCC515	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC002_HCC515_24H:BRD-K16233984:10.0
7	1.3166	EI-346	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-U08759356	None	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_PC3_24H:BRD-U08759356:10.0
8	1.3166	WYE-125132	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A45498368	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25260757	None	HME1	0.37um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-A45498368:0.37
9	1.3113	HY-10342	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79404599	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=176167	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_PC3_24H:BRD-K79404599:10.0
10	1.3104	PNU 74654	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K30707190	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9836739	None	A549	80.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A549_6H:BRD-K30707190:80.0
11	1.3102	EI-263	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K67506692	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2046	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_A549_24H:BRD-K67506692:10.0
